Confirmed	File Name	ID	URL	Name	Identifier
x	Absalom_Jones.txt	Q491029	https://lod.enslaved.org/wiki/Q491029	Absalom Jones	HC-PER-34501
x	Amanda_America_Dickson.txt	Q490677	https://lod.enslaved.org/wiki/Q490677	Amanda America Dickson	HC-PER-36705
x	Amos_Fortune.txt	Q490803	https://lod.enslaved.org/wiki/Q490803	Amos Fortune	HC-PER-34893
x	Anthony_Burns.txt	Q490534	https://lod.enslaved.org/wiki/Q490534	Anthony Burns	HC-PER-35495
x	Archer_Alexander.txt	Q490364	https://lod.enslaved.org/wiki/Q490364	Archer Alexander	HC-PER-36042
x	Bethany_Veney.txt	Q491587	https://lod.enslaved.org/wiki/Q491587	Bethany Veney	HC-PER-38092
x	Charlotte_Dupuy.txt	Q490720	https://lod.enslaved.org/wiki/Q490720	Charlotte Dupuy	HC-PER-36746
	David_George_(Baptist).txt	Q606124	https://lod.enslaved.org/wiki/Q606124	David George Anosi	LBS-PER-2146019500
	Elijah_Abel.txt	Q490385	https://lod.enslaved.org/wiki/Q490385	Elijah Abel Able	HC-PER-39638
	George_Freeman_Bragg.txt	Q490490	https://lod.enslaved.org/wiki/Q490490	George Freeman Bragg Jr	HC-PER-34251
	George_Moses_Horton.txt	Q490952	https://lod.enslaved.org/wiki/Q490952	George Moses Horton	HC-PER-34465
	Hannah_Crafts.txt	Q490641	https://lod.enslaved.org/wiki/Q490641	Hannah Crafts	HC-PER-35551
	Harriet_Powers.txt	Q491299	https://lod.enslaved.org/wiki/Q491299	Harriet Powers	HC-PER-37678
	Harry_Washington.txt	Q491594	https://lod.enslaved.org/wiki/Q491594	Harry Washington	HC-PER-36591
	Henry_Box_Brown.txt	Q490515	https://lod.enslaved.org/wiki/Q490515	Henry Box Brown	HC-PER-34263
	Henry_Highland_Garnet.txt	Q490831	https://lod.enslaved.org/wiki/Q490831	Henry Highland Garnet	HC-PER-34403
	Jane_Johnson_(slave).txt	Q580967	https://lod.enslaved.org/wiki/Q580967	Jane Johnson Tenison	LBS-PER-24102
	Jermain_Wesley_Loguen.txt	Q491095	https://lod.enslaved.org/wiki/Q491095	Jermain Wesley Loguen	HC-PER-34553
	John_Jea.txt	Q490991	https://lod.enslaved.org/wiki/Q490991	John Jea	HC-PER-35768
	Jordan_Winston_Early.txt	Q490753	https://lod.enslaved.org/wiki/Q490753	Jordan Winston Early	HC-PER-35611
	Josiah_Henson.txt	Q490945	https://lod.enslaved.org/wiki/Q490945	Josiah Henson	HC-PER-34450
	Jupiter_Hammon.txt	Q490893	https://lod.enslaved.org/wiki/Q490893	Jupiter Hammon	HC-PER-34432
	Kate_Drumgoold.txt	Q490728	https://lod.enslaved.org/wiki/Q490728	Kate Drumgoold	HC-PER-36449
	Leonard_Black.txt	Q490452	https://lod.enslaved.org/wiki/Q490452	Leonard Black	HC-PER-35464
	Lewis_Hayden.txt	Q490895	https://lod.enslaved.org/wiki/Q490895	Lewis Hayden	HC-PER-34914
	Lott_Cary.txt	Q490588	https://lod.enslaved.org/wiki/Q490588	Lott Cary	HC-PER-34291
	Madison_Hemings.txt	Q1052317	https://lod.enslaved.org/wiki/Q1052317	Madison Hemings	LVA-PER-ENS.1082990._0006_0001_0001-0010.MadisonHemings.00644
	Mahommah_Gardo_Baquaqua.txt	Q490433	https://lod.enslaved.org/wiki/Q490433	Mahommah Gardo Baquaqua	HC-PER-36138
	Moses_Grandy.txt	Q490849	https://lod.enslaved.org/wiki/Q490849	Moses Grandy	HC-PER-35670
	Moses_Roper.txt	Q491388	https://lod.enslaved.org/wiki/Q491388	Moses Roper	HC-PER-34683
	Olaudah_Equiano.txt	Q490756	https://lod.enslaved.org/wiki/Q490756	Olaudah Equiano	HC-PER-34374
	Patrick_Francis_Healy.txt	Q490877	https://lod.enslaved.org/wiki/Q490877	Patrick Francis Healy	HC-PER-34445
	Polly_Berry.txt	Q490448	https://lod.enslaved.org/wiki/Q490448	Polly Berry	HC-PER-39701
	Prince_Estabrook.txt	Q490761	https://lod.enslaved.org/wiki/Q490761	Prince Estabrook	HC-PER-36452
	Prince_Whipple.txt	Q491624	https://lod.enslaved.org/wiki/Q491624	Prince Whipple	HC-PER-34782
	Robert_Blake_(Medal_of_Honor).txt	Q619660	https://lod.enslaved.org/wiki/Q619660	Robert Blake Foster or Forster	LBS-PER-2146654037
	Salem_Poor.txt	Q491288	https://lod.enslaved.org/wiki/Q491288	Salem Poor	HC-PER-37670
	Samuel_Green_(freedman).txt	Q490845	https://lod.enslaved.org/wiki/Q490845	Samuel Green Jr	HC-PER-39267
	Samuel_Ringgold_Ward.txt	Q491572	https://lod.enslaved.org/wiki/Q491572	Samuel Ringgold Ward	HC-PER-35415
	Scipio_Africanus_(slave).txt	Q491067	https://lod.enslaved.org/wiki/Q491067	Scipio Africanus Jones	HC-PER-34510
	Scipio_Moorhead.txt	Q491193	https://lod.enslaved.org/wiki/Q491193	Scipio Moorhead	HC-PER-37545
	Seymour_Burr.txt	Q490536	https://lod.enslaved.org/wiki/Q490536	Seymour Burr	HC-PER-77918
	Shadrach_Minkins.txt	Q491188	https://lod.enslaved.org/wiki/Q491188	Shadrach Minkins	HC-PER-35840
	Sojourner_Truth.txt	Q491531	https://lod.enslaved.org/wiki/Q491531	Sojourner Truth	HC-PER-34750
	Solomon_Bayley.txt	Q490443	https://lod.enslaved.org/wiki/Q490443	Solomon Bayley	HC-PER-34225
	Thomas_Peters_(revolutionary).txt	Q620683	https://lod.enslaved.org/wiki/Q620683	Thomas Peters of St Catherine	LBS-PER-2146656245
	Venture_Smith.txt	Q491453	https://lod.enslaved.org/wiki/Q491453	Venture Smith	HC-PER-35484
	William_Ellison.txt	Q490790	https://lod.enslaved.org/wiki/Q490790	William Ellison	HC-PER-36772
	William_Green_(former_slave).txt	Q617949	https://lod.enslaved.org/wiki/Q617949	William Green Fleming	LBS-PER-2146650429
	William_Harvey_Carney.txt	Q490569	https://lod.enslaved.org/wiki/Q490569	William Harvey Carney	HC-PER-35042
	William_Henry_Singleton.txt	Q491431	https://lod.enslaved.org/wiki/Q491431	William Henry Singleton	HC-PER-35948
	William_Wells_Brown.txt	Q490547	https://lod.enslaved.org/wiki/Q490547	William Wells Brown	HC-PER-34269
