Abraham Hankins Galloway	instance of	Person
Abraham Hankins Galloway	hasSex	Male
Abraham Hankins Galloway	hasParticipantRole	Child
Abraham Hankins Galloway	hasParticipantRole	Deceased Person
Abraham Hankins Galloway	hasDescriptiveOccupation	Slave
Abraham Hankins Galloway	hasDescriptiveOccupation	State Legislator
Abraham Hankins Galloway	hasDescriptiveOccupation	Abolitionist
Abraham Hankins Galloway	hasDescriptiveOccupation	Spy
Abraham Hankins Galloway	hasDescriptiveOccupation	Fugitive Slave
Abraham Hankins Galloway	hasFirstName	Abraham Hankins
Abraham Hankins Galloway	hasSurname	Galloway
Abraham Hankins Galloway	hasName	Abraham Hankins Galloway
Abraham Hankins Galloway	hasDescription	Enslaved. Free before 13th Amendment. An escaped slave and abolitionist who served as a Union spy. One of the first three black senators in the North Carolina General Assembly.
