Amanda Berry Smith	instance of	Person
Amanda Berry Smith	hasSex	Female
Amanda Berry Smith	hasParticipantRole	Child
Amanda Berry Smith	hasParticipantRole	Deceased Person
Amanda Berry Smith	hasDescriptiveOccupation	Slave
Amanda Berry Smith	hasDescriptiveOccupation	Evangelist
Amanda Berry Smith	hasDescriptiveOccupation	Missionary
Amanda Berry Smith	hasFirstName	Amanda Berry
Amanda Berry Smith	hasSurname	Smith
Amanda Berry Smith	hasName	Amanda Berry Smith
Amanda Berry Smith	hasDescription	Born Enslaved. Free before 13th Amendment. Led revivals at AME and white Methodist churches, joined the WCTU,  worked for years as a missionary, and founded a school.
