Anna Julia Haywood Cooper	instance of	Person
Anna Julia Haywood Cooper	hasSex	Female
Anna Julia Haywood Cooper	hasParticipantRole	Child
Anna Julia Haywood Cooper	hasParticipantRole	Deceased Person
Anna Julia Haywood Cooper	hasDescriptiveOccupation	Slave
Anna Julia Haywood Cooper	hasDescriptiveOccupation	Educator
Anna Julia Haywood Cooper	hasDescriptiveOccupation	Civil Rights Activist
Anna Julia Haywood Cooper	hasDescriptiveOccupation	Human Rights Activist
Anna Julia Haywood Cooper	hasFirstName	Anna Julia Haywood
Anna Julia Haywood Cooper	hasSurname	Cooper
Anna Julia Haywood Cooper	hasName	Anna Julia Haywood Cooper
Anna Julia Haywood Cooper	hasDescription	Enslaved. Considered to have written the first black  feminist manifesto. Authored A Voice from the South by a Black Woman of the South (1892) https://docsouth.unc.edu/church/cooper/menu.html .
