Biddy Bridget Mason	instance of	Person
Biddy Bridget Mason	hasSex	Female
Biddy Bridget Mason	hasParticipantRole	Child
Biddy Bridget Mason	hasParticipantRole	Deceased Person
Biddy Bridget Mason	hasDescriptiveOccupation	Entrepreneur
Biddy Bridget Mason	hasDescriptiveOccupation	Slave
Biddy Bridget Mason	hasDescriptiveOccupation	Church Founder
Biddy Bridget Mason	hasDescriptiveOccupation	Philanthropist
Biddy Bridget Mason	hasFirstName	Biddy Bridget
Biddy Bridget Mason	hasSurname	Mason
Biddy Bridget Mason	hasName	Biddy Bridget Mason
Biddy Bridget Mason	hasDescription	Born Enslaved. Free before 13th Amendment. While enslaved by a family of Mormon converts, she was brought to Utah and then to California, where she gained her freedom and became a property owner.
