Elijah Abel Able	instance of	Person
Elijah Abel Able	hasSex	Male
Elijah Abel Able	hasParticipantRole	Child
Elijah Abel Able	hasParticipantRole	Deceased Person
Elijah Abel Able	hasDescriptiveOccupation	Frontiersman / Pioneer
Elijah Abel Able	hasDescriptiveOccupation	Mormon Leader
Elijah Abel Able	hasFirstName	Elijah
Elijah Abel Able	hasSurname	Abel [Able]
Elijah Abel Able	hasName	Elijah Abel [Able]
Elijah Abel Able	hasDescription	Unknown. Free before 13th Amendment. An early African American priest in the Church of Jesus Christ of Latter-day Saints who migrated to Utah and who encountered significant prejudice within the religion.
