Elizabeth Taylor Greenfield	instance of	Person
Elizabeth Taylor Greenfield	hasSex	Female
Elizabeth Taylor Greenfield	hasParticipantRole	Child
Elizabeth Taylor Greenfield	hasParticipantRole	Deceased Person
Elizabeth Taylor Greenfield	hasDescriptiveOccupation	Slave
Elizabeth Taylor Greenfield	hasDescriptiveOccupation	Music Educator
Elizabeth Taylor Greenfield	hasDescriptiveOccupation	Concert Singer
Elizabeth Taylor Greenfield	hasFirstName	Elizabeth Taylor
Elizabeth Taylor Greenfield	hasSurname	Greenfield
Elizabeth Taylor Greenfield	hasName	Elizabeth Taylor Greenfield
Elizabeth Taylor Greenfield	hasDescription	Born Enslaved. Free before 13th Amendment. A talented singer; nicknamed "the Black Swan." Toured widely in the North and in England. The Black Swan at Home and Abroad was published about her in 1856. https://archive.org/details/blackswanathomea00phil/page/n3.
