Elizabeth Hobbs Keckley	instance of	Person
Elizabeth Hobbs Keckley	hasSex	Female
Elizabeth Hobbs Keckley	hasParticipantRole	Child
Elizabeth Hobbs Keckley	hasParticipantRole	Deceased Person
Elizabeth Hobbs Keckley	hasDescriptiveOccupation	Seamstress
Elizabeth Hobbs Keckley	hasDescriptiveOccupation	Slave
Elizabeth Hobbs Keckley	hasDescriptiveOccupation	Confidante
Elizabeth Hobbs Keckley	hasDescriptiveOccupation	Autobiographer / Memoirist
Elizabeth Hobbs Keckley	hasDescriptiveOccupation	White House Staff
Elizabeth Hobbs Keckley	hasFirstName	Elizabeth Hobbs
Elizabeth Hobbs Keckley	hasSurname	Keckley
Elizabeth Hobbs Keckley	hasName	Elizabeth Hobbs Keckley
Elizabeth Hobbs Keckley	hasDescription	Enslaved. Free before 13th Amendment. A dressmaker for Mary Lincoln, activist for "contraband" (newly freed slaves), and an autobiographer.
