Harriet Ann Jacobs	instance of	Person
Harriet Ann Jacobs	hasSex	Female
Harriet Ann Jacobs	hasParticipantRole	Child
Harriet Ann Jacobs	hasParticipantRole	Deceased Person
Harriet Ann Jacobs	hasDescriptiveOccupation	Slave
Harriet Ann Jacobs	hasDescriptiveOccupation	Social Reformer
Harriet Ann Jacobs	hasDescriptiveOccupation	Slave Narrative Author
Harriet Ann Jacobs	hasFirstName	Harriet Ann
Harriet Ann Jacobs	hasSurname	Jacobs
Harriet Ann Jacobs	hasName	Harriet Ann Jacobs
Harriet Ann Jacobs	hasDescription	Born Enslaved. Free before 13th Amendment. Wrote under the pseudonym "Linda Brent". Antislavery activist and relief worker during the Civil War.
