Jeffrey Brace	instance of	Person
Jeffrey Brace	hasSex	Male
Jeffrey Brace	hasParticipantRole	Child
Jeffrey Brace	hasParticipantRole	Deceased Person
Jeffrey Brace	hasDescriptiveOccupation	Farmer
Jeffrey Brace	hasDescriptiveOccupation	Slave
Jeffrey Brace	hasDescriptiveOccupation	Soldier
Jeffrey Brace	hasDescriptiveOccupation	Sailor (Navy)
Jeffrey Brace	hasFirstName	Jeffrey
Jeffrey Brace	hasSurname	Brace
Jeffrey Brace	hasName	Jeffrey Brace
Jeffrey Brace	hasDescription	Enslaved. Free before 13th Amendment. Gained freedom after service in multiple wars, but his years as a freedman were tainted by the racism he experienced in Vermont.
