John Edward Bruce	instance of	Person
John Edward Bruce	hasSex	Male
John Edward Bruce	hasParticipantRole	Child
John Edward Bruce	hasParticipantRole	Deceased Person
John Edward Bruce	hasDescriptiveOccupation	Slave
John Edward Bruce	hasDescriptiveOccupation	Civil Rights Activist
John Edward Bruce	hasDescriptiveOccupation	Historian
John Edward Bruce	hasDescriptiveOccupation	Print Journalist
John Edward Bruce	hasFirstName	John Edward
John Edward Bruce	hasSurname	Bruce
John Edward Bruce	hasName	John Edward Bruce
John Edward Bruce	hasDescription	Born Enslaved. A newspaper columnist and author who was one of the most widely read African American journalists during his life.
