John Jea	instance of	Person
John Jea	hasSex	Male
John Jea	hasParticipantRole	Child
John Jea	hasParticipantRole	Deceased Person
John Jea	hasDescriptiveOccupation	Slave
John Jea	hasDescriptiveOccupation	Sailor (Trading Vessel)
John Jea	hasDescriptiveOccupation	Freedman / Freedwoman
John Jea	hasDescriptiveOccupation	Slave Narrative Author
John Jea	hasDescriptiveOccupation	Christian Clergy / Lay Leader
John Jea	hasFirstName	John
John Jea	hasSurname	Jea
John Jea	hasName	John Jea
John Jea	hasDescription	Enslaved. Free before 13th Amendment. The author of a significant autobiography, Jea toured, preached, and held revivals in the U.S., while at sea, during multiple European tours, and in the West Indies.
