John Wesley Edward Bowen	instance of	Person
John Wesley Edward Bowen	hasSex	Male
John Wesley Edward Bowen	hasParticipantRole	Child
John Wesley Edward Bowen	hasParticipantRole	Deceased Person
John Wesley Edward Bowen	hasDescriptiveOccupation	Slave
John Wesley Edward Bowen	hasDescriptiveOccupation	Religious Educator
John Wesley Edward Bowen	hasDescriptiveOccupation	Theologian
John Wesley Edward Bowen	hasFirstName	John Wesley Edward
John Wesley Edward Bowen	hasSurname	Bowen
John Wesley Edward Bowen	hasName	John Wesley Edward Bowen
John Wesley Edward Bowen	hasDescription	Enslaved. Free before 13th Amendment. The second African American to earn a PhD, he was active in many associations and president of a theological seminary. At one point the most prominent African American clergyman in the Methodist Episcopal Church.
