Pierre Caliste Landry	instance of	Person
Pierre Caliste Landry	hasSex	Male
Pierre Caliste Landry	hasParticipantRole	Child
Pierre Caliste Landry	hasParticipantRole	Deceased Person
Pierre Caliste Landry	hasDescriptiveOccupation	Slave
Pierre Caliste Landry	hasDescriptiveOccupation	State Legislator
Pierre Caliste Landry	hasDescriptiveOccupation	Lawyer
Pierre Caliste Landry	hasDescriptiveOccupation	Institutional Founder / Benefactor
Pierre Caliste Landry	hasDescriptiveOccupation	Methodist Episcopal Clergy
Pierre Caliste Landry	hasFirstName	Pierre Caliste
Pierre Caliste Landry	hasSurname	Landry
Pierre Caliste Landry	hasName	Pierre Caliste Landry
Pierre Caliste Landry	hasDescription	Enslaved. When elected mayor of Donaldsonville in 1868, he became the first African American mayor in the United States. Also served as a state Representative, Senator, university founder, and Methodist Elder.
