Richard Henry Boyd	instance of	Person
Richard Henry Boyd	hasSex	Male
Richard Henry Boyd	hasParticipantRole	Child
Richard Henry Boyd	hasParticipantRole	Deceased Person
Richard Henry Boyd	hasDescriptiveOccupation	Slave
Richard Henry Boyd	hasDescriptiveOccupation	Baptist Clergy
Richard Henry Boyd	hasFirstName	Richard Henry
Richard Henry Boyd	hasSurname	Boyd
Richard Henry Boyd	hasName	Richard Henry Boyd
Richard Henry Boyd	hasDescription	Enslaved. An organizer of the Texas Negro Baptist Convention (TNBC), Boyd worked to develop educational resources for black freedmen (as an alternative to education provided by the predominately white American Baptist Home Mission Society).
