Scipio Africanus	instance of	Person
Scipio Africanus	hasSex	Male
Scipio Africanus	hasParticipantRole	Child
Scipio Africanus	hasParticipantRole	Deceased Person
Scipio Africanus	hasDescriptiveOccupation	War Hero
Scipio Africanus	hasDescriptiveOccupation	Sailor (Navy)
Scipio Africanus	hasFirstName	Scipio
Scipio Africanus	hasSurname	Africanus
Scipio Africanus	hasName	Scipio Africanus
Scipio Africanus	hasDescription	Enslaved. Free before 13th Amendment. Served in the Navy during the American Revolution aboard the Ranger and was one of several crewmembers to petition the American commissioners in France for better treatment of a ship officer.
