William Saunders Crowdy	instance of	Person
William Saunders Crowdy	hasSex	Male
William Saunders Crowdy	hasParticipantRole	Child
William Saunders Crowdy	hasParticipantRole	Deceased Person
William Saunders Crowdy	hasDescriptiveOccupation	Chef / Cook
William Saunders Crowdy	hasDescriptiveOccupation	Slave
William Saunders Crowdy	hasDescriptiveOccupation	Fugitive Slave
William Saunders Crowdy	hasDescriptiveOccupation	Church Founder
William Saunders Crowdy	hasFirstName	William Saunders
William Saunders Crowdy	hasSurname	Crowdy
William Saunders Crowdy	hasName	William Saunders Crowdy
William Saunders Crowdy	hasDescription	Enslaved. Founded the Church of God and Saints of Christ, was arrested 22 times while traveling as an itinerant preacher, and built the church infrastructure.
