Mahommah Gardo Baquaqua	a	wikibase:Item
Mahommah Gardo Baquaqua	image	<http://commons.wikimedia.org/wiki/Special:FilePath/Biography%20of%20Mahommah%20G.%20Baquaqua.jpg>
Mahommah Gardo Baquaqua	instance of	human
Mahommah Gardo Baquaqua	sex or gender	male
Mahommah Gardo Baquaqua	place of birth	Djougou
Mahommah Gardo Baquaqua	religion or worldview	Islam
Mahommah Gardo Baquaqua	occupation	writer
Mahommah Gardo Baquaqua	educated at	New-York Central College, McGrawville
Mahommah Gardo Baquaqua	ethnic group	African Americans
Mahommah Gardo Baquaqua	social classification	enslaved person
Mahommah Gardo Baquaqua	notable work	Biography of Mahommah G. Baquaqua
Mahommah Gardo Baquaqua	date of birth	"1824-01-01T00:00:00Z"^^xsd:dateTime
Mahommah Gardo Baquaqua	VIAF ID	"17447841"
Mahommah Gardo Baquaqua	Library of Congress authority ID	"nr98029520"
Mahommah Gardo Baquaqua	Bibliothèque nationale de France ID	"14469276m"
Mahommah Gardo Baquaqua	IdRef ID	"07650980X"
Mahommah Gardo Baquaqua	ISNI	"0000000052510927"
Mahommah Gardo Baquaqua	Nationale Thesaurus voor Auteursnamen ID	"260840262"
Mahommah Gardo Baquaqua	languages spoken, written or signed	Portuguese
Mahommah Gardo Baquaqua	residence	Olinda
Mahommah Gardo Baquaqua	residence	New York City
Mahommah Gardo Baquaqua	residence	Canada
Mahommah Gardo Baquaqua	residence	England
Mahommah Gardo Baquaqua	genre	slave narrative
Mahommah Gardo Baquaqua	FAST ID	"421387"
Mahommah Gardo Baquaqua	Online Books Page author ID	"Baquaqua,
Mahommah Gardo Baquaqua	described by source	Dictionary of African Biography
Mahommah Gardo Baquaqua	date of death	_:d9e4d3299704fdfc38da73b77cdcb62c
Mahommah Gardo Baquaqua	given name	Mohammed
Mahommah Gardo Baquaqua	BlackPast.org ID	"global-african-history/baquaqua-mahommah-gardo-1824-1857"
Mahommah Gardo Baquaqua	on focus list of Wikimedia project	WikiProject African diaspora
Mahommah Gardo Baquaqua	WorldCat Identities ID (superseded)	"lccn-nr98029520"
Mahommah Gardo Baquaqua	CERL Thesaurus ID	"cnp00581865"
Mahommah Gardo Baquaqua	Google Knowledge Graph ID	"/g/121zpk_k"
Mahommah Gardo Baquaqua	National Library of Brazil ID	"000176940"
Mahommah Gardo Baquaqua	National Library of Israel J9U ID	"987007435053405171"
Mahommah Gardo Baquaqua	Enslaved.org person ID	"Q490433"
Mahommah Gardo Baquaqua	GND ID	"124633587"
Mahommah Gardo Baquaqua	rdfs:label	"Baquaqua"@pt
Mahommah Gardo Baquaqua	owl:sameAs	wd:Q9648111
