Moses Grandy	a	wikibase:Item
Moses Grandy	VIAF ID	"78694316"
Moses Grandy	instance of	human
Moses Grandy	sex or gender	male
Moses Grandy	date of birth	"1786-01-01T00:00:00Z"^^xsd:dateTime
Moses Grandy	given name	Moses
Moses Grandy	FAST ID	"1821312"
Moses Grandy	family name	Grandy
Moses Grandy	Library of Congress authority ID	"nr98033872"
Moses Grandy	openMLOL author ID	"174211"
Moses Grandy	social classification	enslaved person
Moses Grandy	date of death	"1843-01-01T00:00:00Z"^^xsd:dateTime
Moses Grandy	ISNI	"0000000080044716"
Moses Grandy	occupation	writer
Moses Grandy	Online Books Page author ID	"Grandy,
Moses Grandy	IdRef ID	"081804970"
Moses Grandy	NCpedia ID	"biography/grandy-moses"
Moses Grandy	place of birth	Camden
Moses Grandy	WorldCat Identities ID (superseded)	"lccn-nr98033872"
Moses Grandy	languages spoken, written or signed	English
Moses Grandy	Freebase ID	"/m/0t53m8b"
Moses Grandy	National Library of Israel J9U ID	"987007417520205171"
Moses Grandy	Project Gutenberg author ID	"5809"
Moses Grandy	rdfs:label	"Moses
