Ottobah Cugoano	a	wikibase:Item
Ottobah Cugoano	wdt:P244	"no88001339"
Ottobah Cugoano	VIAF ID	"76422898"
Ottobah Cugoano	ISNI	"0000000063081689"
Ottobah Cugoano	GND ID	"11887229X"
Ottobah Cugoano	instance of	human
Ottobah Cugoano	Freebase ID	"/m/04hf3n"
Ottobah Cugoano	occupation	writer
Ottobah Cugoano	occupation	domestic worker
Ottobah Cugoano	occupation	abolitionist
Ottobah Cugoano	date of birth	"1757-01-01T00:00:00Z"^^xsd:dateTime
Ottobah Cugoano	languages spoken, written or signed	English
Ottobah Cugoano	social classification	enslaved person
Ottobah Cugoano	image	<http://commons.wikimedia.org/wiki/Special:FilePath/Richard%20and%20Maria%20Cosway%2C%20and%20Ottobah%20Cugoano%201784%20%28cropped%29%20%28cropped%29.jpg>
Ottobah Cugoano	SELIBR ID	"231197"
Ottobah Cugoano	Oxford Dictionary of National Biography ID	"59531"
Ottobah Cugoano	National Portrait Gallery (London) person ID	"mp155289"
Ottobah Cugoano	place of birth	Ajumako
Ottobah Cugoano	FAST ID	"233612"
Ottobah Cugoano	Nationale Thesaurus voor Auteursnamen ID	"130056790"
Ottobah Cugoano	Libris-URI	"1zcfh3fk2mxbk82"
Ottobah Cugoano	described by source	Dictionary of African Biography
Ottobah Cugoano	CERL Thesaurus ID	"cnp01347605"
Ottobah Cugoano	IdRef ID	"034355812"
Ottobah Cugoano	Biblioth\u00e8que nationale de France ID	"125119665"
Ottobah Cugoano	sex or gender	male
Ottobah Cugoano	notable work	Thoughts And Sentiments On The Evil & Wicked Traffic Of The Slavery & Commerce Of The Human Species
Ottobah Cugoano	member of	Sons of Africa
Ottobah Cugoano	on focus list of Wikimedia project	WikiProject African diaspora
Ottobah Cugoano	Treccani's Dizionario di Storia ID	"ottobah-cugoano"
Ottobah Cugoano	WorldCat Identities ID (superseded)	"lccn-no88001339"
Ottobah Cugoano	date of death	"1791-01-01T00:00:00Z"^^xsd:dateTime
Ottobah Cugoano	Shakeosphere person ID	"33778"
Ottobah Cugoano	Babelio author ID	"219193"
Ottobah Cugoano	residence	Schomberg House
Ottobah Cugoano	copyright status as a creator	copyrights on works have expired
Ottobah Cugoano	family name	Cugoano
Ottobah Cugoano	given name	Ottobah
Ottobah Cugoano	IxTheo authority ID	"079649025"
Ottobah Cugoano	National Library of Israel J9U ID	"987007281608105171"
Ottobah Cugoano	Commons category	"Ottobah
Ottobah Cugoano	Penguin Random House author ID	"242722"
Ottobah Cugoano	rdfs:label	"Ottobah
Ottobah Cugoano	owl:sameAs	wd:Q726772
