Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,hasnamevariant,namevariant,24,0.46645021645021645,35,0.5909090909090909,0.0,0.0
instance of,person,hasnamevariant,bethany veney,24,0.46645021645021645,21,0.49572649572649574,0.0,0.0
instance of,person,haspreferrednamevariant,preferrednamevariant,18,0.4239789196310935,31,0.5388888888888889,0.0,0.0
instance of,person,haspreferrednamevariant,bethany veney,18,0.4239789196310935,21,0.49572649572649574,0.0,0.0
instance of,person,fullnameasstring,xsd:string,30,0.4545454545454546,25,0.48888888888888893,0.0,0.0
instance of,person,fullnameasstring,bethany veney,30,0.4545454545454546,21,0.49572649572649574,0.0,0.0
instance of,person,hassurnameasstring,xsd: string,28,0.4452861952861953,24,0.5050505050505051,0.0,0.0
instance of,person,hassurnameasstring,veney,28,0.4452861952861953,36,0.45555555555555555,0.0,0.0
instance of,person,hasfirstnameasstring,xsd: string,32,0.5192640692640692,24,0.5050505050505051,0.0,0.0
instance of,person,hasfirstnameasstring,bethany,32,0.5192640692640692,31,0.5396825396825397,0.0,0.0
instance of,person,hasdescription,description,24,0.47056277056277057,47,0.47979797979797983,0.0,0.0
instance of,person,hasdescription,born into slavery,24,0.47056277056277057,17,0.46732026143790845,0.0,0.0
instance of,person,hasdescription,married twice,24,0.47056277056277057,11,0.32905982905982906,0.0,0.0
instance of,person,hasdescription,first to an enslaved man,24,0.47056277056277057,27,0.5472222222222222,0.0,0.0
instance of,person,hasdescription,jerry fickland,24,0.47056277056277057,30,0.4920634920634921,0.0,0.0
instance of,person,hasdescription,with whom she had a daughter,24,0.47056277056277057,12,0.4246031746031746,0.0,0.0
instance of,person,hasdescription,charlotte. he was sold away from her and she later married frank veney,24,0.47056277056277057,11,0.5015873015873016,0.0,0.0
