Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,hasnamevariant,namevariant,24,0.46645021645021645,35,0.5909090909090909,0.0,0.0
instance of,person,hasnamevariant,harriet evans paine,24,0.46645021645021645,24,0.44152046783625726,0.0,0.0
instance of,person,evans,"paine, ""harriet evans paine"")",25,0.5131313131313131,29,0.518199233716475,0.0,0.0
instance of,person,haspreferrednamevariant,preferrednamevariant,18,0.4239789196310935,31,0.5388888888888889,0.0,0.0
instance of,person,haspreferrednamevariant,harriet evans paine,18,0.4239789196310935,24,0.44152046783625726,0.0,0.0
instance of,person,evans,"paine, ""harriet evans paine"")",25,0.5131313131313131,29,0.518199233716475,0.0,0.0
instance of,person,fullnameasstring,xsd:string,30,0.4545454545454546,25,0.48888888888888893,0.0,0.0
instance of,person,fullnameasstring,harriet evans paine,30,0.4545454545454546,24,0.44152046783625726,0.0,0.0
instance of,person,evans,"paine, ""harriet evans paine"")",25,0.5131313131313131,29,0.518199233716475,0.0,0.0
instance of,person,hassurnameasstring,xsd: string,28,0.4452861952861953,24,0.5050505050505051,0.0,0.0
instance of,person,hassurnameasstring,paine,28,0.4452861952861953,36,0.5777777777777778,0.0,0.0
instance of,person,evans,"paine, ""paine"")",25,0.5131313131313131,29,0.45555555555555555,0.0,0.0
instance of,person,hasfirstnameasstring,xsd: string,32,0.5192640692640692,24,0.5050505050505051,0.0,0.0
instance of,person,hasfirstnameasstring,harriet,32,0.5192640692640692,15,0.4365079365079365,0.0,0.0
instance of,person,evans,"paine, ""harriet"")",25,0.5131313131313131,26,0.4477124183006536,0.0,0.0
instance of,person,hasdescription,description,24,0.47056277056277057,47,0.47979797979797983,0.0,0.0
instance of,person,hasdescription,texas storyteller and oral historian. she was born a slave and was also known as 'aunt harriet.,24,0.47056277056277057,10,0.5619883040935673,0.0,0.0
