Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,hasnamevariant,namevariant,24,0.46645021645021645,35,0.5909090909090909,0.0,0.0
instance of,person,hasnamevariant,seymour burr,24,0.46645021645021645,22,0.5,0.0,0.0
instance of,person,haspreferrednamevariant,preferrednamevariant,18,0.4239789196310935,31,0.5388888888888889,0.0,0.0
instance of,person,haspreferrednamevariant,seymour burr,18,0.4239789196310935,22,0.5,0.0,0.0
instance of,person,fullnameasstring,xsd:string,30,0.4545454545454546,25,0.48888888888888893,0.0,0.0
instance of,person,fullnameasstring,seymour burr,30,0.4545454545454546,22,0.5,0.0,0.0
instance of,person,hassurnameasstring,xsd: string,28,0.4452861952861953,24,0.5050505050505051,0.0,0.0
instance of,person,hassurnameasstring,burr,28,0.4452861952861953,20,0.47222222222222215,0.0,0.0
instance of,person,hasfirstnameasstring,xsd: string,32,0.5192640692640692,24,0.5050505050505051,0.0,0.0
instance of,person,hasfirstnameasstring,seymour,32,0.5192640692640692,31,0.5396825396825397,0.0,0.0
instance of,person,hasdescription,description,24,0.47056277056277057,47,0.47979797979797983,0.0,0.0
instance of,person,hasdescription,enslaved african-american in the connecticut colony in the north american british colonies and united states. enslaved by the brother of colonel aaron burr,24,0.47056277056277057,6,0.5551971326164874,0.0,0.0
instance of,person,hasdescription,who was also named seymour,24,0.47056277056277057,19,0.42735042735042733,0.0,0.0
instance of,person,hasdescription,he was known only as seymour until he escaped and used the surname burr to enlist in the british army in the early days of the american revolution.,24,0.47056277056277057,8,0.5136054421768708,0.0,0.0
instance of,person,in the connecticut colony in the north american british colonies and united,"states. enslaved by the brother of colonel aaron burr, who was also named seymour, he was known only as seymour until he escaped and used the surname burr to enlist in the british army in the early days of the american revolution."")",19,0.534949494949495,5,0.4849616858237548,0.0,0.0
