Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,is the,information that can be extracted:,47,0.6767676767676768,15,0.41830065359477125,0.0,0.0
instance of,person,on the provided,"text, the agent in question is shields green. however, the text does not provide enough information to fully populate all the ontology modules. here is the information that can be extracted:",38,0.5292929292929293,6,0.5105263157894737,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,hasnamevariant,namevariant,24,0.46645021645021645,35,0.5909090909090909,0.0,0.0
instance of,person,hasnamevariant,shields green,24,0.46645021645021645,32,0.32905982905982906,0.0,0.0
instance of,person,haspreferrednamevariant,preferrednamevariant,18,0.4239789196310935,31,0.5388888888888889,0.0,0.0
instance of,person,haspreferrednamevariant,shields green,18,0.4239789196310935,32,0.32905982905982906,0.0,0.0
instance of,person,fullnameasstring,xsd:string,30,0.4545454545454546,25,0.48888888888888893,0.0,0.0
instance of,person,fullnameasstring,shields green,30,0.4545454545454546,32,0.32905982905982906,0.0,0.0
instance of,person,hassurnameasstring,xsd: string,28,0.4452861952861953,24,0.5050505050505051,0.0,0.0
instance of,person,hassurnameasstring,green,28,0.4452861952861953,36,0.5888888888888889,0.0,0.0
instance of,person,hasfirstnameasstring,xsd: string,32,0.5192640692640692,24,0.5050505050505051,0.0,0.0
instance of,person,hasfirstnameasstring,shields,32,0.5192640692640692,31,0.4365079365079365,0.0,0.0
instance of,person,hasdescription,description,24,0.47056277056277057,47,0.47979797979797983,0.0,0.0
instance of,person,hasdescription,member of brown's raiders,24,0.47056277056277057,26,0.6088888888888889,0.0,0.0
instance of,person,hasdescription,nearly killed robert e. lee,24,0.47056277056277057,18,0.4382716049382716,0.0,0.0
instance of,person,hasdescription,supervised hostages,24,0.47056277056277057,40,0.5654970760233918,0.0,0.0
instance of,person,hasdescription,was put on trial,24,0.47056277056277057,27,0.5555555555555555,0.0,0.0
instance of,person,of,"brown's raiders, nearly killed robert e. lee, supervised hostages, was put on trial"")",31,0.0,13,0.4973856209150327,0.5797386715376658,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_race,race,42,0.537878787878788,20,0.4444444444444444,0.0,0.0
instance of,person,has_race,african-american,42,0.537878787878788,27,0.4861111111111111,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,hassex,sex_type,24,0.47979797979797983,29,0.3611111111111111,0.0,0.0
instance of,person,hassex,male,24,0.47979797979797983,20,0.47222222222222215,0.0,0.0
instance of,person,status record,module:,42,0.6773226773226773,15,0.0,0.0,0.0
instance of,person,hasstatusgeneratedevent,event,29,0.4906455862977602,36,0.5777777777777778,0.0,0.0
instance of,person,hasstatusgeneratedevent,trial,29,0.4906455862977602,18,0.45555555555555555,0.0,0.0
instance of,person,hasvalue,pscategories,32,0.43813131313131315,44,0.5833333333333334,0.0,0.0
instance of,person,hasvalue,prisoner,32,0.43813131313131315,71,0.8375000000000001,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,hasvalue,occupations,32,0.43813131313131315,35,0.47979797979797983,0.0,0.0
instance of,person,hasvalue,raid member,32,0.43813131313131315,24,0.41919191919191917,0.0,0.0
instance of,person,relationship record,module:,33,0.5494417862838915,15,0.0,0.0,0.0
instance of,person,hasinteragentrelationshiptype,interagentrelationshiptypes,35,0.5427115987460814,24,0.4382716049382716,0.0,0.0
instance of,person,hasinteragentrelationshiptype,associate,35,0.5427115987460814,27,0.5185185185185185,0.0,0.0
instance of,person,isrelationshipto,agent,37,0.5960497835497836,36,0.5777777777777778,0.0,0.0
instance of,person,isrelationshipto,edwin coppock,37,0.5960497835497836,21,0.46581196581196577,0.0,0.0
instance of,person,isrelationshipfrom,agent,34,0.5989057239057239,36,0.5777777777777778,0.0,0.0
instance of,person,isrelationshipfrom,shields green,34,0.5989057239057239,32,0.32905982905982906,0.0,0.0
instance of,person,role record,module:,27,0.49242424242424243,15,0.0,0.0,0.0
instance of,person,hasparticipantroletype,participantroletypes,30,0.5719696969696969,23,0.5388888888888889,0.0,0.0
instance of,person,hasparticipantroletype,hostage supervisor,30,0.5719696969696969,42,0.4444444444444444,0.0,0.0
instance of,person,roleprovidedby,event,16,0.44155844155844154,36,0.5777777777777778,0.0,0.0
instance of,person,roleprovidedby,brown's raid,16,0.44155844155844154,33,0.5833333333333334,0.0,0.0
instance of,person,text does not provide information about,"green's place of origin, age, birth date, death date, or specific events that generated his status.",24,0.5348355348355348,10,0.5757575757575757,0.0,0.0
hassex,male,is the,information that can be extracted:,33,0.5555555555555555,16,0.5196078431372549,0.0,0.0
hassex,male,on the provided,"text, the agent in question is shields green. however, the text does not provide enough information to fully populate all the ontology modules. here is the information that can be extracted:",19,0.48888888888888893,4,0.5903508771929825,0.0,0.0
hassex,male,record,module:,17,0.0,55,0.7535714285714287,0.0,0.0
hassex,male,hasnamevariant,namevariant,40,0.6507936507936508,27,0.5631313131313131,0.0,0.0
hassex,male,hasnamevariant,shields green,40,0.6507936507936508,24,0.3846153846153846,0.0,0.0
hassex,male,haspreferrednamevariant,preferrednamevariant,28,0.6135265700483091,17,0.3666666666666667,0.0,0.0
hassex,male,haspreferrednamevariant,shields green,28,0.6135265700483091,24,0.3846153846153846,0.0,0.0
hassex,male,fullnameasstring,xsd:string,27,0.5555555555555555,0,0.0,0.0,0.0
hassex,male,fullnameasstring,shields green,27,0.5555555555555555,24,0.3846153846153846,0.0,0.0
hassex,male,hassurnameasstring,xsd: string,42,0.8222222222222222,0,0.0,0.0,0.0
hassex,male,hassurnameasstring,green,42,0.8222222222222222,22,0.48333333333333334,0.0,0.0
hassex,male,hasfirstnameasstring,xsd: string,38,0.6944444444444445,0,0.0,0.0,0.0
hassex,male,hasfirstnameasstring,shields,38,0.6944444444444445,18,0.42857142857142855,0.0,0.0
hassex,male,hasdescription,description,40,0.6634920634920635,13,0.44696969696969696,0.0,0.0
hassex,male,hasdescription,member of brown's raiders,40,0.6634920634920635,21,0.5266666666666667,0.0,0.0
hassex,male,hasdescription,nearly killed robert e. lee,40,0.6634920634920635,19,0.5092592592592592,0.0,0.0
hassex,male,hasdescription,supervised hostages,40,0.6634920634920635,17,0.43421052631578944,0.0,0.0
hassex,male,hasdescription,was put on trial,40,0.6634920634920635,20,0.4375,0.0,0.0
hassex,male,of,"brown's raiders, nearly killed robert e. lee, supervised hostages, was put on trial"")",0,0.0,7,0.48398692810457516,0.0,0.0
hassex,male,record,module:,17,0.0,55,0.7535714285714287,0.0,0.0
hassex,male,has_race,race,57,0.8055555555555556,50,0.6666666666666666,0.0,0.0
hassex,male,has_race,african-american,57,0.8055555555555556,20,0.5416666666666666,0.0,0.0
hassex,male,record,module:,17,0.0,55,0.7535714285714287,0.0,0.0
hassex,male,hassex,sex_type,100,1.0,17,0.4583333333333333,1.0,0.0
hassex,male,hassex,male,100,1.0,100,1.0,1.0,1.0
hassex,male,status record,module:,32,0.5747863247863249,55,0.7535714285714287,0.0,0.0
hassex,male,hasstatusgeneratedevent,event,34,0.6835748792270531,22,0.48333333333333334,0.0,0.0
hassex,male,hasstatusgeneratedevent,trial,34,0.6835748792270531,44,0.0,0.0,0.0
hassex,male,hasvalue,pscategories,57,0.8055555555555556,25,0.5555555555555555,0.0,0.0
hassex,male,hasvalue,prisoner,57,0.8055555555555556,17,0.4583333333333333,0.0,0.0
hassex,male,record,module:,17,0.0,55,0.7535714285714287,0.0,0.0
hassex,male,hasvalue,occupations,57,0.8055555555555556,13,0.44696969696969696,0.0,0.0
hassex,male,hasvalue,raid member,57,0.8055555555555556,27,0.5606060606060607,0.0,0.0
hassex,male,relationship record,module:,24,0.44152046783625726,55,0.7535714285714287,0.0,0.0
hassex,male,hasinteragentrelationshiptype,interagentrelationshiptypes,29,0.6015325670498084,19,0.5092592592592592,0.0,0.0
hassex,male,hasinteragentrelationshiptype,associate,29,0.6015325670498084,31,0.4537037037037037,0.0,0.0
hassex,male,isrelationshipto,agent,18,0.47222222222222215,44,0.6333333333333333,0.0,0.0
hassex,male,isrelationshipto,edwin coppock,18,0.47222222222222215,12,0.4423076923076923,0.0,0.0
hassex,male,isrelationshipfrom,agent,17,0.46296296296296297,44,0.6333333333333333,0.0,0.0
hassex,male,isrelationshipfrom,shields green,17,0.46296296296296297,24,0.3846153846153846,0.0,0.0
hassex,male,role record,module:,12,0.41919191919191917,55,0.7535714285714287,0.0,0.0
hassex,male,hasparticipantroletype,participantroletypes,29,0.5454545454545454,25,0.43333333333333335,0.0,0.0
hassex,male,hasparticipantroletype,hostage supervisor,29,0.5454545454545454,18,0.5370370370370371,0.0,0.0
hassex,male,roleprovidedby,event,10,0.41269841269841273,22,0.48333333333333334,0.0,0.0
hassex,male,roleprovidedby,brown's raid,10,0.41269841269841273,12,0.0,0.0,0.0
hassex,male,text does not provide information about,"green's place of origin, age, birth date, death date, or specific events that generated his status.",9,0.41452991452991456,4,0.48232323232323226,0.0,0.0
hasparticipantrole,child,is the,information that can be extracted:,25,0.5462962962962963,10,0.31960784313725493,0.0,0.0
hasparticipantrole,child,on the provided,"text, the agent in question is shields green. however, the text does not provide enough information to fully populate all the ontology modules. here is the information that can be extracted:",30,0.4756613756613757,4,0.6070175438596491,0.0,0.0
hasparticipantrole,child,record,module:,25,0.48148148148148145,17,0.3952380952380952,0.0,0.0
hasparticipantrole,child,hasnamevariant,namevariant,56,0.6402116402116401,12,0.0,0.0,0.0
hasparticipantrole,child,hasnamevariant,shields green,56,0.6402116402116401,44,0.7025641025641026,0.0,0.0
hasparticipantrole,child,haspreferrednamevariant,preferrednamevariant,49,0.6183574879227053,8,0.4166666666666667,0.0,0.0
hasparticipantrole,child,haspreferrednamevariant,shields green,49,0.6183574879227053,44,0.7025641025641026,0.0,0.0
hasparticipantrole,child,fullnameasstring,xsd:string,29,0.513558201058201,13,0.43333333333333335,0.0,0.0
hasparticipantrole,child,fullnameasstring,shields green,29,0.513558201058201,44,0.7025641025641026,0.0,0.0
hasparticipantrole,child,hassurnameasstring,xsd: string,39,0.6498316498316499,12,0.43030303030303035,0.0,0.0
hasparticipantrole,child,hassurnameasstring,green,39,0.6498316498316499,0,0.0,0.0,0.0
hasparticipantrole,child,hasfirstnameasstring,xsd: string,42,0.7996723646723647,12,0.43030303030303035,0.0,0.0
hasparticipantrole,child,hasfirstnameasstring,shields,42,0.7996723646723647,67,0.7904761904761904,0.0,0.0
hasparticipantrole,child,hasdescription,description,50,0.7956228956228956,25,0.5131313131313131,0.0,0.0
hasparticipantrole,child,hasdescription,member of brown's raiders,50,0.7956228956228956,13,0.0,0.0,0.0
hasparticipantrole,child,hasdescription,nearly killed robert e. lee,50,0.7956228956228956,19,0.45925925925925926,0.0,0.0
hasparticipantrole,child,hasdescription,supervised hostages,50,0.7956228956228956,17,0.5017543859649123,0.0,0.0
hasparticipantrole,child,hasdescription,was put on trial,50,0.7956228956228956,19,0.0,0.0,0.0
hasparticipantrole,child,of,"brown's raiders, nearly killed robert e. lee, supervised hostages, was put on trial"")",10,0.0,7,0.4339869281045751,0.0,0.0
hasparticipantrole,child,record,module:,25,0.48148148148148145,17,0.3952380952380952,0.0,0.0
hasparticipantrole,child,has_race,race,46,0.6388888888888888,22,0.0,0.0,0.0
hasparticipantrole,child,has_race,african-american,46,0.6388888888888888,19,0.3416666666666666,0.0,0.0
hasparticipantrole,child,record,module:,25,0.48148148148148145,17,0.3952380952380952,0.0,0.0
hasparticipantrole,child,hassex,sex_type,33,0.5555555555555555,0,0.0,0.0,0.0
hasparticipantrole,child,hassex,male,33,0.5555555555555555,22,0.48333333333333334,0.0,0.0
hasparticipantrole,child,status record,module:,39,0.4995929995929996,17,0.3952380952380952,0.0,0.0
hasparticipantrole,child,hasstatusgeneratedevent,event,39,0.5967793880837359,0,0.0,0.0,0.0
hasparticipantrole,child,hasstatusgeneratedevent,trial,39,0.5967793880837359,40,0.6,0.0,0.0
hasparticipantrole,child,hasvalue,pscategories,46,0.5740740740740741,24,0.42777777777777776,0.0,0.0
hasparticipantrole,child,hasvalue,prisoner,46,0.5740740740740741,15,0.44166666666666665,0.0,0.0
hasparticipantrole,child,record,module:,25,0.48148148148148145,17,0.3952380952380952,0.0,0.0
hasparticipantrole,child,hasvalue,occupations,46,0.5740740740740741,25,0.43030303030303035,0.0,0.0
hasparticipantrole,child,hasvalue,raid member,46,0.5740740740740741,25,0.5272727272727272,0.0,0.0
hasparticipantrole,child,relationship record,module:,38,0.5994152046783626,17,0.3952380952380952,0.0,0.0
hasparticipantrole,child,hasinteragentrelationshiptype,interagentrelationshiptypes,47,0.6724137931034483,12,0.49135802469135803,0.0,0.0
hasparticipantrole,child,hasinteragentrelationshiptype,associate,47,0.6724137931034483,29,0.43703703703703706,0.0,0.0
hasparticipantrole,child,isrelationshipto,agent,47,0.6268518518518519,0,0.0,0.0,0.0
hasparticipantrole,child,isrelationshipto,edwin coppock,47,0.6268518518518519,11,0.3512820512820513,0.0,0.0
hasparticipantrole,child,isrelationshipfrom,agent,44,0.6037037037037037,0,0.0,0.0,0.0
hasparticipantrole,child,isrelationshipfrom,shields green,44,0.6037037037037037,44,0.7025641025641026,0.0,0.0
hasparticipantrole,child,role record,module:,28,0.4452861952861953,17,0.3952380952380952,0.0,0.0
hasparticipantrole,child,hasparticipantroletype,participantroletypes,90,0.9636363636363636,24,0.3333333333333333,0.0,0.0
hasparticipantrole,child,hasparticipantroletype,hostage supervisor,90,0.9636363636363636,17,0.4185185185185185,0.0,0.0
hasparticipantrole,child,roleprovidedby,event,31,0.4193121693121693,0,0.0,0.0,0.0
hasparticipantrole,child,roleprovidedby,brown's raid,31,0.4193121693121693,24,0.0,0.0,0.0
hasparticipantrole,child,text does not provide information about,"green's place of origin, age, birth date, death date, or specific events that generated his status.",28,0.4914529914529915,8,0.6168350168350168,0.0,0.0
