Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,on the text,"provided, the ontology can be populated as follows:",36,0.5757575757575758,14,0.577124183006536,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,hasnamevariant,namevariant,24,0.46645021645021645,35,0.5909090909090909,0.0,0.0
instance of,person,hasnamevariant,thomas sims,24,0.46645021645021645,12,0.3383838383838384,0.0,0.0
instance of,person,haspreferrednamevariant,preferrednamevariant,18,0.4239789196310935,31,0.5388888888888889,0.0,0.0
instance of,person,haspreferrednamevariant,thomas sims,18,0.4239789196310935,12,0.3383838383838384,0.0,0.0
instance of,person,fullnameasstring,xsd:string,30,0.4545454545454546,25,0.48888888888888893,0.0,0.0
instance of,person,fullnameasstring,thomas sims,30,0.4545454545454546,12,0.3383838383838384,0.0,0.0
instance of,person,hassurnameasstring,xsd: string,28,0.4452861952861953,24,0.5050505050505051,0.0,0.0
instance of,person,hassurnameasstring,sims,28,0.4452861952861953,20,0.47222222222222215,0.0,0.0
instance of,person,hasfirstnameasstring,xsd: string,32,0.5192640692640692,24,0.5050505050505051,0.0,0.0
instance of,person,hasfirstnameasstring,thomas,32,0.5192640692640692,17,0.38888888888888884,0.0,0.0
instance of,person,hasdescription,description,24,0.47056277056277057,47,0.47979797979797983,0.0,0.0
instance of,person,hasdescription,african american who escaped from slavery in georgia and fled to boston,24,0.47056277056277057,16,0.528169014084507,0.0,0.0
instance of,person,hasdescription,massachusetts,24,0.47056277056277057,21,0.41452991452991456,0.0,0.0
instance of,person,hasdescription,in 1851. he was arrested the same year under the fugitive slave act of 1850,24,0.47056277056277057,10,0.49,0.0,0.0
instance of,person,hasdescription,had a court hearing,24,0.47056277056277057,24,0.3128654970760234,0.0,0.0
instance of,person,hasdescription,and was forced to return to enslavement. a second escape brought him back to boston in 1863,24,0.47056277056277057,12,0.4960927960927961,0.0,0.0
instance of,person,hasdescription,where he was later appointed to a position in the u.s. department of justice in 1877.,24,0.47056277056277057,11,0.5790849673202615,0.0,0.0
instance of,person,american who escaped from slavery in georgia and fled to,"boston, massachusetts, in 1851. he was arrested the same year under the fugitive slave act of 1850, had a court hearing, and was forced to return to enslavement. a second escape brought him back to boston in 1863, where he was later appointed to a position in the u.s. department of justice in 1877."")",24,0.5114838864838865,4,0.48331487633813214,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,referstoplaceoforigin,place,44,0.5137085137085137,36,0.45555555555555555,0.0,0.0
instance of,person,referstoplaceoforigin,savannah,44,0.5137085137085137,29,0.5277777777777778,0.0,0.0
instance of,person,referstoplaceoforigin,georgia,44,0.5137085137085137,31,0.5317460317460317,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_race,race,42,0.537878787878788,20,0.4444444444444444,0.0,0.0
instance of,person,has_race,african-american,42,0.537878787878788,27,0.4861111111111111,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,hassex,sex_type,24,0.47979797979797983,29,0.3611111111111111,0.0,0.0
instance of,person,hassex,male,24,0.47979797979797983,20,0.47222222222222215,0.0,0.0
instance of,person,status record,module:,42,0.6773226773226773,15,0.0,0.0,0.0
instance of,person,hasstatusgeneratedevent,event,29,0.4906455862977602,36,0.5777777777777778,0.0,0.0
instance of,person,hasstatusgeneratedevent,escape from slavery,29,0.4906455862977602,32,0.5654970760233918,0.0,0.0
instance of,person,hasstatusgeneratedevent,arrest under the fugitive slave act,29,0.4906455862977602,15,0.5103174603174603,0.0,0.0
instance of,person,hasstatusgeneratedevent,return to enslavement,29,0.4906455862977602,30,0.557142857142857,0.0,0.0
instance of,person,hasstatusgeneratedevent,second escape,29,0.4906455862977602,32,0.5747863247863249,0.0,0.0
instance of,person,hasstatusgeneratedevent,appointment to the u.s. department of justice,29,0.4906455862977602,16,0.5148148148148147,0.0,0.0
instance of,person,from,"slavery, arrest under the fugitive slave act, return to enslavement, second escape, appointment to the u.s. department of justice"")",13,0.0,7,0.4905004240882103,0.0,0.0
instance of,person,hasvalue,pscategories,32,0.43813131313131315,44,0.5833333333333334,0.0,0.0
instance of,person,hasvalue,slave,32,0.43813131313131315,18,0.0,0.0,0.0
instance of,person,hasvalue,fugitive,32,0.43813131313131315,14,0.0,0.0,0.0
instance of,person,hasvalue,employee of the u.s. department of justice,32,0.43813131313131315,17,0.42063492063492064,0.0,0.0
instance of,person,of the,"u.s. department of justice"")",24,0.5050505050505051,18,0.626984126984127,0.33609692727625756,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,hasvalue,occupations,32,0.43813131313131315,35,0.47979797979797983,0.0,0.0
instance of,person,hasvalue,employee of the u.s. department of justice,32,0.43813131313131315,17,0.42063492063492064,0.0,0.0
instance of,person,of the,"u.s. department of justice"")",24,0.5050505050505051,18,0.626984126984127,0.33609692727625756,0.0
instance of,person,relationship record,module:,33,0.5494417862838915,15,0.0,0.0,0.0
instance of,person,hasinteragentrelationshiptype,interagentrelationshiptypes,35,0.5427115987460814,24,0.4382716049382716,0.0,0.0
instance of,person,hasinteragentrelationshiptype,slave,35,0.5427115987460814,18,0.0,0.0,0.0
instance of,person,isrelationshipto,agent,37,0.5960497835497836,36,0.5777777777777778,0.0,0.0
instance of,person,isrelationshipto,james potter,37,0.5960497835497836,33,0.5833333333333334,0.0,0.0
instance of,person,isrelationshipfrom,agent,34,0.5989057239057239,36,0.5777777777777778,0.0,0.0
instance of,person,isrelationshipfrom,thomas sims,34,0.5989057239057239,12,0.3383838383838384,0.0,0.0
instance of,person,birth and death,"dates, as well as the age, are not provided in the text, so those relations are skipped.",38,0.5373737373737374,11,0.5782828282828283,0.0,0.0
hassex,male,on the text,"provided, the ontology can be populated as follows:",35,0.5909090909090909,11,0.49183006535947715,0.0,0.0
hassex,male,record,module:,17,0.0,55,0.7535714285714287,0.0,0.0
hassex,male,hasnamevariant,namevariant,40,0.6507936507936508,27,0.5631313131313131,0.0,0.0
hassex,male,hasnamevariant,thomas sims,40,0.6507936507936508,27,0.5606060606060607,0.0,0.0
hassex,male,haspreferrednamevariant,preferrednamevariant,28,0.6135265700483091,17,0.3666666666666667,0.0,0.0
hassex,male,haspreferrednamevariant,thomas sims,28,0.6135265700483091,27,0.5606060606060607,0.0,0.0
hassex,male,fullnameasstring,xsd:string,27,0.5555555555555555,0,0.0,0.0,0.0
hassex,male,fullnameasstring,thomas sims,27,0.5555555555555555,27,0.5606060606060607,0.0,0.0
hassex,male,hassurnameasstring,xsd: string,42,0.8222222222222222,0,0.0,0.0,0.0
hassex,male,hassurnameasstring,sims,42,0.8222222222222222,25,0.0,0.0,0.0
hassex,male,hasfirstnameasstring,xsd: string,38,0.6944444444444445,0,0.0,0.0,0.0
hassex,male,hasfirstnameasstring,thomas,38,0.6944444444444445,40,0.0,0.0,0.0
hassex,male,hasdescription,description,40,0.6634920634920635,13,0.44696969696969696,0.0,0.0
hassex,male,hasdescription,african american who escaped from slavery in georgia and fled to boston,40,0.6634920634920635,11,0.5187793427230046,0.0,0.0
hassex,male,hasdescription,massachusetts,40,0.6634920634920635,35,0.5512820512820512,0.0,0.0
hassex,male,hasdescription,in 1851. he was arrested the same year under the fugitive slave act of 1850,40,0.6634920634920635,10,0.4855555555555555,0.0,0.0
hassex,male,hasdescription,had a court hearing,40,0.6634920634920635,17,0.43421052631578944,0.0,0.0
hassex,male,hasdescription,and was forced to return to enslavement. a second escape brought him back to boston in 1863,40,0.6634920634920635,6,0.597985347985348,0.0,0.0
hassex,male,hasdescription,where he was later appointed to a position in the u.s. department of justice in 1877.,40,0.6634920634920635,7,0.48398692810457516,0.0,0.0
hassex,male,american who escaped from slavery in georgia and fled to,"boston, massachusetts, in 1851. he was arrested the same year under the fugitive slave act of 1850, had a court hearing, and was forced to return to enslavement. a second escape brought him back to boston in 1863, where he was later appointed to a position in the u.s. department of justice in 1877."")",13,0.5075396825396825,3,0.5877630121816169,0.0,0.0
hassex,male,record,module:,17,0.0,55,0.7535714285714287,0.0,0.0
hassex,male,referstoplaceoforigin,place,15,0.43650793650793646,44,0.6722222222222222,0.0,0.0
hassex,male,referstoplaceoforigin,savannah,15,0.43650793650793646,17,0.4583333333333333,0.0,0.0
hassex,male,referstoplaceoforigin,georgia,15,0.43650793650793646,18,0.46428571428571425,0.0,0.0
hassex,male,record,module:,17,0.0,55,0.7535714285714287,0.0,0.0
hassex,male,has_race,race,57,0.8055555555555556,50,0.6666666666666666,0.0,0.0
hassex,male,has_race,african-american,57,0.8055555555555556,20,0.5416666666666666,0.0,0.0
hassex,male,record,module:,17,0.0,55,0.7535714285714287,0.0,0.0
hassex,male,hassex,sex_type,100,1.0,17,0.4583333333333333,1.0,0.0
hassex,male,hassex,male,100,1.0,100,1.0,1.0,1.0
hassex,male,status record,module:,32,0.5747863247863249,55,0.7535714285714287,0.0,0.0
hassex,male,hasstatusgeneratedevent,event,34,0.6835748792270531,22,0.48333333333333334,0.0,0.0
hassex,male,hasstatusgeneratedevent,escape from slavery,34,0.6835748792270531,26,0.3684210526315789,0.0,0.0
hassex,male,hasstatusgeneratedevent,arrest under the fugitive slave act,34,0.6835748792270531,15,0.5190476190476191,0.0,0.0
hassex,male,hasstatusgeneratedevent,return to enslavement,34,0.6835748792270531,16,0.43253968253968256,0.0,0.0
hassex,male,hasstatusgeneratedevent,second escape,34,0.6835748792270531,24,0.4423076923076923,0.0,0.0
hassex,male,hasstatusgeneratedevent,appointment to the u.s. department of justice,34,0.6835748792270531,12,0.49444444444444446,0.0,0.0
hassex,male,from,"slavery, arrest under the fugitive slave act, return to enslavement, second escape, appointment to the u.s. department of justice"")",0,0.0,4,0.5935114503816794,0.0,0.0
hassex,male,hasvalue,pscategories,57,0.8055555555555556,25,0.5555555555555555,0.0,0.0
hassex,male,hasvalue,slave,57,0.8055555555555556,44,0.6722222222222222,0.0,0.0
hassex,male,hasvalue,fugitive,57,0.8055555555555556,17,0.0,0.0,0.0
hassex,male,hasvalue,employee of the u.s. department of justice,57,0.8055555555555556,13,0.49603174603174605,0.0,0.0
hassex,male,of the,"u.s. department of justice"")",33,0.4444444444444444,12,0.5079365079365079,0.0,0.0
hassex,male,record,module:,17,0.0,55,0.7535714285714287,0.0,0.0
hassex,male,hasvalue,occupations,57,0.8055555555555556,13,0.44696969696969696,0.0,0.0
hassex,male,hasvalue,employee of the u.s. department of justice,57,0.8055555555555556,13,0.49603174603174605,0.0,0.0
hassex,male,of the,"u.s. department of justice"")",33,0.4444444444444444,12,0.5079365079365079,0.0,0.0
hassex,male,relationship record,module:,24,0.44152046783625726,55,0.7535714285714287,0.0,0.0
hassex,male,hasinteragentrelationshiptype,interagentrelationshiptypes,29,0.6015325670498084,19,0.5092592592592592,0.0,0.0
hassex,male,hasinteragentrelationshiptype,slave,29,0.6015325670498084,44,0.6722222222222222,0.0,0.0
hassex,male,isrelationshipto,agent,18,0.47222222222222215,44,0.6333333333333333,0.0,0.0
hassex,male,isrelationshipto,james potter,18,0.47222222222222215,25,0.5555555555555555,0.0,0.0
hassex,male,isrelationshipfrom,agent,17,0.46296296296296297,44,0.6333333333333333,0.0,0.0
hassex,male,isrelationshipfrom,thomas sims,17,0.46296296296296297,27,0.5606060606060607,0.0,0.0
hassex,male,birth and death,"dates, as well as the age, are not provided in the text, so those relations are skipped.",29,0.48888888888888893,7,0.48358585858585856,0.0,0.0
hasparticipantrole,child,on the text,"provided, the ontology can be populated as follows:",21,0.3686868686868687,11,0.5660130718954249,0.0,0.0
hasparticipantrole,child,record,module:,25,0.48148148148148145,17,0.3952380952380952,0.0,0.0
hasparticipantrole,child,hasnamevariant,namevariant,56,0.6402116402116401,12,0.0,0.0,0.0
hasparticipantrole,child,hasnamevariant,thomas sims,56,0.6402116402116401,25,0.43030303030303035,0.0,0.0
hasparticipantrole,child,haspreferrednamevariant,preferrednamevariant,49,0.6183574879227053,8,0.4166666666666667,0.0,0.0
hasparticipantrole,child,haspreferrednamevariant,thomas sims,49,0.6183574879227053,25,0.43030303030303035,0.0,0.0
hasparticipantrole,child,fullnameasstring,xsd:string,29,0.513558201058201,13,0.43333333333333335,0.0,0.0
hasparticipantrole,child,fullnameasstring,thomas sims,29,0.513558201058201,25,0.43030303030303035,0.0,0.0
hasparticipantrole,child,hassurnameasstring,xsd: string,39,0.6498316498316499,12,0.43030303030303035,0.0,0.0
hasparticipantrole,child,hassurnameasstring,sims,39,0.6498316498316499,22,0.48333333333333334,0.0,0.0
hasparticipantrole,child,hasfirstnameasstring,xsd: string,42,0.7996723646723647,12,0.43030303030303035,0.0,0.0
hasparticipantrole,child,hasfirstnameasstring,thomas,42,0.7996723646723647,18,0.45555555555555555,0.0,0.0
hasparticipantrole,child,hasdescription,description,50,0.7956228956228956,25,0.5131313131313131,0.0,0.0
hasparticipantrole,child,hasdescription,african american who escaped from slavery in georgia and fled to boston,50,0.7956228956228956,13,0.5568075117370892,0.0,0.0
hasparticipantrole,child,hasdescription,massachusetts,50,0.7956228956228956,22,0.517948717948718,0.0,0.0
