Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,hasnamevariant,namevariant,24,0.46645021645021645,35,0.5909090909090909,0.0,0.0
instance of,person,hasnamevariant,thomas molineaux,24,0.46645021645021645,27,0.45138888888888884,0.0,0.0
instance of,person,haspreferrednamevariant,preferrednamevariant,18,0.4239789196310935,31,0.5388888888888889,0.0,0.0
instance of,person,haspreferrednamevariant,thomas molineaux,18,0.4239789196310935,27,0.45138888888888884,0.0,0.0
instance of,person,fullnameasstring,xsd:string,30,0.4545454545454546,25,0.48888888888888893,0.0,0.0
instance of,person,fullnameasstring,thomas molineaux,30,0.4545454545454546,27,0.45138888888888884,0.0,0.0
instance of,person,hassurnameasstring,xsd: string,28,0.4452861952861953,24,0.5050505050505051,0.0,0.0
instance of,person,hassurnameasstring,molineaux,28,0.4452861952861953,27,0.5185185185185185,0.0,0.0
instance of,person,hasfirstnameasstring,xsd: string,32,0.5192640692640692,24,0.5050505050505051,0.0,0.0
instance of,person,hasfirstnameasstring,thomas,32,0.5192640692640692,17,0.38888888888888884,0.0,0.0
instance of,person,hasdescription,description,24,0.47056277056277057,47,0.47979797979797983,0.0,0.0
instance of,person,hasdescription,american bare-knuckle boxer and possibly a formerly enslaved person. he spent much of his career in the united kingdom of great britain and ireland,24,0.47056277056277057,8,0.5136054421768708,0.0,0.13566389641214913
instance of,person,hasdescription,where he had notable successes.,24,0.47056277056277057,16,0.5152329749103942,0.0,0.0
instance of,person,boxer and possibly a formerly enslaved,"person. he spent much of his career in the united kingdom of great britain and ireland, where he had notable successes."")",20,0.520933014354067,9,0.6831955922865015,0.0,0.14372805723110713
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,referstoplaceoforigin,place,44,0.5137085137085137,36,0.45555555555555555,0.0,0.0
