Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,hasnamevariant,namevariant,24,0.46645021645021645,35,0.5909090909090909,0.0,0.0
instance of,person,hasnamevariant,george moses horton,24,0.46645021645021645,40,0.5423976608187134,0.0,0.0
instance of,person,moses,"horton, ""george moses horton"")",25,0.5272727272727272,28,0.5166666666666666,0.0,0.0
instance of,person,haspreferrednamevariant,preferrednamevariant,18,0.4239789196310935,31,0.5388888888888889,0.0,0.0
instance of,person,haspreferrednamevariant,george moses horton,18,0.4239789196310935,40,0.5423976608187134,0.0,0.0
instance of,person,moses,"horton, ""george moses horton"")",25,0.5272727272727272,28,0.5166666666666666,0.0,0.0
instance of,person,fullnameasstring,xsd:string,30,0.4545454545454546,25,0.48888888888888893,0.0,0.0
instance of,person,fullnameasstring,george moses horton,30,0.4545454545454546,40,0.5423976608187134,0.0,0.0
instance of,person,moses,"horton, ""george moses horton"")",25,0.5272727272727272,28,0.5166666666666666,0.0,0.0
instance of,person,hassurnameasstring,xsd: string,28,0.4452861952861953,24,0.5050505050505051,0.0,0.0
instance of,person,hassurnameasstring,horton,28,0.4452861952861953,50,0.6666666666666666,0.0,0.0
instance of,person,moses,"horton, ""horton"")",25,0.5272727272727272,26,0.4477124183006536,0.0,0.0
instance of,person,hasfirstnameasstring,xsd: string,32,0.5192640692640692,24,0.5050505050505051,0.0,0.0
instance of,person,hasfirstnameasstring,george moses,32,0.5192640692640692,33,0.47222222222222215,0.0,0.0
instance of,person,moses,"horton, ""george moses"")",25,0.5272727272727272,21,0.5301932367149759,0.0,0.0
instance of,person,hasdescription,description,24,0.47056277056277057,47,0.47979797979797983,0.0,0.0
instance of,person,hasdescription,african-american poet from north carolina who was enslaved until union troops,24,0.47056277056277057,14,0.4994227994227994,0.0,0.0
