Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,hasnamevariant,namevariant,24,0.46645021645021645,35,0.5909090909090909,0.0,0.0
instance of,person,hasnamevariant,josiah henson,24,0.46645021645021645,42,0.46581196581196577,0.0,0.0
instance of,person,haspreferrednamevariant,preferrednamevariant,18,0.4239789196310935,31,0.5388888888888889,0.0,0.0
instance of,person,haspreferrednamevariant,josiah henson,18,0.4239789196310935,42,0.46581196581196577,0.0,0.0
instance of,person,fullnameasstring,xsd:string,30,0.4545454545454546,25,0.48888888888888893,0.0,0.0
instance of,person,fullnameasstring,josiah henson,30,0.4545454545454546,42,0.46581196581196577,0.0,0.0
instance of,person,hassurnameasstring,xsd: string,28,0.4452861952861953,24,0.5050505050505051,0.0,0.0
instance of,person,hassurnameasstring,henson,28,0.4452861952861953,67,0.7777777777777777,0.0,0.0
instance of,person,hasfirstnameasstring,xsd: string,32,0.5192640692640692,24,0.5050505050505051,0.0,0.0
instance of,person,hasfirstnameasstring,josiah,32,0.5192640692640692,17,0.4444444444444444,0.0,0.0
instance of,person,hasdescription,description,24,0.47056277056277057,47,0.47979797979797983,0.0,0.0
instance of,person,hasdescription,born into slavery,24,0.47056277056277057,17,0.46732026143790845,0.0,0.0
instance of,person,hasdescription,escaped to upper canada,24,0.47056277056277057,28,0.5301932367149759,0.0,0.0
instance of,person,hasdescription,founded a settlement and laborer's school for other fugitive slaves,24,0.47056277056277057,11,0.502653399668325,0.0,0.0
instance of,person,hasdescription,author,24,0.47056277056277057,17,0.4444444444444444,0.0,0.0
instance of,person,hasdescription,abolitionist,24,0.47056277056277057,22,0.5,0.0,0.0
instance of,person,hasdescription,and minister.,24,0.47056277056277057,21,0.32905982905982906,0.0,0.0
