Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,hasnamevariant,namevariant,24,0.46645021645021645,35,0.5909090909090909,0.0,0.0
instance of,person,hasnamevariant,peter salem,24,0.46645021645021645,47,0.6767676767676768,0.0,0.0
instance of,person,haspreferrednamevariant,preferrednamevariant,18,0.4239789196310935,31,0.5388888888888889,0.0,0.0
instance of,person,haspreferrednamevariant,peter salem,18,0.4239789196310935,47,0.6767676767676768,0.0,0.0
instance of,person,fullnameasstring,xsd:string,30,0.4545454545454546,25,0.48888888888888893,0.0,0.0
instance of,person,fullnameasstring,peter salem,30,0.4545454545454546,47,0.6767676767676768,0.0,0.0
instance of,person,hassurnameasstring,xsd: string,28,0.4452861952861953,24,0.5050505050505051,0.0,0.0
instance of,person,hassurnameasstring,salem,28,0.4452861952861953,18,0.45555555555555555,0.0,0.0
instance of,person,hasfirstnameasstring,xsd: string,32,0.5192640692640692,24,0.5050505050505051,0.0,0.0
instance of,person,hasfirstnameasstring,peter,32,0.5192640692640692,55,0.76,0.0,0.0
instance of,person,hasdescription,description,24,0.47056277056277057,47,0.47979797979797983,0.0,0.0
instance of,person,hasdescription,peter salem was an african-american from massachusetts who served as a u.s. soldier in the american revolutionary war. born into slavery,24,0.47056277056277057,8,0.6258169934640523,0.0,0.0
instance of,person,hasdescription,he was freed by a later master to serve in the local militia. he then enlisted in the continental army,24,0.47056277056277057,9,0.5607843137254903,0.0,0.0
instance of,person,hasdescription,serving for nearly five years during the war. afterwards,24,0.47056277056277057,13,0.5075396825396825,0.0,0.0
instance of,person,hasdescription,he married and worked as a cane weaver.,24,0.47056277056277057,18,0.5064102564102564,0.0,0.0
