Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,on the,"text, the ontology can be populated as follows:",35,0.5909090909090909,15,0.5212765957446809,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_name,name,32,0.537878787878788,20,0.47222222222222215,0.0,0.0
instance of,person,has_name,charles caldwell,32,0.537878787878788,18,0.45138888888888884,0.0,0.0
instance of,person,has_surname,surname,27,0.49242424242424243,31,0.5396825396825397,0.0,0.0
instance of,person,has_surname,caldwell,27,0.49242424242424243,14,0.0,0.0,0.0
instance of,person,has_first_name,first_name,40,0.5692640692640693,38,0.6,0.0,0.0
instance of,person,has_first_name,charles,40,0.5692640692640693,31,0.4365079365079365,0.0,0.0
instance of,person,relationship record,module:,33,0.5494417862838915,15,0.0,0.0,0.0
instance of,person,information provided in the,text.,32,0.6060606060606061,18,0.45555555555555555,0.0,0.0
instance of,person,role record,module:,27,0.49242424242424243,15,0.0,0.0,0.0
instance of,person,has_participant_role,participant_role_type,32,0.5668831168831169,22,0.5357142857142857,0.0,0.0
instance of,person,has_participant_role,state senator,32,0.5668831168831169,32,0.46581196581196577,0.0,0.0
instance of,person,has_participant_role,county commissioner,32,0.5668831168831169,24,0.4795321637426901,0.0,0.0
instance of,person,has_participant_role,delegate to mississippi's 1868 constitutional convention,32,0.5668831168831169,13,0.49603174603174605,0.0,0.0
instance of,person,has_participant_role,leader of militia,32,0.5668831168831169,26,0.5588235294117647,0.0,0.0
instance of,person,to,"mississippi's 1868 constitutional convention'), has_participant_role(charles caldwell, 'leader of militia')",31,0.5303030303030303,9,0.5186915887850467,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,information provided in the,text.,32,0.6060606060606061,18,0.45555555555555555,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_occupation,occupation,24,0.38311688311688313,38,0.48888888888888893,0.0,0.0
instance of,person,has_occupation,blacksmith,24,0.38311688311688313,12,0.4222222222222222,0.0,0.0
instance of,person,has_occupation,political and state militia leader,24,0.38311688311688313,15,0.511437908496732,0.0,0.0
instance of,person,and state militia,leader'),43,0.4661319073083779,29,0.5277777777777778,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
