Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,on the provided,"text, the following ontology can be populated:",38,0.5292929292929293,12,0.5217391304347826,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_name,name,32,0.537878787878788,20,0.47222222222222215,0.0,0.0
instance of,person,has_name,eliza anna grier,32,0.537878787878788,18,0.4861111111111111,0.0,0.0
instance of,person,anna,"grier, 'eliza anna grier')",27,0.5631313131313131,19,0.42735042735042733,0.0,0.0
instance of,person,has_surname,surname,27,0.49242424242424243,31,0.5396825396825397,0.0,0.0
instance of,person,has_surname,grier,27,0.49242424242424243,36,0.41111111111111115,0.0,0.0
instance of,person,anna,"grier, 'grier')",27,0.5631313131313131,19,0.32222222222222224,0.0,0.0
instance of,person,has_first_name,first_name,40,0.5692640692640693,38,0.6,0.0,0.0
instance of,person,has_first_name,eliza,40,0.5692640692640693,18,0.45555555555555555,0.0,0.0
instance of,person,anna,"grier, 'eliza')",27,0.5631313131313131,19,0.32222222222222224,0.0,0.0
instance of,person,relationship record,module:,33,0.5494417862838915,15,0.0,0.0,0.0
instance of,person,is_relationship_to,agent,34,0.5798460798460798,36,0.5777777777777778,0.0,0.0
instance of,person,is_relationship_to,richard edgar grier,34,0.5798460798460798,16,0.3128654970760234,0.0,0.0
instance of,person,anna,"grier, 'richard edgar grier')",27,0.5631313131313131,11,0.3007662835249042,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_sex,sex_type,22,0.45598845598845594,29,0.3611111111111111,0.0,0.0
instance of,person,has_sex,female,22,0.45598845598845594,17,0.4444444444444444,0.0,0.0
instance of,person,anna,"grier, 'female')",27,0.5631313131313131,18,0.3194444444444444,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_occupation,occupation,24,0.38311688311688313,38,0.48888888888888893,0.0,0.0
instance of,person,has_occupation,physician,24,0.38311688311688313,40,0.611111111111111,0.0,0.0
instance of,person,anna,"grier, 'physician')",27,0.5631313131313131,32,0.5423976608187134,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_birthdate,date_of_birth,33,0.5463869463869464,21,0.49572649572649574,0.0,0.0
instance of,person,has_birthdate,1864,33,0.5463869463869464,0,0.0,0.0,0.0
instance of,person,anna,"grier, '1864')",27,0.5631313131313131,20,0.3253968253968254,0.0,0.0
instance of,person,has_deathdate,date_of_death,33,0.39044289044289043,21,0.49572649572649574,0.0,0.0
instance of,person,has_deathdate,1902,33,0.39044289044289043,0,0.0,0.0,0.0
instance of,person,anna,"grier, '1902')",27,0.5631313131313131,20,0.3253968253968254,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_race_or_color,race_or_color,36,0.5162210338680927,32,0.46581196581196577,0.0,0.0
instance of,person,has_race_or_color,african-american,36,0.5162210338680927,27,0.4861111111111111,0.0,0.0
instance of,person,anna,"grier, 'african-american')",27,0.5631313131313131,19,0.42735042735042733,0.0,0.0
instance of,person,status record,module:,42,0.6773226773226773,15,0.0,0.0,0.0
instance of,person,has_person_status,emancipated slave,29,0.449554367201426,26,0.4477124183006536,0.0,0.0
instance of,person,anna,"grier, 'emancipated slave')",27,0.5631313131313131,18,0.4259259259259259,0.0,0.0
instance of,person,is no,"information about eliza anna grier's age, alternate name, ethnolinguistic descriptor, and some interagent relationship information. therefore, these modules are not populated.",50,0.5131313131313131,7,0.5669841269841269,0.0,0.0
instance of,person,text does not provide information for all the,"modules. for example, there is no information about eliza anna grier's age, alternate name, ethnolinguistic descriptor, and some interagent relationship information. therefore, these modules are not populated.",21,0.5245791245791246,6,0.5651249335459861,0.0,0.0
hassex,female,on the provided,"text, the following ontology can be populated:",19,0.48888888888888893,15,0.501207729468599,0.0,0.0
hassex,female,record,module:,17,0.0,46,0.6428571428571429,0.0,0.0
hassex,female,has_name,name,57,0.8055555555555556,40,0.6388888888888888,0.0,0.0
hassex,female,has_name,eliza anna grier,57,0.8055555555555556,27,0.45138888888888884,0.0,0.0
hassex,female,anna,"grier, 'eliza anna grier')",20,0.47222222222222215,19,0.5235042735042735,0.0,0.0
hassex,female,has_surname,surname,59,0.6767676767676768,31,0.5396825396825397,0.0,0.0
hassex,female,has_surname,grier,59,0.6767676767676768,18,0.45555555555555555,0.0,0.0
hassex,female,anna,"grier, 'grier')",20,0.47222222222222215,19,0.48888888888888893,0.0,0.0
hassex,female,has_first_name,first_name,50,0.6507936507936508,38,0.6,0.0,0.0
hassex,female,has_first_name,eliza,50,0.6507936507936508,36,0.5777777777777778,0.0,0.0
hassex,female,anna,"grier, 'eliza')",20,0.47222222222222215,19,0.45555555555555555,0.0,0.0
hassex,female,relationship record,module:,24,0.44152046783625726,46,0.6428571428571429,0.0,0.0
hassex,female,is_relationship_to,agent,17,0.46296296296296297,36,0.45555555555555555,0.0,0.0
hassex,female,is_relationship_to,richard edgar grier,17,0.46296296296296297,24,0.3128654970760234,0.0,0.0
hassex,female,anna,"grier, 'richard edgar grier')",20,0.47222222222222215,17,0.5344827586206896,0.0,0.0
hassex,female,record,module:,17,0.0,46,0.6428571428571429,0.0,0.0
hassex,female,has_sex,sex_type,92,0.9666666666666667,29,0.5277777777777778,0.0,0.0
hassex,female,has_sex,female,92,0.9666666666666667,100,1.0,0.0,1.0
hassex,female,anna,"grier, 'female')",20,0.47222222222222215,55,0.4861111111111111,0.0,0.5797386715376658
hassex,female,record,module:,17,0.0,46,0.6428571428571429,0.0,0.0
hassex,female,has_occupation,occupation,30,0.5714285714285715,12,0.4222222222222222,0.0,0.0
hassex,female,has_occupation,physician,30,0.5714285714285715,13,0.0,0.0,0.0
hassex,female,anna,"grier, 'physician')",20,0.47222222222222215,16,0.4064327485380117,0.0,0.0
hassex,female,record,module:,17,0.0,46,0.6428571428571429,0.0,0.0
hassex,female,has_birthdate,date_of_birth,42,0.576923076923077,21,0.32905982905982906,0.0,0.0
hassex,female,has_birthdate,1864,42,0.576923076923077,0,0.0,0.0,0.0
hassex,female,anna,"grier, '1864')",20,0.47222222222222215,10,0.41269841269841273,0.0,0.0
hassex,female,has_deathdate,date_of_death,42,0.6581196581196581,32,0.46581196581196577,0.0,0.0
hassex,female,has_deathdate,1902,42,0.6581196581196581,0,0.0,0.0,0.0
hassex,female,anna,"grier, '1902')",20,0.47222222222222215,10,0.41269841269841273,0.0,0.0
hassex,female,record,module:,17,0.0,46,0.6428571428571429,0.0,0.0
hassex,female,has_race_or_color,race_or_color,35,0.6339869281045751,21,0.32905982905982906,0.0,0.0
hassex,female,has_race_or_color,african-american,35,0.6339869281045751,27,0.5555555555555555,0.0,0.0
hassex,female,anna,"grier, 'african-american')",20,0.47222222222222215,19,0.42735042735042733,0.0,0.0
hassex,female,status record,module:,32,0.5747863247863249,46,0.6428571428571429,0.0,0.0
hassex,female,has_person_status,emancipated slave,35,0.642483660130719,43,0.6339869281045751,0.0,0.0
hassex,female,anna,"grier, 'emancipated slave')",20,0.47222222222222215,30,0.5216049382716049,0.0,0.0
hassex,female,is no,"information about eliza anna grier's age, alternate name, ethnolinguistic descriptor, and some interagent relationship information. therefore, these modules are not populated.",18,0.45555555555555555,7,0.6225396825396826,0.0,0.0
hassex,female,text does not provide information for all the,"modules. for example, there is no information about eliza anna grier's age, alternate name, ethnolinguistic descriptor, and some interagent relationship information. therefore, these modules are not populated.",8,0.41111111111111115,6,0.5095693779904306,0.0,0.0
hasparticipantrole,child,on the provided,"text, the following ontology can be populated:",30,0.4756613756613757,16,0.44396135265700476,0.0,0.0
hasparticipantrole,child,record,module:,25,0.48148148148148145,17,0.3952380952380952,0.0,0.0
hasparticipantrole,child,has_name,name,38,0.5675925925925926,0,0.0,0.0,0.0
hasparticipantrole,child,has_name,eliza anna grier,38,0.5675925925925926,10,0.3416666666666666,0.0,0.0
hasparticipantrole,child,anna,"grier, 'eliza anna grier')",18,0.5370370370370371,13,0.49230769230769234,0.0,0.0
hasparticipantrole,child,has_surname,surname,41,0.6274651274651274,0,0.0,0.0,0.0
hasparticipantrole,child,has_surname,grier,41,0.6274651274651274,20,0.4666666666666666,0.0,0.0
hasparticipantrole,child,anna,"grier, 'grier')",18,0.5370370370370371,10,0.4222222222222222,0.0,0.0
hasparticipantrole,child,has_first_name,first_name,44,0.6772486772486772,13,0.43333333333333335,0.0,0.0
hasparticipantrole,child,has_first_name,eliza,44,0.6772486772486772,20,0.4666666666666666,0.0,0.0
hasparticipantrole,child,anna,"grier, 'eliza')",18,0.5370370370370371,20,0.5111111111111111,0.0,0.0
hasparticipantrole,child,relationship record,module:,38,0.5994152046783626,17,0.3952380952380952,0.0,0.0
hasparticipantrole,child,is_relationship_to,agent,44,0.6037037037037037,0,0.0,0.0,0.0
hasparticipantrole,child,is_relationship_to,richard edgar grier,44,0.6037037037037037,25,0.5868421052631579,0.0,0.0
hasparticipantrole,child,anna,"grier, 'richard edgar grier')",18,0.5370370370370371,18,0.5626436781609195,0.0,0.0
hasparticipantrole,child,record,module:,25,0.48148148148148145,17,0.3952380952380952,0.0,0.0
hasparticipantrole,child,has_sex,sex_type,32,0.5317460317460317,0,0.0,0.0,0.0
hasparticipantrole,child,has_sex,female,32,0.5317460317460317,18,0.45555555555555555,0.0,0.0
hasparticipantrole,child,anna,"grier, 'female')",18,0.5370370370370371,19,0.42083333333333334,0.0,0.0
hasparticipantrole,child,record,module:,25,0.48148148148148145,17,0.3952380952380952,0.0,0.0
hasparticipantrole,child,has_occupation,occupation,50,0.6566137566137565,27,0.43333333333333335,0.0,0.0
hasparticipantrole,child,has_occupation,physician,50,0.6566137566137565,29,0.5407407407407407,0.0,0.0
hasparticipantrole,child,anna,"grier, 'physician')",18,0.5370370370370371,17,0.3350877192982456,0.0,0.0
hasparticipantrole,child,record,module:,25,0.48148148148148145,17,0.3952380952380952,0.0,0.0
hasparticipantrole,child,has_birthdate,date_of_birth,52,0.6937321937321936,11,0.4256410256410256,0.0,0.0
hasparticipantrole,child,has_birthdate,1864,52,0.6937321937321936,0,0.0,0.0,0.0
hasparticipantrole,child,anna,"grier, '1864')",18,0.5370370370370371,11,0.4238095238095238,0.0,0.0
hasparticipantrole,child,has_deathdate,date_of_death,52,0.6866096866096866,11,0.4256410256410256,0.0,0.0
hasparticipantrole,child,has_deathdate,1902,52,0.6866096866096866,0,0.0,0.0,0.0
hasparticipantrole,child,anna,"grier, '1902')",18,0.5370370370370371,11,0.4238095238095238,0.0,0.0
hasparticipantrole,child,record,module:,25,0.48148148148148145,17,0.3952380952380952,0.0,0.0
hasparticipantrole,child,has_race_or_color,race_or_color,46,0.60239651416122,22,0.4256410256410256,0.0,0.0
hasparticipantrole,child,has_race_or_color,african-american,46,0.60239651416122,19,0.3416666666666666,0.0,0.0
hasparticipantrole,child,anna,"grier, 'african-american')",18,0.5370370370370371,13,0.32564102564102565,0.0,0.0
hasparticipantrole,child,status record,module:,39,0.4995929995929996,17,0.3952380952380952,0.0,0.0
hasparticipantrole,child,has_person_status,emancipated slave,46,0.6479302832244008,27,0.592156862745098,0.0,0.0
hasparticipantrole,child,anna,"grier, 'emancipated slave')",18,0.5370370370370371,19,0.32469135802469135,0.0,0.0
hasparticipantrole,child,is no,"information about eliza anna grier's age, alternate name, ethnolinguistic descriptor, and some interagent relationship information. therefore, these modules are not populated.",26,0.337037037037037,6,0.5428571428571428,0.0,0.0
hasparticipantrole,child,text does not provide information for all the,"modules. for example, there is no information about eliza anna grier's age, alternate name, ethnolinguistic descriptor, and some interagent relationship information. therefore, these modules are not populated.",32,0.4777777777777778,5,0.43971291866028706,0.0,0.0
hasparticipantrole,deceased person,on the provided,"text, the following ontology can be populated:",30,0.4756613756613757,23,0.4140096618357488,0.0,0.0
hasparticipantrole,deceased person,record,module:,25,0.48148148148148145,18,0.47301587301587295,0.0,0.0
hasparticipantrole,deceased person,has_name,name,38,0.5675925925925926,21,0.37777777777777777,0.0,0.0
hasparticipantrole,deceased person,has_name,eliza anna grier,38,0.5675925925925926,32,0.5361111111111111,0.0,0.0
hasparticipantrole,deceased person,anna,"grier, 'eliza anna grier')",18,0.5370370370370371,29,0.4357753357753358,0.0,0.0
hasparticipantrole,deceased person,has_surname,surname,41,0.6274651274651274,27,0.4317460317460317,0.0,0.0
hasparticipantrole,deceased person,has_surname,grier,41,0.6274651274651274,20,0.4222222222222222,0.0,0.0
hasparticipantrole,deceased person,anna,"grier, 'grier')",18,0.5370370370370371,27,0.42777777777777776,0.0,0.0
hasparticipantrole,deceased person,has_first_name,first_name,44,0.6772486772486772,24,0.38888888888888884,0.0,0.0
hasparticipantrole,deceased person,has_first_name,eliza,44,0.6772486772486772,20,0.5111111111111111,0.0,0.0
hasparticipantrole,deceased person,anna,"grier, 'eliza')",18,0.5370370370370371,20,0.35555555555555557,0.0,0.0
hasparticipantrole,deceased person,relationship record,module:,38,0.5994152046783626,18,0.47301587301587295,0.0,0.0
hasparticipantrole,deceased person,is_relationship_to,agent,44,0.6037037037037037,30,0.3444444444444444,0.0,0.0
hasparticipantrole,deceased person,is_relationship_to,richard edgar grier,44,0.6037037037037037,41,0.48479532163742683,0.0,0.0
hasparticipantrole,deceased person,anna,"grier, 'richard edgar grier')",18,0.5370370370370371,36,0.4264915161466886,0.0,0.0
hasparticipantrole,deceased person,record,module:,25,0.48148148148148145,18,0.47301587301587295,0.0,0.0
hasparticipantrole,deceased person,has_sex,sex_type,32,0.5317460317460317,35,0.5055555555555555,0.0,0.0
hasparticipantrole,deceased person,has_sex,female,32,0.5317460317460317,29,0.45555555555555555,0.0,0.0
hasparticipantrole,deceased person,anna,"grier, 'female')",18,0.5370370370370371,26,0.48055555555555557,0.0,0.0
hasparticipantrole,deceased person,record,module:,25,0.48148148148148145,18,0.47301587301587295,0.0,0.0
hasparticipantrole,deceased person,has_occupation,occupation,50,0.6566137566137565,32,0.5444444444444444,0.0,0.0
hasparticipantrole,deceased person,has_occupation,physician,50,0.6566137566137565,25,0.487037037037037,0.0,0.0
hasparticipantrole,deceased person,anna,"grier, 'physician')",18,0.5370370370370371,29,0.516374269005848,0.0,0.0
hasparticipantrole,deceased person,record,module:,25,0.48148148148148145,18,0.47301587301587295,0.0,0.0
hasparticipantrole,deceased person,has_birthdate,date_of_birth,52,0.6937321937321936,29,0.44145299145299144,0.0,0.0
hasparticipantrole,deceased person,has_birthdate,1864,52,0.6937321937321936,0,0.0,0.0,0.0
hasparticipantrole,deceased person,anna,"grier, '1864')",18,0.5370370370370371,14,0.4253968253968254,0.0,0.0
hasparticipantrole,deceased person,has_deathdate,date_of_death,52,0.6866096866096866,36,0.505982905982906,0.0,0.0
hasparticipantrole,deceased person,has_deathdate,1902,52,0.6866096866096866,0,0.0,0.0,0.0
hasparticipantrole,deceased person,anna,"grier, '1902')",18,0.5370370370370371,14,0.4253968253968254,0.0,0.0
hasparticipantrole,deceased person,record,module:,25,0.48148148148148145,18,0.47301587301587295,0.0,0.0
hasparticipantrole,deceased person,has_race_or_color,race_or_color,46,0.60239651416122,29,0.505982905982906,0.0,0.0
hasparticipantrole,deceased person,has_race_or_color,african-american,46,0.60239651416122,32,0.48194444444444445,0.0,0.0
hasparticipantrole,deceased person,anna,"grier, 'african-american')",18,0.5370370370370371,29,0.4357753357753358,0.0,0.0
hasparticipantrole,deceased person,status record,module:,39,0.4995929995929996,18,0.47301587301587295,0.0,0.0
hasparticipantrole,deceased person,has_person_status,emancipated slave,46,0.6479302832244008,44,0.6357298474945533,0.0,0.0
hasparticipantrole,deceased person,anna,"grier, 'emancipated slave')",18,0.5370370370370371,33,0.5620650953984286,0.0,0.0
hasparticipantrole,deceased person,is no,"information about eliza anna grier's age, alternate name, ethnolinguistic descriptor, and some interagent relationship information. therefore, these modules are not populated.",26,0.337037037037037,14,0.5396825396825397,0.0,0.0
hasparticipantrole,deceased person,text does not provide information for all the,"modules. for example, there is no information about eliza anna grier's age, alternate name, ethnolinguistic descriptor, and some interagent relationship information. therefore, these modules are not populated.",32,0.4777777777777778,12,0.5477253740411635,0.0,0.0
hasdescriptiveoccupation,slave,on the provided,"text, the following ontology can be populated:",26,0.561111111111111,12,0.3144927536231884,0.0,0.0
hasdescriptiveoccupation,slave,record,module:,27,0.6138888888888889,33,0.44761904761904764,0.0,0.0
hasdescriptiveoccupation,slave,has_name,name,25,0.5555555555555555,44,0.6333333333333333,0.0,0.0
