Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,on the text,"provided, the following ontology can be populated:",36,0.5757575757575758,14,0.5777777777777778,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_name,name,32,0.537878787878788,20,0.47222222222222215,0.0,0.0
instance of,person,has_name,joseph hayne rainey,32,0.537878787878788,32,0.5654970760233918,0.0,0.0
instance of,person,hayne,"rainey, 'joseph hayne rainey')",38,0.5131313131313131,22,0.5666666666666667,0.0,0.0
instance of,person,has_surname,surname,27,0.49242424242424243,31,0.5396825396825397,0.0,0.0
instance of,person,has_surname,rainey,27,0.49242424242424243,33,0.5555555555555555,0.0,0.0
instance of,person,hayne,"rainey, 'rainey')",38,0.5131313131313131,26,0.4477124183006536,0.0,0.0
instance of,person,has_first_name,first_name,40,0.5692640692640693,38,0.6,0.0,0.0
instance of,person,has_first_name,joseph,40,0.5692640692640693,17,0.38888888888888884,0.0,0.0
instance of,person,hayne,"rainey, 'joseph')",38,0.5131313131313131,17,0.46732026143790845,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_sex,sex_type,22,0.45598845598845594,29,0.3611111111111111,0.0,0.0
instance of,person,has_sex,male,22,0.45598845598845594,20,0.47222222222222215,0.0,0.0
instance of,person,hayne,"rainey, 'male')",38,0.5131313131313131,19,0.45555555555555555,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_occupation,occupation,24,0.38311688311688313,38,0.48888888888888893,0.0,0.0
instance of,person,has_occupation,politician,24,0.38311688311688313,38,0.6,0.0,0.0
instance of,person,hayne,"rainey, 'politician')",38,0.5131313131313131,22,0.557142857142857,0.0,0.0
instance of,person,has_occupation,occupation,24,0.38311688311688313,38,0.48888888888888893,0.0,0.0
instance of,person,has_occupation,barber,24,0.38311688311688313,33,0.4444444444444444,0.0,0.0
instance of,person,hayne,"rainey, 'barber')",38,0.5131313131313131,17,0.4477124183006536,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_birthdate,date_of_birth,33,0.5463869463869464,21,0.49572649572649574,0.0,0.0
instance of,person,has_birthdate,june 21,33,0.5463869463869464,15,0.4365079365079365,0.0,0.0
instance of,person,has_birthdate,1832,33,0.5463869463869464,0,0.0,0.0,0.0
instance of,person,hayne,"rainey, 'june 21, 1832')",38,0.5131313131313131,13,0.4305555555555555,0.0,0.0
