Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,on the provided,"text, i can't populate the ontology as requested because the text does not provide specific information about an agent with a name at the start of the document. the text does not provide details such as name, surname, first name, alternate name, interagent relationship, participant role, sex, occupation, age, race or color, ethnolinguistic descriptor, or person status. therefore, i can't generate the ontology module relations as requested.",38,0.5292929292929293,3,0.5045146726862303,0.0,0.06204499369467891
hassex,female,on the provided,"text, i can't populate the ontology as requested because the text does not provide specific information about an agent with a name at the start of the document. the text does not provide details such as name, surname, first name, alternate name, interagent relationship, participant role, sex, occupation, age, race or color, ethnolinguistic descriptor, or person status. therefore, i can't generate the ontology module relations as requested.",19,0.48888888888888893,3,0.5045146726862303,0.0,0.0
hasparticipantrole,child,on the provided,"text, i can't populate the ontology as requested because the text does not provide specific information about an agent with a name at the start of the document. the text does not provide details such as name, surname, first name, alternate name, interagent relationship, participant role, sex, occupation, age, race or color, ethnolinguistic descriptor, or person status. therefore, i can't generate the ontology module relations as requested.",30,0.4756613756613757,2,0.5370955605718586,0.0,0.0
hasparticipantrole,deceased person,on the provided,"text, i can't populate the ontology as requested because the text does not provide specific information about an agent with a name at the start of the document. the text does not provide details such as name, surname, first name, alternate name, interagent relationship, participant role, sex, occupation, age, race or color, ethnolinguistic descriptor, or person status. therefore, i can't generate the ontology module relations as requested.",30,0.4756613756613757,7,0.5446200150489089,0.0,0.035969882220116
hasdescriptiveoccupation,domestic servant,on the provided,"text, i can't populate the ontology as requested because the text does not provide specific information about an agent with a name at the start of the document. the text does not provide details such as name, surname, first name, alternate name, interagent relationship, participant role, sex, occupation, age, race or color, ethnolinguistic descriptor, or person status. therefore, i can't generate the ontology module relations as requested.",26,0.561111111111111,7,0.532872460496614,0.0,0.0
hasdescriptiveoccupation,slave,on the provided,"text, i can't populate the ontology as requested because the text does not provide specific information about an agent with a name at the start of the document. the text does not provide details such as name, surname, first name, alternate name, interagent relationship, participant role, sex, occupation, age, race or color, ethnolinguistic descriptor, or person status. therefore, i can't generate the ontology module relations as requested.",26,0.561111111111111,2,0.5370955605718586,0.0,0.0
hasdescriptiveoccupation,literary inspiration,on the provided,"text, i can't populate the ontology as requested because the text does not provide specific information about an agent with a name at the start of the document. the text does not provide details such as name, surname, first name, alternate name, interagent relationship, participant role, sex, occupation, age, race or color, ethnolinguistic descriptor, or person status. therefore, i can't generate the ontology module relations as requested.",26,0.561111111111111,8,0.5483822422874342,0.0,0.0
hasfirstname,polly,on the provided,"text, i can't populate the ontology as requested because the text does not provide specific information about an agent with a name at the start of the document. the text does not provide details such as name, surname, first name, alternate name, interagent relationship, participant role, sex, occupation, age, race or color, ethnolinguistic descriptor, or person status. therefore, i can't generate the ontology module relations as requested.",22,0.3666666666666667,2,0.6704288939051919,0.0,0.0
hassurname,berry,on the provided,"text, i can't populate the ontology as requested because the text does not provide specific information about an agent with a name at the start of the document. the text does not provide details such as name, surname, first name, alternate name, interagent relationship, participant role, sex, occupation, age, race or color, ethnolinguistic descriptor, or person status. therefore, i can't generate the ontology module relations as requested.",24,0.3888888888888889,2,0.5370955605718586,0.0,0.0
hasname,polly berry,on the provided,"text, i can't populate the ontology as requested because the text does not provide specific information about an agent with a name at the start of the document. the text does not provide details such as name, surname, first name, alternate name, interagent relationship, participant role, sex, occupation, age, race or color, ethnolinguistic descriptor, or person status. therefore, i can't generate the ontology module relations as requested.",18,0.4317460317460317,5,0.5105547575073534,0.0,0.0
hasdescription,"enslaved. free before 13th amendment.  her daughter lucy ann delany wrote a memoir about her. from darkness cometh light; or struggles for freedom (1891),  https://docsouth.unc.edu/neh/delaney/menu.html .",on the provided,"text, i can't populate the ontology as requested because the text does not provide specific information about an agent with a name at the start of the document. the text does not provide details such as name, surname, first name, alternate name, interagent relationship, participant role, sex, occupation, age, race or color, ethnolinguistic descriptor, or person status. therefore, i can't generate the ontology module relations as requested.",28,0.4984126984126984,34,0.6040801475976681,0.0,0.02358490745027552
