Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,on the provided,"text, i am unable to populate the ontology as requested. the text does not provide specific information about an agent with a starting name, nor does it provide details about their surname, first name, alternate name, interagent relationships, participant role, sex, occupation, age, race, ethnolinguistic descriptor, or person status.",38,0.5292929292929293,4,0.5059701492537313,0.0,0.08999496870962503
hassex,male,on the provided,"text, i am unable to populate the ontology as requested. the text does not provide specific information about an agent with a starting name, nor does it provide details about their surname, first name, alternate name, interagent relationships, participant role, sex, occupation, age, race, ethnolinguistic descriptor, or person status.",19,0.48888888888888893,2,0.5873134328358208,0.0,0.0
hasparticipantrole,child,on the provided,"text, i am unable to populate the ontology as requested. the text does not provide specific information about an agent with a starting name, nor does it provide details about their surname, first name, alternate name, interagent relationships, participant role, sex, occupation, age, race, ethnolinguistic descriptor, or person status.",30,0.4756613756613757,3,0.5383084577114428,0.0,0.0
hasparticipantrole,deceased person,on the provided,"text, i am unable to populate the ontology as requested. the text does not provide specific information about an agent with a starting name, nor does it provide details about their surname, first name, alternate name, interagent relationships, participant role, sex, occupation, age, race, ethnolinguistic descriptor, or person status.",30,0.4756613756613757,9,0.5260364842454394,0.0,0.05217356360479182
hasdescriptiveoccupation,slave,on the provided,"text, i am unable to populate the ontology as requested. the text does not provide specific information about an agent with a starting name, nor does it provide details about their surname, first name, alternate name, interagent relationships, participant role, sex, occupation, age, race, ethnolinguistic descriptor, or person status.",26,0.561111111111111,2,0.5383084577114428,0.0,0.0
hasdescriptiveoccupation,litigant,on the provided,"text, i am unable to populate the ontology as requested. the text does not provide specific information about an agent with a starting name, nor does it provide details about their surname, first name, alternate name, interagent relationships, participant role, sex, occupation, age, race, ethnolinguistic descriptor, or person status.",26,0.561111111111111,5,0.5079601990049751,0.0,0.0
hasdescriptiveoccupation,fugitive slave,on the provided,"text, i am unable to populate the ontology as requested. the text does not provide specific information about an agent with a starting name, nor does it provide details about their surname, first name, alternate name, interagent relationships, participant role, sex, occupation, age, race, ethnolinguistic descriptor, or person status.",26,0.561111111111111,7,0.5615493958777541,0.0,0.0
hasfirstname,thomas,on the provided,"text, i am unable to populate the ontology as requested. the text does not provide specific information about an agent with a starting name, nor does it provide details about their surname, first name, alternate name, interagent relationships, participant role, sex, occupation, age, race, ethnolinguistic descriptor, or person status.",22,0.3666666666666667,4,0.5615257048092869,0.0,0.0
hassurname,sims,on the provided,"text, i am unable to populate the ontology as requested. the text does not provide specific information about an agent with a starting name, nor does it provide details about their surname, first name, alternate name, interagent relationships, participant role, sex, occupation, age, race, ethnolinguistic descriptor, or person status.",24,0.3888888888888889,2,0.5873134328358208,0.0,0.0
hasname,thomas sims,on the provided,"text, i am unable to populate the ontology as requested. the text does not provide specific information about an agent with a starting name, nor does it provide details about their surname, first name, alternate name, interagent relationships, participant role, sex, occupation, age, race, ethnolinguistic descriptor, or person status.",18,0.4317460317460317,6,0.5563998190863862,0.0,0.0
hasdescription,enslaved. sims became widely known during an unsuccessful effort by abolitionists to prevent his re-enslavement under the fugitive slave act. after the war he worked as a mason and held various patronage jobs.,on the provided,"text, i am unable to populate the ontology as requested. the text does not provide specific information about an agent with a starting name, nor does it provide details about their surname, first name, alternate name, interagent relationships, participant role, sex, occupation, age, race, ethnolinguistic descriptor, or person status.",28,0.4984126984126984,38,0.6778204273687384,0.0,0.08176804146599938
