Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,on the text,"provided, the following ontology can be populated:",36,0.5757575757575758,14,0.5777777777777778,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_name,name,32,0.537878787878788,20,0.47222222222222215,0.0,0.0
instance of,person,has_name,william saunders crowdy,32,0.537878787878788,28,0.4734299516908213,0.0,0.0
instance of,person,saunders,"crowdy, 'william saunders crowdy')",42,0.537878787878788,20,0.511437908496732,0.0,0.0
instance of,person,has_surname,surname,27,0.49242424242424243,31,0.5396825396825397,0.0,0.0
instance of,person,has_surname,crowdy,27,0.49242424242424243,33,0.5555555555555555,0.0,0.0
instance of,person,saunders,"crowdy, 'crowdy')",42,0.537878787878788,17,0.48366013071895425,0.0,0.0
instance of,person,has_first_name,first_name,40,0.5692640692640693,38,0.6,0.0,0.0
instance of,person,has_first_name,william,40,0.5692640692640693,0,0.0,0.0,0.0
instance of,person,saunders,"crowdy, 'william')",42,0.537878787878788,17,0.48148148148148145,0.0,0.0
instance of,person,has_alternate_name,alternate_name,34,0.5107744107744108,30,0.5714285714285715,0.0,0.0
instance of,person,has_alternate_name,wilson,34,0.5107744107744108,50,0.6666666666666666,0.0,0.0
instance of,person,saunders,"crowdy, 'wilson')",42,0.537878787878788,35,0.48366013071895425,0.0,0.0
instance of,person,relationship record,module:,33,0.5494417862838915,15,0.0,0.0,0.0
instance of,person,has_interagent_relationship_type,relationship_type,33,0.5340909090909091,26,0.5758169934640524,0.0,0.0
instance of,person,has_interagent_relationship_type,slave,33,0.5340909090909091,18,0.0,0.0,0.0
instance of,person,saunders,"crowdy, 'slave')",42,0.537878787878788,18,0.45138888888888884,0.0,0.0
instance of,person,is_relationship_to,agent,34,0.5798460798460798,36,0.5777777777777778,0.0,0.0
instance of,person,is_relationship_to,plantation owner,34,0.5798460798460798,27,0.45138888888888884,0.0,0.0
instance of,person,saunders,"crowdy, 'plantation owner')",42,0.537878787878788,18,0.5216049382716049,0.0,0.0
instance of,person,role record,module:,27,0.49242424242424243,15,0.0,0.0,0.0
instance of,person,has_participant_role,participant_role_type,32,0.5668831168831169,22,0.5357142857142857,0.0,0.0
instance of,person,has_participant_role,slave,32,0.5668831168831169,18,0.0,0.0,0.0
instance of,person,has_participant_role,soldier,32,0.5668831168831169,31,0.0,0.0,0.0
instance of,person,has_participant_role,cook,32,0.5668831168831169,20,0.47222222222222215,0.0,0.0
instance of,person,has_participant_role,deacon,32,0.5668831168831169,50,0.6666666666666666,0.0,0.0
