Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_name,name,32,0.537878787878788,20,0.47222222222222215,0.0,0.0
instance of,person,has_name,charlotte dupuy,32,0.537878787878788,19,0.48888888888888893,0.0,0.0
instance of,person,has_surname,surname,27,0.49242424242424243,31,0.5396825396825397,0.0,0.0
instance of,person,has_surname,dupuy,27,0.49242424242424243,18,0.45555555555555555,0.0,0.0
instance of,person,has_first_name,first_name,40,0.5692640692640693,38,0.6,0.0,0.0
instance of,person,has_first_name,charlotte,40,0.5692640692640693,27,0.5185185185185185,0.0,0.0
instance of,person,has_alternate_name,alternate_name,34,0.5107744107744108,30,0.5714285714285715,0.0,0.0
instance of,person,has_alternate_name,lottie,34,0.5107744107744108,17,0.0,0.0,0.0
instance of,person,recorded_at,event,18,0.4545454545454546,36,0.5777777777777778,0.0,0.0
instance of,person,recorded_at,freedom suit against henry clay,18,0.4545454545454546,16,0.5315412186379929,0.0,0.0
instance of,person,suit against henry,clay'),34,0.5322270322270323,0,0.0,0.0,0.0
instance of,person,recorded_at,event,18,0.4545454545454546,36,0.5777777777777778,0.0,0.0
instance of,person,recorded_at,freedom suit against henry clay,18,0.4545454545454546,16,0.5315412186379929,0.0,0.0
instance of,person,suit against henry,clay'),34,0.5322270322270323,0,0.0,0.0,0.0
instance of,person,recorded_at,event,18,0.4545454545454546,36,0.5777777777777778,0.0,0.0
instance of,person,recorded_at,freedom suit against henry clay,18,0.4545454545454546,16,0.5315412186379929,0.0,0.0
instance of,person,suit against henry,clay'),34,0.5322270322270323,0,0.0,0.0,0.0
instance of,person,recorded_at,event,18,0.4545454545454546,36,0.5777777777777778,0.0,0.0
instance of,person,recorded_at,freedom suit against henry clay,18,0.4545454545454546,16,0.5315412186379929,0.0,0.0
instance of,person,suit against henry,clay'),34,0.5322270322270323,0,0.0,0.0,0.0
instance of,person,relationship record,module:,33,0.5494417862838915,15,0.0,0.0,0.0
instance of,person,has_interagent_relationship_type,relationship_type,33,0.5340909090909091,26,0.5758169934640524,0.0,0.0
instance of,person,has_interagent_relationship_type,enslaved person,33,0.5340909090909091,57,0.45555555555555555,0.0,0.5797386715376658
instance of,person,is_relationship_to,agent,34,0.5798460798460798,36,0.5777777777777778,0.0,0.0
instance of,person,is_relationship_to,henry clay,34,0.5798460798460798,25,0.48888888888888893,0.0,0.0
instance of,person,recorded_at,event,18,0.4545454545454546,36,0.5777777777777778,0.0,0.0
instance of,person,recorded_at,freedom suit against henry clay,18,0.4545454545454546,16,0.5315412186379929,0.0,0.0
instance of,person,dupuy and henry clay,"relationship, 'freedom suit against henry clay')",26,0.5015151515151516,15,0.5972222222222222,0.0,0.0
instance of,person,role record,module:,27,0.49242424242424243,15,0.0,0.0,0.0
instance of,person,has_participant_role,participant_role_type,32,0.5668831168831169,22,0.5357142857142857,0.0,0.0
instance of,person,has_participant_role,plaintiff,32,0.5668831168831169,27,0.5185185185185185,0.0,0.0
instance of,person,role_provided_by,event,15,0.4356060606060606,36,0.5777777777777778,0.0,0.0
instance of,person,role_provided_by,freedom suit against henry clay,15,0.4356060606060606,16,0.5315412186379929,0.0,0.0
instance of,person,suit against henry,clay'),34,0.5322270322270323,0,0.0,0.0,0.0
instance of,person,recorded_at,event,18,0.4545454545454546,36,0.5777777777777778,0.0,0.0
instance of,person,recorded_at,freedom suit against henry clay,18,0.4545454545454546,16,0.5315412186379929,0.0,0.0
instance of,person,suit against henry,clay'),34,0.5322270322270323,0,0.0,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_sex,sex_type,22,0.45598845598845594,29,0.3611111111111111,0.0,0.0
instance of,person,has_sex,female,22,0.45598845598845594,17,0.4444444444444444,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_occupation,occupation,24,0.38311688311688313,38,0.48888888888888893,0.0,0.0
instance of,person,has_occupation,enslaved person,24,0.38311688311688313,57,0.45555555555555555,0.0,0.5797386715376658
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_birthdate,date_of_birth,33,0.5463869463869464,21,0.49572649572649574,0.0,0.0
instance of,person,has_birthdate,c. 1787–1790,33,0.5463869463869464,0,0.0,0.0,0.0
