Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,on the provided,"text, the following ontology can be populated:",38,0.5292929292929293,12,0.5217391304347826,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_name,abner,32,0.537878787878788,36,0.5777777777777778,0.0,0.0
instance of,person,has_alternate_name,abiner son of ner,34,0.5107744107744108,43,0.5758169934640524,0.0,0.0
instance of,person,son of,ner'),59,0.3383838383838384,36,0.5777777777777778,0.33609692727625756,0.0
instance of,person,recorded_at,biblical narrative,18,0.4545454545454546,8,0.40740740740740744,0.0,0.0
instance of,person,recorded_at,tomb of abner,18,0.4545454545454546,21,0.49572649572649574,0.0,0.0
instance of,person,of,abner'),31,0.0,31,0.5396825396825397,0.5797386715376658,0.0
instance of,person,recorded_at,in popular culture,18,0.4545454545454546,17,0.5462962962962963,0.0,0.0
instance of,person,popular,culture'),11,0.41125541125541126,13,0.4259259259259259,0.0,0.0
instance of,person,relationship record,module:,33,0.5494417862838915,15,0.0,0.0,0.0
instance of,person,has_interagent_relationship_type,cousin,33,0.5340909090909091,33,0.5555555555555555,0.0,0.0
instance of,person,is_relationship_to,king saul,34,0.5798460798460798,13,0.35185185185185186,0.0,0.0
instance of,person,recorded_at,biblical narrative,18,0.4545454545454546,8,0.40740740740740744,0.0,0.0
instance of,person,relationship with king,"saul, 'biblical narrative')",30,0.5303030303030303,12,0.46913580246913583,0.0,0.0
instance of,person,role record,module:,27,0.49242424242424243,15,0.0,0.0,0.0
instance of,person,has_participant_role,commander-in-chief of king saul's army,32,0.5668831168831169,18,0.4239766081871345,0.0,0.0
instance of,person,of king,saul's army'),22,0.48917748917748916,11,0.41452991452991456,0.33609692727625756,0.0
instance of,person,role_provided_by,biblical narrative,15,0.4356060606060606,8,0.40740740740740744,0.0,0.0
instance of,person,recorded_at,biblical narrative,18,0.4545454545454546,8,0.40740740740740744,0.0,0.0
instance of,person,participation in king,"saul's army, 'biblical narrative')",25,0.5137085137085137,10,0.2973856209150327,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_occupation,commander-in-chief of king saul's army,24,0.38311688311688313,18,0.4239766081871345,0.0,0.0
instance of,person,of king,saul's army'),22,0.48917748917748916,11,0.41452991452991456,0.33609692727625756,0.0
instance of,person,recorded_at,biblical narrative,18,0.4545454545454546,8,0.40740740740740744,0.0,0.0
instance of,person,text does not provide specific information to populate the sex record,"module, age record module, race record module, ethnolinguistic descriptor record module, or person status record module.",18,0.5682916117698726,10,0.4916666666666667,0.0,0.10322968076161108
hassex,male,on the provided,"text, the following ontology can be populated:",19,0.48888888888888893,12,0.34782608695652173,0.0,0.0
hassex,male,record,module:,17,0.0,55,0.7535714285714287,0.0,0.0
hassex,male,has_name,abner,57,0.8055555555555556,44,0.6333333333333333,0.0,0.0
hassex,male,has_alternate_name,abiner son of ner,33,0.6296296296296297,19,0.5392156862745098,0.0,0.0
hassex,male,son of,ner'),17,0.4444444444444444,22,0.0,0.0,0.0
hassex,male,recorded_at,biblical narrative,12,0.41919191919191917,27,0.3703703703703704,0.0,0.0
hassex,male,recorded_at,tomb of abner,12,0.41919191919191917,35,0.4423076923076923,0.0,0.0
hassex,male,of,abner'),0,0.0,36,0.5952380952380952,0.0,0.0
hassex,male,recorded_at,in popular culture,12,0.41919191919191917,27,0.3703703703703704,0.0,0.0
hassex,male,popular,culture'),15,0.0,31,0.5740740740740741,0.0,0.0
hassex,male,relationship record,module:,24,0.44152046783625726,55,0.7535714285714287,0.0,0.0
hassex,male,has_interagent_relationship_type,cousin,26,0.5972222222222222,0,0.0,0.0,0.0
hassex,male,is_relationship_to,king saul,17,0.46296296296296297,31,0.0,0.0,0.0
hassex,male,recorded_at,biblical narrative,12,0.41919191919191917,27,0.3703703703703704,0.0,0.0
hassex,male,relationship with king,"saul, 'biblical narrative')",14,0.5328282828282828,19,0.5246913580246914,0.0,0.0
hassex,male,role record,module:,12,0.41919191919191917,55,0.7535714285714287,0.0,0.0
hassex,male,has_participant_role,commander-in-chief of king saul's army,31,0.5499999999999999,14,0.6096491228070176,0.0,0.0
hassex,male,of king,saul's army'),0,0.0,24,0.5512820512820512,0.0,0.0
hassex,male,role_provided_by,biblical narrative,9,0.40972222222222227,27,0.3703703703703704,0.0,0.0
hassex,male,recorded_at,biblical narrative,12,0.41919191919191917,27,0.3703703703703704,0.0,0.0
hassex,male,participation in king,"saul's army, 'biblical narrative')",7,0.4047619047619047,21,0.5016339869281046,0.0,0.0
hassex,male,record,module:,17,0.0,55,0.7535714285714287,0.0,0.0
hassex,male,has_occupation,commander-in-chief of king saul's army,30,0.5714285714285715,14,0.6096491228070176,0.0,0.0
hassex,male,of king,saul's army'),0,0.0,24,0.5512820512820512,0.0,0.0
hassex,male,recorded_at,biblical narrative,12,0.41919191919191917,27,0.3703703703703704,0.0,0.0
hassex,male,text does not provide specific information to populate the sex record,"module, age record module, race record module, ethnolinguistic descriptor record module, or person status record module.",11,0.40821256038647347,6,0.5944444444444444,0.0,0.0
hasparticipantrole,child,on the provided,"text, the following ontology can be populated:",30,0.4756613756613757,16,0.44396135265700476,0.0,0.0
hasparticipantrole,child,record,module:,25,0.48148148148148145,17,0.3952380952380952,0.0,0.0
hasparticipantrole,child,has_name,abner,38,0.5675925925925926,0,0.0,0.0,0.0
hasparticipantrole,child,has_alternate_name,abiner son of ner,44,0.6370370370370371,9,0.4196078431372549,0.0,0.0
hasparticipantrole,child,son of,ner'),25,0.40740740740740744,0,0.0,0.0,0.0
hasparticipantrole,child,recorded_at,biblical narrative,28,0.36195286195286197,17,0.4777777777777777,0.0,0.0
hasparticipantrole,child,recorded_at,tomb of abner,28,0.36195286195286197,0,0.0,0.0,0.0
hasparticipantrole,child,of,abner'),10,0.0,0,0.0,0.0,0.0
hasparticipantrole,child,recorded_at,in popular culture,28,0.36195286195286197,17,0.5037037037037037,0.0,0.0
hasparticipantrole,child,popular,culture'),32,0.5145502645502645,29,0.5407407407407407,0.0,0.0
hasparticipantrole,child,relationship record,module:,38,0.5994152046783626,17,0.3952380952380952,0.0,0.0
hasparticipantrole,child,has_interagent_relationship_type,cousin,44,0.65625,36,0.5777777777777778,0.0,0.0
hasparticipantrole,child,is_relationship_to,king saul,44,0.6037037037037037,29,0.43703703703703706,0.0,0.0
hasparticipantrole,child,recorded_at,biblical narrative,28,0.36195286195286197,17,0.4777777777777777,0.0,0.0
hasparticipantrole,child,relationship with king,"saul, 'biblical narrative')",30,0.5521885521885522,12,0.45925925925925926,0.0,0.0
hasparticipantrole,child,role record,module:,28,0.4452861952861953,17,0.3952380952380952,0.0,0.0
hasparticipantrole,child,has_participant_role,commander-in-chief of king saul's army,95,0.9766666666666667,19,0.5517543859649123,0.0,0.0
hasparticipantrole,child,of king,saul's army'),16,0.4656084656084656,11,0.4256410256410256,0.0,0.0
hasparticipantrole,child,role_provided_by,biblical narrative,29,0.4583333333333333,17,0.4777777777777777,0.0,0.0
hasparticipantrole,child,recorded_at,biblical narrative,28,0.36195286195286197,17,0.4777777777777777,0.0,0.0
hasparticipantrole,child,participation in king,"saul's army, 'biblical narrative')",56,0.5793650793650794,10,0.31960784313725493,0.0,0.0
hasparticipantrole,child,record,module:,25,0.48148148148148145,17,0.3952380952380952,0.0,0.0
hasparticipantrole,child,has_occupation,commander-in-chief of king saul's army,50,0.6566137566137565,19,0.5517543859649123,0.0,0.0
hasparticipantrole,child,of king,saul's army'),16,0.4656084656084656,11,0.4256410256410256,0.0,0.0
hasparticipantrole,child,recorded_at,biblical narrative,28,0.36195286195286197,17,0.4777777777777777,0.0,0.0
hasparticipantrole,child,text does not provide specific information to populate the sex record,"module, age record module, race record module, ethnolinguistic descriptor record module, or person status record module.",28,0.4935587761674718,8,0.5472222222222222,0.0,0.0
hasparticipantrole,deceased person,on the provided,"text, the following ontology can be populated:",30,0.4756613756613757,23,0.4140096618357488,0.0,0.0
hasparticipantrole,deceased person,record,module:,25,0.48148148148148145,18,0.47301587301587295,0.0,0.0
hasparticipantrole,deceased person,has_name,abner,38,0.5675925925925926,30,0.3444444444444444,0.0,0.0
hasparticipantrole,deceased person,has_alternate_name,abiner son of ner,44,0.6370370370370371,38,0.5429738562091503,0.0,0.0
hasparticipantrole,deceased person,son of,ner'),25,0.40740740740740744,20,0.4222222222222222,0.0,0.0
hasparticipantrole,deceased person,recorded_at,biblical narrative,28,0.36195286195286197,24,0.5222222222222223,0.0,0.0
hasparticipantrole,deceased person,recorded_at,tomb of abner,28,0.36195286195286197,21,0.4393162393162393,0.0,0.0
hasparticipantrole,deceased person,of,abner'),10,0.0,27,0.3063492063492063,0.0,0.0
hasparticipantrole,deceased person,recorded_at,in popular culture,28,0.36195286195286197,18,0.40370370370370373,0.0,0.0
hasparticipantrole,deceased person,popular,culture'),32,0.5145502645502645,17,0.39999999999999997,0.0,0.0
hasparticipantrole,deceased person,relationship record,module:,38,0.5994152046783626,18,0.47301587301587295,0.0,0.0
hasparticipantrole,deceased person,has_interagent_relationship_type,cousin,44,0.65625,29,0.48888888888888893,0.0,0.0
hasparticipantrole,deceased person,is_relationship_to,king saul,44,0.6037037037037037,17,0.39999999999999997,0.0,0.0
hasparticipantrole,deceased person,recorded_at,biblical narrative,28,0.36195286195286197,24,0.5222222222222223,0.0,0.0
hasparticipantrole,deceased person,relationship with king,"saul, 'biblical narrative')",30,0.5521885521885522,19,0.4296296296296296,0.0,0.0
hasparticipantrole,deceased person,role record,module:,28,0.4452861952861953,18,0.47301587301587295,0.0,0.0
hasparticipantrole,deceased person,has_participant_role,commander-in-chief of king saul's army,95,0.9766666666666667,30,0.5099415204678363,0.0,0.0
hasparticipantrole,deceased person,of king,saul's army'),16,0.4656084656084656,29,0.44145299145299144,0.0,0.0
hasparticipantrole,deceased person,role_provided_by,biblical narrative,29,0.4583333333333333,24,0.5222222222222223,0.0,0.0
hasparticipantrole,deceased person,recorded_at,biblical narrative,28,0.36195286195286197,24,0.5222222222222223,0.0,0.0
hasparticipantrole,deceased person,participation in king,"saul's army, 'biblical narrative')",56,0.5793650793650794,20,0.4143790849673203,0.0,0.0
hasparticipantrole,deceased person,record,module:,25,0.48148148148148145,18,0.47301587301587295,0.0,0.0
hasparticipantrole,deceased person,has_occupation,commander-in-chief of king saul's army,50,0.6566137566137565,30,0.5099415204678363,0.0,0.0
hasparticipantrole,deceased person,of king,saul's army'),16,0.4656084656084656,29,0.44145299145299144,0.0,0.0
hasparticipantrole,deceased person,recorded_at,biblical narrative,28,0.36195286195286197,24,0.5222222222222223,0.0,0.0
hasparticipantrole,deceased person,text does not provide specific information to populate the sex record,"module, age record module, race record module, ethnolinguistic descriptor record module, or person status record module.",28,0.4935587761674718,22,0.5404761904761904,0.0,0.059846237987993746
hasdescriptiveoccupation,farmer,on the provided,"text, the following ontology can be populated:",26,0.561111111111111,12,0.2922705314009662,0.0,0.0
hasdescriptiveoccupation,farmer,record,module:,27,0.6138888888888889,31,0.4365079365079365,0.0,0.0
hasdescriptiveoccupation,farmer,has_name,abner,25,0.5555555555555555,55,0.5888888888888889,0.0,0.0
hasdescriptiveoccupation,farmer,has_alternate_name,abiner son of ner,38,0.5574074074074075,35,0.4477124183006536,0.0,0.0
hasdescriptiveoccupation,farmer,son of,ner'),20,0.47222222222222215,36,0.45555555555555555,0.0,0.0
hasdescriptiveoccupation,farmer,recorded_at,biblical narrative,34,0.5202020202020202,25,0.48148148148148145,0.0,0.0
hasdescriptiveoccupation,farmer,recorded_at,tomb of abner,34,0.5202020202020202,42,0.41452991452991456,0.0,0.0
hasdescriptiveoccupation,farmer,of,abner'),8,0.0,46,0.5317460317460317,0.0,0.0
hasdescriptiveoccupation,farmer,recorded_at,in popular culture,34,0.5202020202020202,25,0.48148148148148145,0.0,0.0
hasdescriptiveoccupation,farmer,popular,culture'),26,0.4067460317460318,27,0.5185185185185185,0.0,0.0
hasdescriptiveoccupation,farmer,relationship record,module:,33,0.6137539361223572,31,0.4365079365079365,0.0,0.0
hasdescriptiveoccupation,farmer,has_interagent_relationship_type,cousin,43,0.5868055555555555,0,0.0,0.0,0.0
hasdescriptiveoccupation,farmer,is_relationship_to,king saul,38,0.6264245014245015,13,0.0,0.0,0.0
hasdescriptiveoccupation,farmer,recorded_at,biblical narrative,34,0.5202020202020202,25,0.48148148148148145,0.0,0.0
hasdescriptiveoccupation,farmer,relationship with king,"saul, 'biblical narrative')",35,0.5826534576534577,18,0.4012345679012346,0.0,0.0
hasdescriptiveoccupation,farmer,role record,module:,29,0.4873737373737373,31,0.4365079365079365,0.0,0.0
hasdescriptiveoccupation,farmer,has_participant_role,commander-in-chief of king saul's army,50,0.6805555555555555,18,0.5216374269005848,0.0,0.0
hasdescriptiveoccupation,farmer,of king,saul's army'),19,0.3948412698412698,32,0.49572649572649574,0.0,0.0
hasdescriptiveoccupation,farmer,role_provided_by,biblical narrative,20,0.4861111111111111,25,0.48148148148148145,0.0,0.0
hasdescriptiveoccupation,farmer,recorded_at,biblical narrative,34,0.5202020202020202,25,0.48148148148148145,0.0,0.0
hasdescriptiveoccupation,farmer,participation in king,"saul's army, 'biblical narrative')",49,0.592032967032967,20,0.5294117647058824,0.0,0.0
hasdescriptiveoccupation,farmer,record,module:,27,0.6138888888888889,31,0.4365079365079365,0.0,0.0
hasdescriptiveoccupation,farmer,has_occupation,commander-in-chief of king saul's army,68,0.8045940170940171,18,0.5216374269005848,0.0,0.0
hasdescriptiveoccupation,farmer,of king,saul's army'),19,0.3948412698412698,32,0.49572649572649574,0.0,0.0
hasdescriptiveoccupation,farmer,recorded_at,biblical narrative,34,0.5202020202020202,25,0.48148148148148145,0.0,0.0
hasdescriptiveoccupation,farmer,text does not provide specific information to populate the sex record,"module, age record module, race record module, ethnolinguistic descriptor record module, or person status record module.",30,0.5677191166321601,8,0.4916666666666667,0.0,0.0
hasdescriptiveoccupation,entrepreneur,on the provided,"text, the following ontology can be populated:",26,0.561111111111111,21,0.3751207729468599,0.0,0.0
hasdescriptiveoccupation,entrepreneur,record,module:,27,0.6138888888888889,11,0.4087301587301588,0.0,0.0
hasdescriptiveoccupation,entrepreneur,has_name,abner,25,0.5555555555555555,35,0.5055555555555555,0.0,0.0
hasdescriptiveoccupation,entrepreneur,has_alternate_name,abiner son of ner,38,0.5574074074074075,41,0.562091503267974,0.0,0.0
hasdescriptiveoccupation,entrepreneur,son of,ner'),20,0.47222222222222215,35,0.5055555555555555,0.0,0.0
hasdescriptiveoccupation,entrepreneur,recorded_at,biblical narrative,34,0.5202020202020202,27,0.5185185185185185,0.0,0.0
hasdescriptiveoccupation,entrepreneur,recorded_at,tomb of abner,34,0.5202020202020202,32,0.46367521367521364,0.0,0.0
hasdescriptiveoccupation,entrepreneur,of,abner'),8,0.0,32,0.44841269841269843,0.0,0.0
hasdescriptiveoccupation,entrepreneur,recorded_at,in popular culture,34,0.5202020202020202,33,0.5,0.0,0.0
hasdescriptiveoccupation,entrepreneur,popular,culture'),26,0.4067460317460318,29,0.5277777777777778,0.0,0.0
hasdescriptiveoccupation,entrepreneur,relationship record,module:,33,0.6137539361223572,11,0.4087301587301588,0.0,0.0
hasdescriptiveoccupation,entrepreneur,has_interagent_relationship_type,cousin,43,0.5868055555555555,11,0.4166666666666667,0.0,0.0
hasdescriptiveoccupation,entrepreneur,is_relationship_to,king saul,38,0.6264245014245015,19,0.46296296296296297,0.0,0.0
hasdescriptiveoccupation,entrepreneur,recorded_at,biblical narrative,34,0.5202020202020202,27,0.5185185185185185,0.0,0.0
hasdescriptiveoccupation,entrepreneur,relationship with king,"saul, 'biblical narrative')",35,0.5826534576534577,21,0.4104938271604938,0.0,0.0
hasdescriptiveoccupation,entrepreneur,role record,module:,29,0.4873737373737373,11,0.4087301587301588,0.0,0.0
hasdescriptiveoccupation,entrepreneur,has_participant_role,commander-in-chief of king saul's army,50,0.6805555555555555,28,0.38274853801169595,0.0,0.0
hasdescriptiveoccupation,entrepreneur,of king,saul's army'),19,0.3948412698412698,16,0.3867521367521367,0.0,0.0
hasdescriptiveoccupation,entrepreneur,role_provided_by,biblical narrative,20,0.4861111111111111,27,0.5185185185185185,0.0,0.0
hasdescriptiveoccupation,entrepreneur,recorded_at,biblical narrative,34,0.5202020202020202,27,0.5185185185185185,0.0,0.0
hasdescriptiveoccupation,entrepreneur,participation in king,"saul's army, 'biblical narrative')",49,0.592032967032967,17,0.4003267973856209,0.0,0.0
