Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_name,ellen craft,32,0.537878787878788,24,0.5050505050505051,0.0,0.0
instance of,person,has_surname,craft,27,0.49242424242424243,18,0.45555555555555555,0.0,0.0
instance of,person,has_first_name,ellen,40,0.5692640692640693,36,0.5777777777777778,0.0,0.0
instance of,person,relationship record,module:,33,0.5494417862838915,15,0.0,0.0,0.0
instance of,person,has_interagent_relationship_type,relative,33,0.5340909090909091,14,0.3611111111111111,0.0,0.0
instance of,person,is_relationship_to,healy family,34,0.5798460798460798,11,0.4166666666666667,0.0,0.0
instance of,person,role record,module:,27,0.49242424242424243,15,0.0,0.0,0.0
instance of,person,has_participant_role,escapee,32,0.5668831168831169,31,0.5396825396825397,0.0,0.0
instance of,person,role_provided_by,escape from slavery,15,0.4356060606060606,32,0.5654970760233918,0.0,0.0
instance of,person,from,slavery'),13,0.0,27,0.5,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_sex,female,22,0.45598845598845594,17,0.4444444444444444,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_occupation,abolitionist,24,0.38311688311688313,22,0.5,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_birthdate,1826,33,0.5463869463869464,0,0.0,0.0,0.0
instance of,person,has_deathdate,1891,33,0.39044289044289043,0,0.0,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_race_or_color,mixed-race,36,0.5162210338680927,25,0.5111111111111111,0.0,0.0
instance of,person,status record,module:,42,0.6773226773226773,15,0.0,0.0,0.0
instance of,person,has_person_status,enslaved person,29,0.449554367201426,57,0.45555555555555555,0.0,0.5797386715376658
instance of,person,has_status_generating_event,born into slavery,26,0.4799102132435466,17,0.46732026143790845,0.0,0.0
instance of,person,into,slavery'),53,0.6742424242424242,27,0.5,0.0,0.0
instance of,person,recorded_at,born into slavery,18,0.4545454545454546,17,0.46732026143790845,0.0,0.0
instance of,person,into,slavery'),53,0.6742424242424242,27,0.5,0.0,0.0
instance of,person,is no,"explicit mention of ellen craft's age, alternate name, ethnolinguistic descriptor, or specific events where her name, sex, race, or occupation were recorded. therefore, these modules are not included in the response.",50,0.5131313131313131,5,0.5092592592592592,0.0,0.0
instance of,person,text does not provide specific information for all,"modules. for example, there is no explicit mention of ellen craft's age, alternate name, ethnolinguistic descriptor, or specific events where her name, sex, race, or occupation were recorded. therefore, these modules are not included in the response.",20,0.517912457912458,5,0.5635555555555555,0.0,0.0
hassex,male,record,module:,17,0.0,55,0.7535714285714287,0.0,0.0
hassex,male,has_name,ellen craft,57,0.8055555555555556,27,0.393939393939394,0.0,0.0
hassex,male,has_surname,craft,59,0.6767676767676768,22,0.48333333333333334,0.0,0.0
hassex,male,has_first_name,ellen,50,0.6507936507936508,44,0.6333333333333333,0.0,0.0
hassex,male,relationship record,module:,24,0.44152046783625726,55,0.7535714285714287,0.0,0.0
hassex,male,has_interagent_relationship_type,relative,26,0.5972222222222222,33,0.5972222222222222,0.0,0.0
hassex,male,is_relationship_to,healy family,17,0.46296296296296297,25,0.5555555555555555,0.0,0.0
hassex,male,role record,module:,12,0.41919191919191917,55,0.7535714285714287,0.0,0.0
hassex,male,has_participant_role,escapee,31,0.5499999999999999,36,0.5952380952380952,0.0,0.0
hassex,male,role_provided_by,escape from slavery,9,0.40972222222222227,26,0.3684210526315789,0.0,0.0
hassex,male,from,slavery'),0,0.0,31,0.5833333333333334,0.0,0.0
hassex,male,record,module:,17,0.0,55,0.7535714285714287,0.0,0.0
hassex,male,has_sex,female,92,0.9666666666666667,80,0.7222222222222222,0.0,0.0
hassex,male,record,module:,17,0.0,55,0.7535714285714287,0.0,0.0
hassex,male,has_occupation,abolitionist,30,0.5714285714285715,25,0.5555555555555555,0.0,0.0
hassex,male,record,module:,17,0.0,55,0.7535714285714287,0.0,0.0
hassex,male,has_birthdate,1826,42,0.576923076923077,0,0.0,0.0,0.0
hassex,male,has_deathdate,1891,42,0.6581196581196581,0,0.0,0.0,0.0
hassex,male,record,module:,17,0.0,55,0.7535714285714287,0.0,0.0
hassex,male,has_race_or_color,mixed-race,35,0.6339869281045751,43,0.5666666666666667,0.0,0.0
hassex,male,status record,module:,32,0.5747863247863249,55,0.7535714285714287,0.0,0.0
hassex,male,has_person_status,enslaved person,35,0.642483660130719,21,0.5388888888888889,0.0,0.0
hassex,male,has_status_generating_event,born into slavery,30,0.6728395061728395,19,0.0,0.0,0.0
hassex,male,into,slavery'),0,0.0,31,0.5833333333333334,0.0,0.0
hassex,male,recorded_at,born into slavery,12,0.41919191919191917,19,0.0,0.0,0.0
hassex,male,into,slavery'),0,0.0,31,0.5833333333333334,0.0,0.0
hassex,male,is no,"explicit mention of ellen craft's age, alternate name, ethnolinguistic descriptor, or specific events where her name, sex, race, or occupation were recorded. therefore, these modules are not included in the response.",18,0.45555555555555555,4,0.5061728395061729,0.0,0.0
hassex,male,text does not provide specific information for all,"modules. for example, there is no explicit mention of ellen craft's age, alternate name, ethnolinguistic descriptor, or specific events where her name, sex, race, or occupation were recorded. therefore, these modules are not included in the response.",11,0.4155555555555555,3,0.5886666666666667,0.0,0.0
hasparticipantrole,child,record,module:,25,0.48148148148148145,17,0.3952380952380952,0.0,0.0
hasparticipantrole,child,has_name,ellen craft,38,0.5675925925925926,12,0.43030303030303035,0.0,0.0
hasparticipantrole,child,has_surname,craft,41,0.6274651274651274,20,0.4666666666666666,0.0,0.0
hasparticipantrole,child,has_first_name,ellen,44,0.6772486772486772,20,0.4666666666666666,0.0,0.0
hasparticipantrole,child,relationship record,module:,38,0.5994152046783626,17,0.3952380952380952,0.0,0.0
hasparticipantrole,child,has_interagent_relationship_type,relative,44,0.65625,15,0.3833333333333333,0.0,0.0
hasparticipantrole,child,is_relationship_to,healy family,44,0.6037037037037037,35,0.5222222222222223,0.0,0.0
hasparticipantrole,child,role record,module:,28,0.4452861952861953,17,0.3952380952380952,0.0,0.0
hasparticipantrole,child,has_participant_role,escapee,95,0.9766666666666667,17,0.44761904761904764,0.0,0.0
hasparticipantrole,child,role_provided_by,escape from slavery,29,0.4583333333333333,17,0.4175438596491228,0.0,0.0
