Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_name,name,32,0.537878787878788,20,0.47222222222222215,0.0,0.0
instance of,person,has_name,fortune,32,0.537878787878788,31,0.5396825396825397,0.0,0.0
instance of,person,has_alternate_name,alternate_name,34,0.5107744107744108,30,0.5714285714285715,0.0,0.0
instance of,person,has_alternate_name,larry,34,0.5107744107744108,18,0.45555555555555555,0.0,0.0
instance of,person,relationship record,module:,33,0.5494417862838915,15,0.0,0.0,0.0
instance of,person,has_interagent_relationship_type,relationship_type,33,0.5340909090909091,26,0.5758169934640524,0.0,0.0
instance of,person,has_interagent_relationship_type,enslaved person,33,0.5340909090909091,57,0.45555555555555555,0.0,0.5797386715376658
instance of,person,is_relationship_to,agent,34,0.5798460798460798,36,0.5777777777777778,0.0,0.0
instance of,person,is_relationship_to,preserved porter,34,0.5798460798460798,36,0.6486111111111111,0.0,0.0
instance of,person,role record,module:,27,0.49242424242424243,15,0.0,0.0,0.0
instance of,person,has_participant_role,participant_role_type,32,0.5668831168831169,22,0.5357142857142857,0.0,0.0
instance of,person,has_participant_role,subject of anatomic study,32,0.5668831168831169,19,0.5255555555555556,0.0,0.0
instance of,person,of anatomic,study'),27,0.503030303030303,15,0.0,0.33609692727625756,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_sex,sex_type,22,0.45598845598845594,29,0.3611111111111111,0.0,0.0
instance of,person,has_sex,male,22,0.45598845598845594,20,0.47222222222222215,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_deathdate,date_of_death,33,0.39044289044289043,21,0.49572649572649574,0.0,0.0
instance of,person,has_deathdate,1798,33,0.39044289044289043,0,0.0,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_race_or_color,race_or_color,36,0.5162210338680927,32,0.46581196581196577,0.0,0.0
instance of,person,has_race_or_color,african-american,36,0.5162210338680927,27,0.4861111111111111,0.0,0.0
instance of,person,status record,module:,42,0.6773226773226773,15,0.0,0.0,0.0
instance of,person,has_person_status,enslaved person,29,0.449554367201426,57,0.45555555555555555,0.0,0.5797386715376658
instance of,person,has_status_generating_event,event,26,0.4799102132435466,36,0.5777777777777778,0.0,0.0
instance of,person,has_status_generating_event,death of fortune,26,0.4799102132435466,27,0.4861111111111111,0.0,0.0
instance of,person,of,fortune'),31,0.0,27,0.5,0.5797386715376658,0.0
instance of,person,is no,"information about fortune's occupation, birth date, or ethnolinguistic descriptor. therefore, these modules are not included in the ontology.",50,0.5131313131313131,8,0.5697399527186762,0.0,0.0
instance of,person,information provided does not cover all the,"modules. for example, there is no information about fortune's occupation, birth date, or ethnolinguistic descriptor. therefore, these modules are not included in the ontology.",26,0.56471693680996,7,0.5669841269841269,0.0,0.0
hasname,fortune,record,module:,15,0.0,43,0.6190476190476191,0.0,0.0
hasname,fortune,has_name,name,93,0.9708333333333333,36,0.0,0.0,0.0
hasname,fortune,has_name,fortune,93,0.9708333333333333,100,1.0,0.0,1.0
hasname,fortune,has_alternate_name,alternate_name,56,0.6746031746031745,38,0.4523809523809524,0.0,0.0
hasname,fortune,has_alternate_name,larry,56,0.6746031746031745,17,0.44761904761904764,0.0,0.0
hasname,fortune,relationship record,module:,23,0.5106516290726817,43,0.6190476190476191,0.0,0.0
hasname,fortune,has_interagent_relationship_type,relationship_type,31,0.6259920634920636,33,0.5361344537815126,0.0,0.0
hasname,fortune,has_interagent_relationship_type,enslaved person,31,0.6259920634920636,18,0.3063492063492063,0.0,0.0
hasname,fortune,is_relationship_to,agent,16,0.43121693121693117,17,0.3952380952380952,0.0,0.0
hasname,fortune,is_relationship_to,preserved porter,16,0.43121693121693117,35,0.4702380952380952,0.0,0.0
hasname,fortune,role record,module:,11,0.41125541125541126,43,0.6190476190476191,0.0,0.0
hasname,fortune,has_participant_role,participant_role_type,37,0.5904761904761905,29,0.5873015873015873,0.0,0.0
hasname,fortune,has_participant_role,subject of anatomic study,37,0.5904761904761905,25,0.5879365079365079,0.0,0.0
hasname,fortune,of anatomic,study'),44,0.6450216450216449,29,0.5238095238095238,0.0,0.0
hasname,fortune,record,module:,15,0.0,43,0.6190476190476191,0.0,0.0
