Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_name,name,32,0.537878787878788,20,0.47222222222222215,0.0,0.0
instance of,person,has_name,lott cary,32,0.537878787878788,13,0.4259259259259259,0.0,0.0
instance of,person,has_surname,surname,27,0.49242424242424243,31,0.5396825396825397,0.0,0.0
instance of,person,has_surname,cary,27,0.49242424242424243,20,0.47222222222222215,0.0,0.0
instance of,person,has_first_name,first_name,40,0.5692640692640693,38,0.6,0.0,0.0
instance of,person,has_first_name,lott,40,0.5692640692640693,20,0.0,0.0,0.0
instance of,person,has_alternate_name,alternate_name,34,0.5107744107744108,30,0.5714285714285715,0.0,0.0
instance of,person,has_alternate_name,lott carey,34,0.5107744107744108,12,0.4222222222222222,0.0,0.0
instance of,person,has_alternate_name,lott gary,34,0.5107744107744108,13,0.4259259259259259,0.0,0.0
instance of,person,relationship record,module:,33,0.5494417862838915,15,0.0,0.0,0.0
instance of,person,has_interagent_relationship_type,relationship_type,33,0.5340909090909091,26,0.5758169934640524,0.0,0.0
instance of,person,has_interagent_relationship_type,co-founder,33,0.5340909090909091,25,0.5111111111111111,0.0,0.0
instance of,person,is_relationship_to,agent,34,0.5798460798460798,36,0.5777777777777778,0.0,0.0
instance of,person,is_relationship_to,collin teague,34,0.5798460798460798,21,0.49572649572649574,0.0,0.0
instance of,person,role record,module:,27,0.49242424242424243,15,0.0,0.0,0.0
instance of,person,has_participant_role,participant_role_type,32,0.5668831168831169,22,0.5357142857142857,0.0,0.0
instance of,person,has_participant_role,missionary,32,0.5668831168831169,38,0.6,0.0,0.0
instance of,person,has_participant_role,founder,32,0.5668831168831169,31,0.4365079365079365,0.0,0.0
instance of,person,has_participant_role,governor,32,0.5668831168831169,43,0.6388888888888888,0.0,0.0
instance of,person,role_provided_by,event,15,0.4356060606060606,36,0.5777777777777778,0.0,0.0
instance of,person,role_provided_by,founding of liberia,15,0.4356060606060606,16,0.4795321637426901,0.0,0.0
instance of,person,role_provided_by,establishment of providence baptist church,15,0.4356060606060606,17,0.5476190476190476,0.0,0.0
instance of,person,role_provided_by,governance of liberia,15,0.4356060606060606,22,0.5357142857142857,0.0,0.0
instance of,person,of,"liberia'), role_provided_by(founder, 'establishment of providence baptist church'), role_provided_by(governor, 'governance of liberia')",31,0.0,9,0.5148148148148148,0.5797386715376658,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_sex,sex_type,22,0.45598845598845594,29,0.3611111111111111,0.0,0.0
instance of,person,has_sex,male,22,0.45598845598845594,20,0.47222222222222215,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_occupation,occupation,24,0.38311688311688313,38,0.48888888888888893,0.0,0.0
instance of,person,has_occupation,baptist minister,24,0.38311688311688313,27,0.5625,0.0,0.0
instance of,person,has_occupation,lay physician,24,0.38311688311688313,32,0.49572649572649574,0.0,0.0
instance of,person,has_occupation,missionary leader,24,0.38311688311688313,26,0.46732026143790845,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_birthdate,date_of_birth,33,0.5463869463869464,21,0.49572649572649574,0.0,0.0
instance of,person,has_birthdate,1780,33,0.5463869463869464,0,0.0,0.0,0.0
instance of,person,has_deathdate,date_of_death,33,0.39044289044289043,21,0.49572649572649574,0.0,0.0
instance of,person,has_deathdate,november 10,33,0.39044289044289043,24,0.3383838383838384,0.0,0.0
instance of,person,has_deathdate,1828,33,0.39044289044289043,0,0.0,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_race_or_color,race_or_color,36,0.5162210338680927,32,0.46581196581196577,0.0,0.0
instance of,person,has_race_or_color,african-american,36,0.5162210338680927,27,0.4861111111111111,0.0,0.0
instance of,person,status record,module:,42,0.6773226773226773,15,0.0,0.0,0.0
instance of,person,has_person_status,enslaved person,29,0.449554367201426,57,0.45555555555555555,0.0,0.5797386715376658
instance of,person,has_person_status,free man,29,0.449554367201426,29,0.5138888888888888,0.0,0.0
instance of,person,is no,information listed in the text file.,50,0.5131313131313131,14,0.5240740740740741,0.0,0.0
instance of,person,ethnolinguistic descriptor record module is skipped as there is no information listed in the text,file.,17,0.48884029296400433,18,0.45555555555555555,0.0,0.0
