Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,on the,"text, the following ontology can be populated:",35,0.5909090909090909,12,0.5217391304347826,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_name,name,32,0.537878787878788,20,0.47222222222222215,0.0,0.0
instance of,person,has_name,lucinda davis,32,0.537878787878788,11,0.41452991452991456,0.0,0.0
instance of,person,has_surname,surname,27,0.49242424242424243,31,0.5396825396825397,0.0,0.0
instance of,person,has_surname,davis,27,0.49242424242424243,18,0.45555555555555555,0.0,0.0
instance of,person,has_first_name,first_name,40,0.5692640692640693,38,0.6,0.0,0.0
instance of,person,has_first_name,lucinda,40,0.5692640692640693,15,0.4365079365079365,0.0,0.0
instance of,person,relationship record,module:,33,0.5494417862838915,15,0.0,0.0,0.0
instance of,person,has_interagent_relationship_type,relationship_type,33,0.5340909090909091,26,0.5758169934640524,0.0,0.0
instance of,person,has_interagent_relationship_type,slave,33,0.5340909090909091,18,0.0,0.0,0.0
instance of,person,is_relationship_to,agent,34,0.5798460798460798,36,0.5777777777777778,0.0,0.0
instance of,person,is_relationship_to,tuskaya-hiniha,34,0.5798460798460798,20,0.4920634920634921,0.0,0.0
instance of,person,role record,module:,27,0.49242424242424243,15,0.0,0.0,0.0
instance of,person,has_participant_role,participant_role_type,32,0.5668831168831169,22,0.5357142857142857,0.0,0.0
instance of,person,has_participant_role,slave,32,0.5668831168831169,18,0.0,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_sex,sex_type,22,0.45598845598845594,29,0.3611111111111111,0.0,0.0
instance of,person,has_sex,female,22,0.45598845598845594,17,0.4444444444444444,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_occupation,occupation,24,0.38311688311688313,38,0.48888888888888893,0.0,0.0
instance of,person,has_occupation,slave,24,0.38311688311688313,18,0.0,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_age,age,33,0.45598845598845594,22,0.5,0.0,0.0
instance of,person,has_age,89,33,0.45598845598845594,0,0.0,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_race_or_color,race_or_color,36,0.5162210338680927,32,0.46581196581196577,0.0,0.0
instance of,person,has_race_or_color,african-american,36,0.5162210338680927,27,0.4861111111111111,0.0,0.0
instance of,person,descriptor record,module:,29,0.5398523045581869,15,0.0,0.0,0.0
instance of,person,has_ethnolinguistic_descriptor,etnolinguistic_descriptor,34,0.5579124579124579,19,0.5255555555555556,0.0,0.0
instance of,person,has_ethnolinguistic_descriptor,muskogee creek language,34,0.5579124579124579,21,0.4468599033816425,0.0,0.0
instance of,person,creek,language'),25,0.43030303030303035,12,0.4222222222222222,0.0,0.0
instance of,person,status record,module:,42,0.6773226773226773,15,0.0,0.0,0.0
instance of,person,has_person_status,slave,29,0.449554367201426,18,0.0,0.0,0.0
instance of,person,text does not provide specific information for all the ontology modules such as,"birthdate, deathdate, status_generating_event, and recorded_at. therefore, these modules are skipped.",16,0.5615650172612198,7,0.4854235423542354,0.0,0.0
hasname,lucinda davis,on the,"text, the following ontology can be populated:",31,0.5396825396825397,20,0.36443701226309927,0.0,0.0
hasname,lucinda davis,record,module:,15,0.0,10,0.442002442002442,0.0,0.0
hasname,lucinda davis,has_name,name,93,0.9708333333333333,24,0.5512820512820512,0.0,0.0
hasname,lucinda davis,has_name,lucinda davis,93,0.9708333333333333,100,1.0,0.0,1.0000000000000002
hasname,lucinda davis,has_surname,surname,78,0.9151515151515152,30,0.553113553113553,0.0,0.0
hasname,lucinda davis,has_surname,davis,78,0.9151515151515152,56,0.49914529914529915,0.0,0.5797386715376658
hasname,lucinda davis,has_first_name,first_name,67,0.5476190476190476,26,0.5102564102564102,0.0,0.0
hasname,lucinda davis,has_first_name,lucinda,67,0.5476190476190476,70,0.9076923076923077,0.0,0.5797386715376658
hasname,lucinda davis,relationship record,module:,23,0.5106516290726817,10,0.442002442002442,0.0,0.0
hasname,lucinda davis,has_interagent_relationship_type,relationship_type,31,0.6259920634920636,27,0.4937154348919055,0.0,0.0
hasname,lucinda davis,has_interagent_relationship_type,slave,31,0.6259920634920636,33,0.517948717948718,0.0,0.0
hasname,lucinda davis,is_relationship_to,agent,16,0.43121693121693117,11,0.4256410256410256,0.0,0.0
hasname,lucinda davis,is_relationship_to,tuskaya-hiniha,16,0.43121693121693117,30,0.5189255189255189,0.0,0.0
hasname,lucinda davis,role record,module:,11,0.41125541125541126,10,0.442002442002442,0.0,0.0
hasname,lucinda davis,has_participant_role,participant_role_type,37,0.5904761904761905,18,0.47130647130647124,0.0,0.0
hasname,lucinda davis,has_participant_role,slave,37,0.5904761904761905,33,0.517948717948718,0.0,0.0
hasname,lucinda davis,record,module:,15,0.0,10,0.442002442002442,0.0,0.0
hasname,lucinda davis,has_sex,sex_type,57,0.8,10,0.0,0.0,0.0
hasname,lucinda davis,has_sex,female,57,0.8,11,0.32905982905982906,0.0,0.0
hasname,lucinda davis,record,module:,15,0.0,10,0.442002442002442,0.0,0.0
hasname,lucinda davis,has_occupation,occupation,38,0.6190476190476191,26,0.4948717948717949,0.0,0.0
hasname,lucinda davis,has_occupation,slave,38,0.6190476190476191,33,0.517948717948718,0.0,0.0
hasname,lucinda davis,record,module:,15,0.0,10,0.442002442002442,0.0,0.0
hasname,lucinda davis,has_age,age,71,0.8666666666666668,12,0.0,0.0,0.0
hasname,lucinda davis,has_age,89,71,0.8666666666666668,0,0.0,0.0,0.0
hasname,lucinda davis,record,module:,15,0.0,10,0.442002442002442,0.0,0.0
hasname,lucinda davis,has_race_or_color,race_or_color,42,0.6694677871148459,8,0.2692307692307692,0.0,0.0
hasname,lucinda davis,has_race_or_color,african-american,42,0.6694677871148459,28,0.5566239316239316,0.0,0.0
hasname,lucinda davis,descriptor record,module:,17,0.3011204481792717,10,0.442002442002442,0.0,0.0
hasname,lucinda davis,has_ethnolinguistic_descriptor,etnolinguistic_descriptor,27,0.5603174603174603,26,0.4784615384615385,0.0,0.0
hasname,lucinda davis,has_ethnolinguistic_descriptor,muskogee creek language,27,0.5603174603174603,22,0.4006688963210703,0.0,0.0
hasname,lucinda davis,creek,language'),17,0.0,26,0.5615384615384615,0.0,0.0
hasname,lucinda davis,status record,module:,30,0.442002442002442,10,0.442002442002442,0.0,0.0
hasname,lucinda davis,has_person_status,slave,42,0.6028011204481792,33,0.517948717948718,0.0,0.0
hasname,lucinda davis,text does not provide specific information for all the ontology modules such as,"birthdate, deathdate, status_generating_event, and recorded_at. therefore, these modules are skipped.",12,0.5258589511754069,16,0.5001730942325001,0.0,0.0
hasfirstname,lucinda,on the,"text, the following ontology can be populated:",22,0.3333333333333333,15,0.4979296066252588,0.0,0.0
hasfirstname,lucinda,record,module:,22,0.4166666666666667,14,0.42857142857142855,0.0,0.0
hasfirstname,lucinda,has_name,name,70,0.8736111111111112,36,0.0,0.0,0.0
hasfirstname,lucinda,has_name,lucinda davis,70,0.8736111111111112,70,0.9076923076923077,0.0,0.5797386715376658
hasfirstname,lucinda,has_surname,surname,70,0.8733164983164984,43,0.6190476190476191,0.0,0.0
hasfirstname,lucinda,has_surname,davis,70,0.8733164983164984,33,0.44761904761904764,0.0,0.0
hasfirstname,lucinda,has_first_name,first_name,92,0.9666666666666667,35,0.5761904761904763,0.0,0.0
hasfirstname,lucinda,has_first_name,lucinda,92,0.9666666666666667,100,1.0,0.0,1.0
hasfirstname,lucinda,relationship record,module:,32,0.5077276524644946,14,0.42857142857142855,0.0,0.0
hasfirstname,lucinda,has_interagent_relationship_type,relationship_type,36,0.6030092592592592,25,0.5189075630252101,0.0,0.0
hasfirstname,lucinda,has_interagent_relationship_type,slave,36,0.6030092592592592,33,0.44761904761904764,0.0,0.0
hasfirstname,lucinda,is_relationship_to,agent,27,0.6203703703703703,17,0.44761904761904764,0.0,0.0
hasfirstname,lucinda,is_relationship_to,tuskaya-hiniha,27,0.6203703703703703,38,0.5357142857142857,0.0,0.0
hasfirstname,lucinda,role record,module:,17,0.44949494949494956,14,0.42857142857142855,0.0,0.0
hasfirstname,lucinda,has_participant_role,participant_role_type,44,0.6962962962962962,21,0.503968253968254,0.0,0.0
