Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_name,name,32,0.537878787878788,20,0.47222222222222215,0.0,0.0
instance of,person,has_name,lucy ann delaney,32,0.537878787878788,18,0.40972222222222227,0.0,0.0
instance of,person,ann,"delaney, 'lucy ann delaney')",29,0.6464646464646465,12,0.4682539682539682,0.0,0.0
instance of,person,has_surname,surname,27,0.49242424242424243,31,0.5396825396825397,0.0,0.0
instance of,person,has_surname,delaney,27,0.49242424242424243,31,0.5396825396825397,0.0,0.0
instance of,person,ann,"delaney, 'delaney')",29,0.6464646464646465,16,0.4795321637426901,0.0,0.0
instance of,person,has_first_name,first_name,40,0.5692640692640693,38,0.6,0.0,0.0
instance of,person,has_first_name,lucy ann,40,0.5692640692640693,14,0.4305555555555555,0.0,0.0
instance of,person,ann,"delaney, 'lucy ann')",29,0.6464646464646465,15,0.4777777777777778,0.0,0.0
instance of,person,relationship record,module:,33,0.5494417862838915,15,0.0,0.0,0.0
instance of,person,has_interagent_relationship_type,relationship_type,33,0.5340909090909091,26,0.5758169934640524,0.0,0.0
instance of,person,has_interagent_relationship_type,daughter,33,0.5340909090909091,29,0.0,0.0,0.0
instance of,person,ann,"delaney, 'daughter')",29,0.6464646464646465,15,0.4777777777777778,0.0,0.0
instance of,person,is_relationship_to,agent,34,0.5798460798460798,36,0.5777777777777778,0.0,0.0
instance of,person,is_relationship_to,polly,34,0.5798460798460798,36,0.45555555555555555,0.0,0.0
instance of,person,ann,"delaney, 'polly')",29,0.6464646464646465,17,0.4477124183006536,0.0,0.0
instance of,person,role record,module:,27,0.49242424242424243,15,0.0,0.0,0.0
instance of,person,has_participant_role,participant_role_type,32,0.5668831168831169,22,0.5357142857142857,0.0,0.0
instance of,person,has_participant_role,plaintiff,32,0.5668831168831169,27,0.5185185185185185,0.0,0.0
instance of,person,ann,"delaney, 'plaintiff')",29,0.6464646464646465,15,0.4761904761904762,0.0,0.0
instance of,person,role_provided_by,event,15,0.4356060606060606,36,0.5777777777777778,0.0,0.0
instance of,person,role_provided_by,freedom suit,15,0.4356060606060606,22,0.5,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_sex,sex_type,22,0.45598845598845594,29,0.3611111111111111,0.0,0.0
instance of,person,has_sex,female,22,0.45598845598845594,17,0.4444444444444444,0.0,0.0
instance of,person,ann,"delaney, 'female')",29,0.6464646464646465,17,0.48148148148148145,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_occupation,occupation,24,0.38311688311688313,38,0.48888888888888893,0.0,0.0
instance of,person,has_occupation,seamstress,24,0.38311688311688313,38,0.48888888888888893,0.0,0.0
instance of,person,ann,"delaney, 'seamstress')",29,0.6464646464646465,21,0.4343434343434343,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_age,age,33,0.45598845598845594,22,0.5,0.0,0.0
instance of,person,mentioned in the,text,37,0.5960497835497836,20,0.47222222222222215,0.0,0.0
instance of,person,has_birthdate,date_of_birth,33,0.5463869463869464,21,0.49572649572649574,0.0,0.0
instance of,person,mentioned in the,text,37,0.5960497835497836,20,0.47222222222222215,0.0,0.0
instance of,person,has_deathdate,date_of_death,33,0.39044289044289043,21,0.49572649572649574,0.0,0.0
instance of,person,mentioned in the,text,37,0.5960497835497836,20,0.47222222222222215,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_race_or_color,race_or_color,36,0.5162210338680927,32,0.46581196581196577,0.0,0.0
instance of,person,has_race_or_color,african-american,36,0.5162210338680927,27,0.4861111111111111,0.0,0.0
instance of,person,ann,"delaney, 'african-american')",29,0.6464646464646465,18,0.4246031746031746,0.0,0.0
instance of,person,descriptor record,module:,29,0.5398523045581869,15,0.0,0.0,0.0
instance of,person,has_ethnolinguistic_descriptor,etnolinguistic_descriptor,34,0.5579124579124579,19,0.5255555555555556,0.0,0.0
instance of,person,mentioned in the,text,37,0.5960497835497836,20,0.47222222222222215,0.0,0.0
instance of,person,status record,module:,42,0.6773226773226773,15,0.0,0.0,0.0
instance of,person,has_person_status,enslaved person,29,0.449554367201426,57,0.45555555555555555,0.0,0.5797386715376658
