Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,on the,"text, the following ontology can be populated:",35,0.5909090909090909,12,0.5217391304347826,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_name,name,32,0.537878787878788,20,0.47222222222222215,0.0,0.0
instance of,person,has_name,mahommah gardo baquaqua,32,0.537878787878788,14,0.30676328502415456,0.0,0.0
instance of,person,gardo,"baquaqua, 'mahommah gardo baquaqua')",25,0.43030303030303035,10,0.39814814814814814,0.0,0.0
instance of,person,has_surname,surname,27,0.49242424242424243,31,0.5396825396825397,0.0,0.0
instance of,person,has_surname,baquaqua,27,0.49242424242424243,0,0.0,0.0,0.0
instance of,person,gardo,"baquaqua, 'baquaqua')",25,0.43030303030303035,0,0.0,0.0,0.0
instance of,person,has_first_name,first_name,40,0.5692640692640693,38,0.6,0.0,0.0
instance of,person,has_first_name,mahommah,40,0.5692640692640693,14,0.4305555555555555,0.0,0.0
instance of,person,gardo,"baquaqua, 'mahommah')",25,0.43030303030303035,7,0.0,0.0,0.0
instance of,person,relationship record,module:,33,0.5494417862838915,15,0.0,0.0,0.0
instance of,person,has_interagent_relationship_type,relationship_type,33,0.5340909090909091,26,0.5758169934640524,0.0,0.0
instance of,person,has_interagent_relationship_type,slave,33,0.5340909090909091,18,0.0,0.0,0.0
instance of,person,gardo,"baquaqua, 'slave')",25,0.43030303030303035,8,0.40740740740740744,0.0,0.0
instance of,person,is_relationship_to,agent,34,0.5798460798460798,36,0.5777777777777778,0.0,0.0
instance of,person,is_relationship_to,samuel downing moore,34,0.5798460798460798,23,0.5388888888888889,0.0,0.0
instance of,person,gardo,"baquaqua, 'samuel downing moore')",25,0.43030303030303035,15,0.41919191919191917,0.0,0.0
instance of,person,role record,module:,27,0.49242424242424243,15,0.0,0.0,0.0
instance of,person,has_participant_role,participant_role_type,32,0.5668831168831169,22,0.5357142857142857,0.0,0.0
instance of,person,has_participant_role,slave,32,0.5668831168831169,18,0.0,0.0,0.0
instance of,person,has_participant_role,student,32,0.5668831168831169,31,0.4365079365079365,0.0,0.0
instance of,person,has_participant_role,author,32,0.5668831168831169,17,0.4444444444444444,0.0,0.0
instance of,person,gardo,"baquaqua, 'slave'), has_participant_role(mahommah gardo baquaqua, 'student'), has_participant_role(mahommah gardo baquaqua, 'author')",25,0.43030303030303035,7,0.5705931495405179,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_occupation,occupation,24,0.38311688311688313,38,0.48888888888888893,0.0,0.0
instance of,person,has_occupation,slave,24,0.38311688311688313,18,0.0,0.0,0.0
instance of,person,has_occupation,student,24,0.38311688311688313,31,0.4365079365079365,0.0,0.0
instance of,person,has_occupation,author,24,0.38311688311688313,17,0.4444444444444444,0.0,0.0
instance of,person,gardo,"baquaqua, 'slave'), has_occupation(mahommah gardo baquaqua, 'student'), has_occupation(mahommah gardo baquaqua, 'author')",25,0.43030303030303035,8,0.5720844811753903,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_birthdate,date_of_birth,33,0.5463869463869464,21,0.49572649572649574,0.0,0.0
instance of,person,has_birthdate,between 1820 and 1830,33,0.5463869463869464,15,0.4761904761904762,0.0,0.0
instance of,person,gardo,"baquaqua, between 1820 and 1830)",25,0.43030303030303035,11,0.46527777777777773,0.0,0.0
instance of,person,status record,module:,42,0.6773226773226773,15,0.0,0.0,0.0
instance of,person,has_person_status,slave,29,0.449554367201426,18,0.0,0.0,0.0
instance of,person,has_person_status,free,29,0.449554367201426,20,0.4444444444444444,0.0,0.0
instance of,person,gardo,"baquaqua, 'slave'), has_person_status(mahommah gardo baquaqua, 'free')",25,0.43030303030303035,16,0.6396825396825396,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_race_or_color,race_or_color,36,0.5162210338680927,32,0.46581196581196577,0.0,0.0
instance of,person,has_race_or_color,african,36,0.5162210338680927,31,0.5396825396825397,0.0,0.0
instance of,person,gardo,"baquaqua, 'african')",25,0.43030303030303035,15,0.0,0.0,0.0
instance of,person,descriptor record,module:,29,0.5398523045581869,15,0.0,0.0,0.0
instance of,person,has_ethnolinguistic_descriptor,etnolinguistic_descriptor,34,0.5579124579124579,19,0.5255555555555556,0.0,0.0
instance of,person,has_ethnolinguistic_descriptor,arabic,34,0.5579124579124579,17,0.4444444444444444,0.0,0.0
instance of,person,gardo,"baquaqua, 'arabic')",25,0.43030303030303035,8,0.0,0.0,0.0
instance of,person,is no,"explicit information about the agent's sex, death date, or specific age. therefore, these modules are not populated.",50,0.5131313131313131,10,0.5172413793103449,0.0,0.0
instance of,person,text does not provide information for all the,"modules. for example, there is no explicit information about the agent's sex, death date, or specific age. therefore, these modules are not populated.",21,0.5245791245791246,8,0.5688888888888889,0.0,0.0
hassex,male,on the,"text, the following ontology can be populated:",33,0.4444444444444444,12,0.34782608695652173,0.0,0.0
hassex,male,record,module:,17,0.0,55,0.7535714285714287,0.0,0.0
hassex,male,has_name,name,57,0.8055555555555556,50,0.6666666666666666,0.0,0.0
hassex,male,has_name,mahommah gardo baquaqua,57,0.8055555555555556,15,0.5289855072463768,0.0,0.0
hassex,male,gardo,"baquaqua, 'mahommah gardo baquaqua')",18,0.45555555555555555,10,0.35185185185185186,0.0,0.0
hassex,male,has_surname,surname,59,0.6767676767676768,36,0.0,0.0,0.0
hassex,male,has_surname,baquaqua,59,0.6767676767676768,17,0.4583333333333333,0.0,0.0
hassex,male,gardo,"baquaqua, 'baquaqua')",18,0.45555555555555555,8,0.43253968253968256,0.0,0.0
hassex,male,has_first_name,first_name,50,0.6507936507936508,29,0.0,0.0,0.0
hassex,male,has_first_name,mahommah,50,0.6507936507936508,33,0.5833333333333334,0.0,0.0
hassex,male,gardo,"baquaqua, 'mahommah')",18,0.45555555555555555,16,0.43253968253968256,0.0,0.0
hassex,male,relationship record,module:,24,0.44152046783625726,55,0.7535714285714287,0.0,0.0
hassex,male,has_interagent_relationship_type,relationship_type,26,0.5972222222222222,19,0.5310457516339869,0.0,0.0
hassex,male,has_interagent_relationship_type,slave,26,0.5972222222222222,44,0.6722222222222222,0.0,0.0
hassex,male,gardo,"baquaqua, 'slave')",18,0.45555555555555555,27,0.4351851851851852,0.0,0.0
hassex,male,is_relationship_to,agent,17,0.46296296296296297,44,0.6333333333333333,0.0,0.0
hassex,male,is_relationship_to,samuel downing moore,17,0.46296296296296297,25,0.5666666666666667,0.0,0.0
hassex,male,gardo,"baquaqua, 'samuel downing moore')",18,0.45555555555555555,16,0.5404040404040403,0.0,0.0
hassex,male,role record,module:,12,0.41919191919191917,55,0.7535714285714287,0.0,0.0
hassex,male,has_participant_role,participant_role_type,31,0.5499999999999999,24,0.43253968253968256,0.0,0.0
hassex,male,has_participant_role,slave,31,0.5499999999999999,44,0.6722222222222222,0.0,0.0
hassex,male,has_participant_role,student,31,0.5499999999999999,18,0.46428571428571425,0.0,0.0
hassex,male,has_participant_role,author,31,0.5499999999999999,20,0.47222222222222215,0.0,0.0
hassex,male,gardo,"baquaqua, 'slave'), has_participant_role(mahommah gardo baquaqua, 'student'), has_participant_role(mahommah gardo baquaqua, 'author')",18,0.45555555555555555,6,0.5100250626566416,0.0,0.0
hassex,male,record,module:,17,0.0,55,0.7535714285714287,0.0,0.0
hassex,male,has_occupation,occupation,30,0.5714285714285715,14,0.45,0.0,0.0
hassex,male,has_occupation,slave,30,0.5714285714285715,44,0.6722222222222222,0.0,0.0
hassex,male,has_occupation,student,30,0.5714285714285715,18,0.46428571428571425,0.0,0.0
hassex,male,has_occupation,author,30,0.5714285714285715,20,0.47222222222222215,0.0,0.0
hassex,male,gardo,"baquaqua, 'slave'), has_occupation(mahommah gardo baquaqua, 'student'), has_occupation(mahommah gardo baquaqua, 'author')",18,0.45555555555555555,5,0.5110192837465565,0.0,0.0
hassex,male,record,module:,17,0.0,55,0.7535714285714287,0.0,0.0
hassex,male,has_birthdate,date_of_birth,42,0.576923076923077,24,0.5512820512820512,0.0,0.0
hassex,male,has_birthdate,between 1820 and 1830,42,0.576923076923077,8,0.43253968253968256,0.0,0.0
hassex,male,gardo,"baquaqua, between 1820 and 1830)",18,0.45555555555555555,11,0.5208333333333334,0.0,0.0
