Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_name,name,32,0.537878787878788,20,0.47222222222222215,0.0,0.0
instance of,person,has_name,peter barnabas barrow,32,0.537878787878788,37,0.6190476190476191,0.0,0.0
instance of,person,barnabas,"barrow, 'peter barnabas barrow')",21,0.3106060606060606,26,0.5298611111111111,0.0,0.0
instance of,person,has_surname,surname,27,0.49242424242424243,31,0.5396825396825397,0.0,0.0
instance of,person,has_surname,barrow,27,0.49242424242424243,33,0.5555555555555555,0.0,0.0
instance of,person,barnabas,"barrow, 'barrow')",21,0.3106060606060606,17,0.48366013071895425,0.0,0.0
instance of,person,has_first_name,first_name,40,0.5692640692640693,38,0.6,0.0,0.0
instance of,person,has_first_name,peter,40,0.5692640692640693,55,0.76,0.0,0.0
instance of,person,barnabas,"barrow, 'peter')",21,0.3106060606060606,27,0.4861111111111111,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_occupation,occupation,24,0.38311688311688313,38,0.48888888888888893,0.0,0.0
instance of,person,has_occupation,slave,24,0.38311688311688313,18,0.0,0.0,0.0
instance of,person,has_occupation,soldier,24,0.38311688311688313,31,0.0,0.0,0.0
instance of,person,has_occupation,state legislator,24,0.38311688311688313,27,0.3194444444444444,0.0,0.0
instance of,person,has_occupation,minister,24,0.38311688311688313,29,0.3611111111111111,0.0,0.0
instance of,person,has_occupation,orchard owner,24,0.38311688311688313,32,0.46581196581196577,0.0,0.0
instance of,person,barnabas,"barrow, 'slave, soldier, state legislator, minister, orchard owner')",21,0.3106060606060606,14,0.49183006535947715,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_birthdate,date_of_birth,33,0.5463869463869464,21,0.49572649572649574,0.0,0.0
instance of,person,has_birthdate,1840,33,0.5463869463869464,0,0.0,0.0,0.0
instance of,person,barnabas,"barrow, '1840')",21,0.3106060606060606,19,0.48888888888888893,0.0,0.0
instance of,person,has_deathdate,date_of_death,33,0.39044289044289043,21,0.49572649572649574,0.0,0.0
instance of,person,has_deathdate,1906,33,0.39044289044289043,0,0.0,0.0,0.0
instance of,person,barnabas,"barrow, '1906')",21,0.3106060606060606,19,0.48888888888888893,0.0,0.0
instance of,person,status record,module:,42,0.6773226773226773,15,0.0,0.0,0.0
instance of,person,has_person_status,slave,29,0.449554367201426,18,0.0,0.0,0.0
instance of,person,has_person_status,freed by union army,29,0.449554367201426,24,0.4590643274853801,0.0,0.0
instance of,person,barnabas,"barrow, 'slave, freed by union army')",21,0.3106060606060606,19,0.5082582582582583,0.0,0.0
instance of,person,text does not provide specific information to populate the interagent relationship record,"module, sex record module, race record module, ethnolinguistic descriptor record module, and some parts of the age record module and person status record module.",16,0.5563500170241743,7,0.5679779158040028,0.0,0.08188201060216914
hassex,male,record,module:,17,0.0,55,0.7535714285714287,0.0,0.0
hassex,male,has_name,name,57,0.8055555555555556,50,0.6666666666666666,0.0,0.0
hassex,male,has_name,peter barnabas barrow,57,0.8055555555555556,8,0.3650793650793651,0.0,0.0
hassex,male,barnabas,"barrow, 'peter barnabas barrow')",29,0.4305555555555555,11,0.5208333333333334,0.0,0.0
hassex,male,has_surname,surname,59,0.6767676767676768,36,0.0,0.0,0.0
hassex,male,has_surname,barrow,59,0.6767676767676768,20,0.47222222222222215,0.0,0.0
hassex,male,barnabas,"barrow, 'barrow')",29,0.4305555555555555,10,0.4362745098039216,0.0,0.0
hassex,male,has_first_name,first_name,50,0.6507936507936508,29,0.0,0.0,0.0
hassex,male,has_first_name,peter,50,0.6507936507936508,22,0.48333333333333334,0.0,0.0
hassex,male,barnabas,"barrow, 'peter')",29,0.4305555555555555,20,0.5416666666666666,0.0,0.0
hassex,male,record,module:,17,0.0,55,0.7535714285714287,0.0,0.0
hassex,male,has_occupation,occupation,30,0.5714285714285715,14,0.45,0.0,0.0
hassex,male,has_occupation,slave,30,0.5714285714285715,44,0.6722222222222222,0.0,0.0
hassex,male,has_occupation,soldier,30,0.5714285714285715,36,0.5952380952380952,0.0,0.0
hassex,male,has_occupation,state legislator,30,0.5714285714285715,30,0.5347222222222222,0.0,0.0
hassex,male,has_occupation,minister,30,0.5714285714285715,33,0.5833333333333334,0.0,0.0
