Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_name,polly wash,32,0.537878787878788,25,0.5111111111111111,0.0,0.0
instance of,person,has_first_name,polly,40,0.5692640692640693,36,0.45555555555555555,0.0,0.0
instance of,person,has_surname,wash,27,0.49242424242424243,20,0.47222222222222215,0.0,0.0
instance of,person,has_name,lucy ann delaney,32,0.537878787878788,18,0.40972222222222227,0.0,0.0
instance of,person,ann,"delaney, 'lucy ann delaney')",29,0.6464646464646465,12,0.4682539682539682,0.0,0.0
instance of,person,has_first_name,lucy ann,40,0.5692640692640693,14,0.4305555555555555,0.0,0.0
instance of,person,ann,"delaney, 'lucy ann')",29,0.6464646464646465,15,0.4777777777777778,0.0,0.0
instance of,person,has_surname,delaney,27,0.49242424242424243,31,0.5396825396825397,0.0,0.0
instance of,person,ann,"delaney, 'delaney')",29,0.6464646464646465,16,0.4795321637426901,0.0,0.0
instance of,person,relationship record,module:,33,0.5494417862838915,15,0.0,0.0,0.0
instance of,person,has_interagent_relationship_type,mother,33,0.5340909090909091,33,0.0,0.0,0.0
instance of,person,is_relationship_to,lucy ann delaney,34,0.5798460798460798,18,0.40972222222222227,0.0,0.0
instance of,person,ann,delaney),29,0.6464646464646465,29,0.5277777777777778,0.0,0.0
instance of,person,has_interagent_relationship_type,daughter,33,0.5340909090909091,29,0.0,0.0,0.0
instance of,person,ann,"delaney, 'daughter')",29,0.6464646464646465,15,0.4777777777777778,0.0,0.0
instance of,person,is_relationship_to,polly wash,34,0.5798460798460798,25,0.5111111111111111,0.0,0.0
instance of,person,ann,"delaney, polly wash)",29,0.6464646464646465,15,0.45555555555555555,0.0,0.0
instance of,person,role record,module:,27,0.49242424242424243,15,0.0,0.0,0.0
instance of,person,has_participant_role,plaintiff,32,0.5668831168831169,27,0.5185185185185185,0.0,0.0
instance of,person,role_provided_by,freedom suit,15,0.4356060606060606,22,0.5,0.0,0.0
instance of,person,has_participant_role,plaintiff,32,0.5668831168831169,27,0.5185185185185185,0.0,0.0
instance of,person,ann,"delaney, 'plaintiff')",29,0.6464646464646465,15,0.4761904761904762,0.0,0.0
instance of,person,role_provided_by,freedom suit,15,0.4356060606060606,22,0.5,0.0,0.0
instance of,person,ann,"delaney, 'freedom suit')",29,0.6464646464646465,20,0.5277777777777778,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_sex,female,22,0.45598845598845594,17,0.4444444444444444,0.0,0.0
instance of,person,has_sex,female,22,0.45598845598845594,17,0.4444444444444444,0.0,0.0
instance of,person,ann,"delaney, 'female')",29,0.6464646464646465,17,0.48148148148148145,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_occupation,domestic servant,24,0.38311688311688313,27,0.45138888888888884,0.0,0.0
instance of,person,has_occupation,domestic servant,24,0.38311688311688313,27,0.45138888888888884,0.0,0.0
instance of,person,ann,"delaney, 'domestic servant')",29,0.6464646464646465,18,0.5198412698412699,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_birthdate,around 1803 or 1805,33,0.5463869463869464,24,0.5526315789473685,0.0,0.0
instance of,person,1803 or,1805'),22,0.48917748917748916,0,0.0,0.0,0.0
instance of,person,has_birthdate,about 1830,33,0.5463869463869464,12,0.4222222222222222,0.0,0.0
instance of,person,ann,"delaney, 'about 1830')",29,0.6464646464646465,14,0.4343434343434343,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_race_or_color,african-american,36,0.5162210338680927,27,0.4861111111111111,0.0,0.0
instance of,person,has_race_or_color,african-american,36,0.5162210338680927,27,0.4861111111111111,0.0,0.0
instance of,person,ann,"delaney, 'african-american')",29,0.6464646464646465,18,0.4246031746031746,0.0,0.0
instance of,person,status record,module:,42,0.6773226773226773,15,0.0,0.0,0.0
instance of,person,has_person_status,enslaved person,29,0.449554367201426,57,0.45555555555555555,0.0,0.5797386715376658
instance of,person,has_status_generating_event,sale to major taylor berry,26,0.4799102132435466,19,0.44017094017094016,0.0,0.0
instance of,person,to major taylor,berry'),31,0.4601010101010101,31,0.5396825396825397,0.0,0.0
instance of,person,has_person_status,enslaved person,29,0.449554367201426,57,0.45555555555555555,0.0,0.5797386715376658
instance of,person,ann,"delaney, 'enslaved person')",29,0.6464646464646465,36,0.4259259259259259,0.0,0.4494364165239821
instance of,person,has_status_generating_event,sale to david d. mitchell,26,0.4799102132435466,13,0.4288888888888889,0.0,0.0
instance of,person,to david,d. mitchell'),21,0.4772727272727273,11,0.0,0.0,0.0
hassex,female,record,module:,17,0.0,46,0.6428571428571429,0.0,0.0
hassex,female,has_name,polly wash,57,0.8055555555555556,12,0.3444444444444444,0.0,0.0
hassex,female,has_first_name,polly,50,0.6507936507936508,18,0.45555555555555555,0.0,0.0
hassex,female,has_surname,wash,59,0.6767676767676768,20,0.47222222222222215,0.0,0.0
hassex,female,has_name,lucy ann delaney,57,0.8055555555555556,27,0.45138888888888884,0.0,0.0
hassex,female,ann,"delaney, 'lucy ann delaney')",22,0.5,24,0.5198412698412699,0.0,0.0
hassex,female,has_first_name,lucy ann,50,0.6507936507936508,14,0.4305555555555555,0.0,0.0
hassex,female,ann,"delaney, 'lucy ann')",22,0.5,23,0.5388888888888889,0.0,0.0
hassex,female,has_surname,delaney,59,0.6767676767676768,46,0.6626984126984127,0.0,0.0
hassex,female,ann,"delaney, 'delaney')",22,0.5,32,0.5423976608187134,0.0,0.0
hassex,female,relationship record,module:,24,0.44152046783625726,46,0.6428571428571429,0.0,0.0
hassex,female,has_interagent_relationship_type,mother,26,0.5972222222222222,33,0.5555555555555555,0.0,0.0
hassex,female,is_relationship_to,lucy ann delaney,17,0.46296296296296297,27,0.45138888888888884,0.0,0.0
hassex,female,ann,delaney),22,0.5,43,0.6388888888888888,0.0,0.0
hassex,female,has_interagent_relationship_type,daughter,26,0.5972222222222222,29,0.5277777777777778,0.0,0.0
hassex,female,ann,"delaney, 'daughter')",22,0.5,23,0.5388888888888889,0.0,0.0
hassex,female,is_relationship_to,polly wash,17,0.46296296296296297,12,0.3444444444444444,0.0,0.0
hassex,female,ann,"delaney, polly wash)",22,0.5,23,0.5388888888888889,0.0,0.0
hassex,female,role record,module:,12,0.41919191919191917,46,0.6428571428571429,0.0,0.0
hassex,female,has_participant_role,plaintiff,31,0.5499999999999999,13,0.35185185185185186,0.0,0.0
hassex,female,role_provided_by,freedom suit,9,0.40972222222222227,33,0.5833333333333334,0.0,0.0
hassex,female,has_participant_role,plaintiff,31,0.5499999999999999,13,0.35185185185185186,0.0,0.0
hassex,female,ann,"delaney, 'plaintiff')",22,0.5,22,0.5357142857142857,0.0,0.0
hassex,female,role_provided_by,freedom suit,9,0.40972222222222227,33,0.5833333333333334,0.0,0.0
hassex,female,ann,"delaney, 'freedom suit')",22,0.5,20,0.5472222222222222,0.0,0.0
hassex,female,record,module:,17,0.0,46,0.6428571428571429,0.0,0.0
hassex,female,has_sex,female,92,0.9666666666666667,100,1.0,0.0,1.0
hassex,female,has_sex,female,92,0.9666666666666667,100,1.0,0.0,1.0
hassex,female,ann,"delaney, 'female')",22,0.5,50,0.5462962962962963,0.0,0.5797386715376658
hassex,female,record,module:,17,0.0,46,0.6428571428571429,0.0,0.0
hassex,female,has_occupation,domestic servant,30,0.5714285714285715,18,0.45138888888888884,0.0,0.0
hassex,female,has_occupation,domestic servant,30,0.5714285714285715,18,0.45138888888888884,0.0,0.0
hassex,female,ann,"delaney, 'domestic servant')",22,0.5,18,0.6039682539682539,0.0,0.0
hassex,female,record,module:,17,0.0,46,0.6428571428571429,0.0,0.0
hassex,female,has_birthdate,around 1803 or 1805,42,0.576923076923077,8,0.4064327485380117,0.0,0.0
hassex,female,1803 or,1805'),0,0.0,0,0.0,0.0,0.0
hassex,female,has_birthdate,about 1830,42,0.576923076923077,12,0.4222222222222222,0.0,0.0
hassex,female,ann,"delaney, 'about 1830')",22,0.5,21,0.5328282828282828,0.0,0.0
hassex,female,record,module:,17,0.0,46,0.6428571428571429,0.0,0.0
hassex,female,has_race_or_color,african-american,35,0.6339869281045751,27,0.5555555555555555,0.0,0.0
hassex,female,has_race_or_color,african-american,35,0.6339869281045751,27,0.5555555555555555,0.0,0.0
hassex,female,ann,"delaney, 'african-american')",22,0.5,18,0.5373015873015873,0.0,0.0
hassex,female,status record,module:,32,0.5747863247863249,46,0.6428571428571429,0.0,0.0
hassex,female,has_person_status,enslaved person,35,0.642483660130719,29,0.5611111111111111,0.0,0.0
hassex,female,has_status_generating_event,sale to major taylor berry,30,0.6728395061728395,31,0.44017094017094016,0.0,0.0
hassex,female,to major taylor,berry'),10,0.41111111111111115,15,0.4365079365079365,0.0,0.0
hassex,female,has_person_status,enslaved person,35,0.642483660130719,29,0.5611111111111111,0.0,0.0
