Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,on the,"text, the following ontology can be populated:",35,0.5909090909090909,12,0.5217391304347826,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_name,name,32,0.537878787878788,20,0.47222222222222215,0.0,0.0
instance of,person,has_name,william wells brown,32,0.537878787878788,32,0.4064327485380117,0.0,0.0
instance of,person,wells,"brown, 'william wells brown')",12,0.43030303030303035,23,0.5344827586206896,0.0,0.0
instance of,person,has_surname,surname,27,0.49242424242424243,31,0.5396825396825397,0.0,0.0
instance of,person,has_surname,brown,27,0.49242424242424243,55,0.7000000000000001,0.0,0.0
instance of,person,wells,"brown, 'brown')",12,0.43030303030303035,29,0.5666666666666667,0.0,0.0
instance of,person,has_first_name,first_name,40,0.5692640692640693,38,0.6,0.0,0.0
instance of,person,has_first_name,william,40,0.5692640692640693,0,0.0,0.0,0.0
instance of,person,wells,"brown, 'william')",12,0.43030303030303035,26,0.5588235294117647,0.0,0.0
instance of,person,has_alternate_name,alternate_name,34,0.5107744107744108,30,0.5714285714285715,0.0,0.0
instance of,person,has_alternate_name,wells brown,34,0.5107744107744108,47,0.5909090909090909,0.0,0.0
instance of,person,wells,"brown, 'wells brown')",12,0.43030303030303035,30,0.557142857142857,0.0,0.0
instance of,person,relationship record,module:,33,0.5494417862838915,15,0.0,0.0,0.0
instance of,person,has_interagent_relationship_type,relationship_type,33,0.5340909090909091,26,0.5758169934640524,0.0,0.0
instance of,person,has_interagent_relationship_type,friend,33,0.5340909090909091,33,0.5555555555555555,0.0,0.0
instance of,person,wells,"brown, 'friend')",12,0.43030303030303035,27,0.5625,0.0,0.0
instance of,person,is_relationship_to,agent,34,0.5798460798460798,36,0.5777777777777778,0.0,0.0
instance of,person,is_relationship_to,elijah parish lovejoy,34,0.5798460798460798,30,0.5357142857142857,0.0,0.0
instance of,person,wells,"brown, 'elijah parish lovejoy')",12,0.43030303030303035,22,0.4318996415770609,0.0,0.0
instance of,person,role record,module:,27,0.49242424242424243,15,0.0,0.0,0.0
instance of,person,has_participant_role,participant_role_type,32,0.5668831168831169,22,0.5357142857142857,0.0,0.0
instance of,person,has_participant_role,abolitionist,32,0.5668831168831169,22,0.5,0.0,0.0
instance of,person,wells,"brown, 'abolitionist')",12,0.43030303030303035,21,0.5454545454545454,0.0,0.0
instance of,person,role_provided_by,event,15,0.4356060606060606,36,0.5777777777777778,0.0,0.0
instance of,person,role_provided_by,abolitionist movement,15,0.4356060606060606,22,0.43650793650793646,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_sex,sex_type,22,0.45598845598845594,29,0.3611111111111111,0.0,0.0
instance of,person,has_sex,male,22,0.45598845598845594,20,0.47222222222222215,0.0,0.0
instance of,person,wells,"brown, 'male')",12,0.43030303030303035,30,0.5714285714285715,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_occupation,occupation,24,0.38311688311688313,38,0.48888888888888893,0.0,0.0
instance of,person,has_occupation,writer,24,0.38311688311688313,33,0.4444444444444444,0.0,0.0
instance of,person,wells,"brown, 'writer')",12,0.43030303030303035,27,0.5625,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_age,age,33,0.45598845598845594,22,0.5,0.0,0.0
instance of,person,has_age,20,33,0.45598845598845594,0,0.0,0.0,0.0
instance of,person,wells,"brown, 20) (when he got married in 1834)",12,0.43030303030303035,13,0.4222222222222222,0.0,0.0
instance of,person,has_birthdate,date_of_birth,33,0.5463869463869464,21,0.49572649572649574,0.0,0.0
instance of,person,has_birthdate,1814 or march 15,33,0.5463869463869464,9,0.3194444444444444,0.0,0.0
instance of,person,has_birthdate,1815,33,0.5463869463869464,0,0.0,0.0,0.0
instance of,person,wells,"brown, '1814 or march 15, 1815')",12,0.43030303030303035,16,0.53125,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_race_or_color,race_or_color,36,0.5162210338680927,32,0.46581196581196577,0.0,0.0
instance of,person,has_race_or_color,mixed race,36,0.5162210338680927,25,0.5111111111111111,0.0,0.0
instance of,person,wells,"brown, 'mixed race')",12,0.43030303030303035,23,0.5499999999999999,0.0,0.0
instance of,person,descriptor record,module:,29,0.5398523045581869,15,0.0,0.0,0.0
instance of,person,has_ethnolinguistic_descriptor,etnolinguistic_descriptor,34,0.5579124579124579,19,0.5255555555555556,0.0,0.0
instance of,person,has_ethnolinguistic_descriptor,african-american,34,0.5579124579124579,27,0.4861111111111111,0.0,0.0
instance of,person,wells,"brown, 'african-american')",12,0.43030303030303035,19,0.5384615384615384,0.0,0.0
instance of,person,status record,module:,42,0.6773226773226773,15,0.0,0.0,0.0
instance of,person,has_person_status,slave,29,0.449554367201426,18,0.0,0.0,0.0
instance of,person,has_person_status,free man,29,0.449554367201426,29,0.5138888888888888,0.0,0.0
instance of,person,wells,"brown, 'slave'), has_person_status(william wells brown, 'free man')",12,0.43030303030303035,16,0.5854063018242123,0.0,0.0
instance of,person,has_status_generating_event,event,26,0.4799102132435466,36,0.5777777777777778,0.0,0.0
instance of,person,has_status_generating_event,born into slavery,26,0.4799102132435466,17,0.46732026143790845,0.0,0.0
instance of,person,has_status_generating_event,escape from slavery,26,0.4799102132435466,32,0.5654970760233918,0.0,0.0
instance of,person,into,"slavery'), has_status_generating_event(free man, 'escape from slavery')",53,0.6742424242424242,10,0.4910015649452269,0.0,0.0
instance of,person,recorded_at,event,18,0.4545454545454546,36,0.5777777777777778,0.0,0.0
instance of,person,recorded_at,born into slavery,18,0.4545454545454546,17,0.46732026143790845,0.0,0.0
instance of,person,recorded_at,escape from slavery,18,0.4545454545454546,32,0.5654970760233918,0.0,0.0
instance of,person,into,"slavery'), recorded_at(free man, 'escape from slavery')",53,0.6742424242424242,13,0.5747474747474748,0.0,0.0
hassex,male,on the,"text, the following ontology can be populated:",33,0.4444444444444444,12,0.34782608695652173,0.0,0.0
hassex,male,record,module:,17,0.0,55,0.7535714285714287,0.0,0.0
hassex,male,has_name,name,57,0.8055555555555556,50,0.6666666666666666,0.0,0.0
hassex,male,has_name,william wells brown,57,0.8055555555555556,17,0.6535087719298246,0.0,0.0
hassex,male,wells,"brown, 'william wells brown')",18,0.45555555555555555,12,0.35632183908045983,0.0,0.0
hassex,male,has_surname,surname,59,0.6767676767676768,36,0.0,0.0,0.0
hassex,male,has_surname,brown,59,0.6767676767676768,0,0.0,0.0,0.0
hassex,male,wells,"brown, 'brown')",18,0.45555555555555555,0,0.0,0.0,0.0
hassex,male,has_first_name,first_name,50,0.6507936507936508,29,0.0,0.0,0.0
hassex,male,has_first_name,william,50,0.6507936507936508,18,0.46428571428571425,0.0,0.0
hassex,male,wells,"brown, 'william')",18,0.45555555555555555,10,0.0,0.0,0.0
hassex,male,has_alternate_name,alternate_name,33,0.6296296296296297,33,0.6547619047619048,0.0,0.0
hassex,male,has_alternate_name,wells brown,33,0.6296296296296297,13,0.393939393939394,0.0,0.0
hassex,male,wells,"brown, 'wells brown')",18,0.45555555555555555,8,0.3650793650793651,0.0,0.0
hassex,male,relationship record,module:,24,0.44152046783625726,55,0.7535714285714287,0.0,0.0
hassex,male,has_interagent_relationship_type,relationship_type,26,0.5972222222222222,19,0.5310457516339869,0.0,0.0
hassex,male,has_interagent_relationship_type,friend,26,0.5972222222222222,20,0.47222222222222215,0.0,0.0
hassex,male,wells,"brown, 'friend')",18,0.45555555555555555,10,0.0,0.0,0.0
hassex,male,is_relationship_to,agent,17,0.46296296296296297,44,0.6333333333333333,0.0,0.0
hassex,male,is_relationship_to,elijah parish lovejoy,17,0.46296296296296297,24,0.5198412698412698,0.0,0.0
hassex,male,wells,"brown, 'elijah parish lovejoy')",18,0.45555555555555555,17,0.5044802867383512,0.0,0.0
hassex,male,role record,module:,12,0.41919191919191917,55,0.7535714285714287,0.0,0.0
hassex,male,has_participant_role,participant_role_type,31,0.5499999999999999,24,0.43253968253968256,0.0,0.0
hassex,male,has_participant_role,abolitionist,31,0.5499999999999999,25,0.5555555555555555,0.0,0.0
hassex,male,wells,"brown, 'abolitionist')",18,0.45555555555555555,15,0.5303030303030303,0.0,0.0
hassex,male,role_provided_by,event,9,0.40972222222222227,22,0.48333333333333334,0.0,0.0
