Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,is related,"to the name, modules:name record module. we will retrieve the related parts of the document that match with this ontology module.",38,0.5848484848484848,7,0.4906976744186046,0.0,0.0
instance of,person,document is about andrew,"bryan, and we will start with the ontology module related to an agent that is related to the name, modules:name record module. we will retrieve the related parts of the document that match with this ontology module.",34,0.5829124579124579,5,0.48552971576227394,0.0,0.0
instance of,person,document,"states: ""andrew bryan was born on a plantation called brampton, owned by jonathan bryan. his father was a man named caesar, who was enslaved along with bryan. he was a mixture of black and white. andrew served as a coachman and a body servant to jonathan. society for the propagation of the gospel in foreign parts (s.p.g.) was an organization that cared for british colonists in religious matters and supported the spiritual needs of indians and enslaved people. the s.p.g. organization influenced bryan to become a religious leader.""",21,0.4545454545454546,2,0.5592938733125649,0.0,0.0
instance of,person,this,"information, we can populate the ontology module as follows:",27,0.5631313131313131,12,0.5055555555555555,0.0,0.0
instance of,person,has_name,name,32,0.537878787878788,20,0.47222222222222215,0.0,0.0
instance of,person,name is andrew,bryan.,40,0.5692640692640693,33,0.5555555555555555,0.0,0.0
instance of,person,has_surname,surname,27,0.49242424242424243,31,0.5396825396825397,0.0,0.0
instance of,person,surname is,bryan.,38,0.5848484848484848,33,0.5555555555555555,0.0,0.0
instance of,person,has_first_name,first_name,40,0.5692640692640693,38,0.6,0.0,0.0
instance of,person,first name is,andrew.,50,0.582084582084582,15,0.4365079365079365,0.0,0.0
instance of,person,has_alternate_name,alternate_name,34,0.5107744107744108,30,0.5714285714285715,0.0,0.0
instance of,person,alternate name is not,specified.,38,0.49927849927849927,25,0.48888888888888893,0.0,0.0
instance of,person,recorded_at,event,18,0.4545454545454546,36,0.5777777777777778,0.0,0.0
instance of,person,bryan was,born.,30,0.42424242424242414,36,0.5777777777777778,0.0,0.0
instance of,person,will retrieve the related parts of the document that match with the interagent relationship record,module.,15,0.5703772418058132,15,0.0,0.09108967292306348,0.0
instance of,person,document,"states: ""his father was a man named caesar, who was enslaved along with bryan. he was a mixture of black and white. andrew served as a coachman and a body servant to jonathan.""",21,0.4545454545454546,5,0.4872474747474748,0.0,0.0
instance of,person,this,"information, we can populate the ontology module as follows:",27,0.5631313131313131,12,0.5055555555555555,0.0,0.0
instance of,person,has_interagent_relationship_type,relationship_type,33,0.5340909090909091,26,0.5758169934640524,0.0,0.0
instance of,person,bryan had a relationship with caesar as a,father.,27,0.5310831896197751,31,0.0,0.0,0.0
instance of,person,is_relationship_to,agent,34,0.5798460798460798,36,0.5777777777777778,0.0,0.0
instance of,person,bryan is related to,caesar.,40,0.5093035619351408,31,0.5396825396825397,0.0,0.0
instance of,person,recorded_at,event,18,0.4545454545454546,36,0.5777777777777778,0.0,0.0
instance of,person,bryan was related to,caesar.,39,0.4348484848484849,31,0.5396825396825397,0.0,0.0
instance of,person,will retrieve the related parts of the document that match with the sex record,module.,18,0.4963739963739964,15,0.0,0.09339537641256734,0.0
instance of,person,document,"states: ""he was a mixture of black and white.""",21,0.4545454545454546,15,0.501207729468599,0.0,0.0
instance of,person,this,"information, we can populate the ontology module as follows:",27,0.5631313131313131,12,0.5055555555555555,0.0,0.0
