Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,on the provided,"text, the ontology module relations can be populated as follows:",38,0.5292929292929293,11,0.5038194444444445,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_name,name,32,0.537878787878788,20,0.47222222222222215,0.0,0.0
instance of,person,has_name,george washington carver,32,0.537878787878788,33,0.6138888888888889,0.0,0.0
instance of,person,washington,"carver, 'george washington carver')",38,0.6359307359307359,24,0.5253968253968254,0.0,0.0
instance of,person,has_surname,surname,27,0.49242424242424243,31,0.5396825396825397,0.0,0.0
instance of,person,has_surname,carver,27,0.49242424242424243,33,0.4444444444444444,0.0,0.0
instance of,person,washington,"carver, 'carver')",38,0.6359307359307359,17,0.31699346405228757,0.0,0.0
instance of,person,has_first_name,first_name,40,0.5692640692640693,38,0.6,0.0,0.0
instance of,person,has_first_name,george,40,0.5692640692640693,33,0.5555555555555555,0.0,0.0
instance of,person,washington,"carver, 'george')",38,0.6359307359307359,26,0.4477124183006536,0.0,0.0
instance of,person,relationship record,module:,33,0.5494417862838915,15,0.0,0.0,0.0
instance of,person,has_interagent_relationship_type_to,relationship_type,30,0.5269480519480519,26,0.5758169934640524,0.0,0.0
instance of,person,has_interagent_relationship_type_to,friend,30,0.5269480519480519,33,0.5555555555555555,0.0,0.0
instance of,person,is_relationship_to,agent,34,0.5798460798460798,36,0.5777777777777778,0.0,0.0
instance of,person,is_relationship_to,austin w. curtis jr.,34,0.5798460798460798,15,0.4777777777777778,0.0,0.0
instance of,person,washington,"carver, 'friend') 2. is_relationship_to(agent, agent): is_relationship_to(george washington carver, 'austin w. curtis jr.')",38,0.6359307359307359,9,0.6273712737127372,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_sex,sex_type,22,0.45598845598845594,29,0.3611111111111111,0.0,0.0
