Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity,BERT Score Predicate (Precision),BERT Score Predicate (Recall),BERT Score Predicate (F1),BERT Score Object (Precision),BERT Score Object (Recall),BERT Score Object (F1)
instance of,person,has_name,name,32,0.537878787878788,20,0.4722222222222221,0.0,0.0,0.7971932,0.83778274,0.81698424,0.98862195,0.98862195,0.98862195
instance of,person,has_name,kate drumgoold,32,0.537878787878788,30,0.5714285714285715,0.0,0.0,0.7971932,0.83778274,0.81698424,0.7256451,0.857296,0.785996
instance of,person,has_surname,surname,27,0.4924242424242424,31,0.5396825396825397,0.0,0.0,0.76556545,0.8276005,0.7953752,0.9995757,0.9995757,0.9995757
instance of,person,has_surname,drumgoold,27,0.4924242424242424,27,0.5185185185185185,0.0,0.0,0.76556545,0.8276005,0.7953752,0.78057003,0.9078992,0.8394336
instance of,person,has_first_name,first_name,40,0.5692640692640693,38,0.6,0.0,0.0,0.7667884,0.8280858,0.7962592,0.7814972,0.85791993,0.8179273
instance of,person,has_first_name,kate,40,0.5692640692640693,20,0.4722222222222221,0.0,0.0,0.7667884,0.8280858,0.7962592,0.81956744,0.9273675,0.87014145
instance of,person,has_age,age,33,0.4559884559884559,22,0.5,0.0,0.0,0.8066352,0.84434843,0.82506114,0.99847496,0.99847496,0.99847496
instance of,person,has_age,?,33,0.4559884559884559,0,0.0,0.0,0.0,0.8066352,0.84434843,0.82506114,0.85767,0.85767,0.85767
instance of,person,has_birthdate,date_of_birth,33,0.5463869463869464,21,0.4957264957264957,0.0,0.0,0.79754794,0.8421512,0.8192429,0.7665323,0.86474997,0.8126843
instance of,person,has_birthdate,c. 1858 or 1859,33,0.5463869463869464,10,0.4111111111111111,0.0,0.0,0.79754794,0.8421512,0.8192429,0.8019191,0.8456711,0.82321423
instance of,person,has_deathdate,date_of_death,33,0.3904428904428904,21,0.4957264957264957,0.0,0.0,0.80097455,0.83004844,0.81525236,0.7698187,0.86639637,0.8152573
instance of,person,has_deathdate,?,33,0.3904428904428904,0,0.0,0.0,0.0,0.80097455,0.83004844,0.81525236,0.85767,0.85767,0.85767
instance of,person,has_person_status,former slave,29,0.449554367201426,33,0.5833333333333334,0.0,0.0,0.7720976,0.83118725,0.8005535,0.82092524,0.89130694,0.8546696
instance of,person,has_status_generating_event,event,26,0.4799102132435466,36,0.5777777777777778,0.0,0.0,0.75222075,0.82725716,0.7879566,0.9473592,0.9473592,0.9473592
instance of,person,has_status_generating_event,emancipation,26,0.4799102132435466,33,0.5,0.0,0.0,0.75222075,0.82725716,0.7879566,0.99921584,0.99921584,0.99921584
instance of,person,recorded_at,event,18,0.4545454545454546,36,0.5777777777777778,0.0,0.0,0.82205707,0.871673,0.8461383,0.9473592,0.9473592,0.9473592
instance of,person,recorded_at,emancipation,18,0.4545454545454546,33,0.5,0.0,0.0,0.82205707,0.871673,0.8461383,0.99921584,0.99921584,0.99921584
instance of,person,has_race_or_color,race_or_color,36,0.5162210338680927,32,0.4658119658119657,0.0,0.0,0.75504076,0.83590037,0.7934157,0.7616956,0.87652236,0.81508476
instance of,person,has_race_or_color,african-american,36,0.5162210338680927,27,0.4861111111111111,0.0,0.0,0.75504076,0.83590037,0.7934157,0.7830137,0.8301707,0.8059029
instance of,person,has_interagent_relationship_type_to,relationship_type,30,0.5269480519480519,26,0.5758169934640524,0.0,0.0,0.74631417,0.8443075,0.79229224,0.79171014,0.89141923,0.8386113
instance of,person,has_interagent_relationship_type_to,enslaver,30,0.5269480519480519,29,0.5277777777777778,0.0,0.0,0.74631417,0.8443075,0.79229224,0.7341683,0.88741803,0.8035516
instance of,person,is_relationship_to,agent,34,0.5798460798460798,36,0.5777777777777778,0.0,0.0,0.7762902,0.87525815,0.82280886,0.9991922,0.9991922,0.9991922
instance of,person,is_relationship_to,bwril nate,34,0.5798460798460798,25,0.5111111111111111,0.0,0.0,0.7762902,0.87525815,0.82280886,0.76217616,0.8792462,0.8165363
instance of,person,recorded_at,event,18,0.4545454545454546,36,0.5777777777777778,0.0,0.0,0.82205707,0.871673,0.8461383,0.9473592,0.9473592,0.9473592
instance of,person,recorded_at,sale of estate of joseph dubreuil,18,0.4545454545454546,15,0.4191919191919191,0.0,0.0,0.82205707,0.871673,0.8461383,0.71917266,0.868759,0.78692013
instance of,person,recorded_at,emancipation,18,0.4545454545454546,33,0.5,0.0,0.0,0.82205707,0.871673,0.8461383,0.99921584,0.99921584,0.99921584
instance of,person,has_sex,sex_type,22,0.4559884559884559,29,0.3611111111111111,0.0,0.0,0.8085098,0.8579323,0.83248824,0.7974366,0.8877914,0.8401917
instance of,person,has_sex,female,22,0.4559884559884559,17,0.4444444444444444,0.0,0.0,0.8085098,0.8579323,0.83248824,0.9852422,0.9852422,0.9852422
instance of,person,has_occupation,occupation,24,0.3831168831168831,38,0.4888888888888889,0.0,0.0,0.80161965,0.85177016,0.82593435,0.99910057,0.99910057,0.99910057
instance of,person,has_occupation,autobiographer,24,0.3831168831168831,30,0.3253968253968254,0.0,0.0,0.80161965,0.85177016,0.82593435,0.8068783,0.89527327,0.8487806
instance of,person,has_ethnolinguistic_descriptor,ethnolinguistic_descriptor,34,0.5579124579124579,19,0.5235042735042735,0.0,0.0,0.7587228,0.8361075,0.79553765,0.7225413,0.84503275,0.7790012
instance of,person,has_ethnolinguistic_descriptor,african-american,34,0.5579124579124579,27,0.4861111111111111,0.0,0.0,0.7587228,0.8361075,0.79553765,0.7830137,0.8301707,0.8059029
instance of,person,following ontology module is populated based on the,"text: name record module: 1. has_name(agent, name): has_name(kate drumgoold, 'kate drumgoold') 2. has_surname(agent, surname): has_surname(kate drumgoold, 'drumgoold') 3. has_first_name(agent, first_name): has_first_name(kate drumgoold, 'kate'). age record module: 1. has_age(agent, age): has_age(kate drumgoold,?) 2. has_birthdate(agent, date_of_birth): has_birthdate(kate drumgoold, 'c. 1858 or 1859') 3. has_deathdate(agent, date_of_death): has_deathdate(kate drumgoold,?) person status record module: 1. has_person_status (agent, person_status): has_person_status(kate drumgoold, 'former slave') 2. has_status_generating_event(person_status, event): has_status_generating_event(former slave, 'emancipation') 3. recorded_at(person_status_information, event): recorded_at(former slave, 'emancipation'). race record module: has_race_or_color(agent, race_or_color): has_race_or_color(kate drumgoold, african-american).  note: the birth and death dates are not specified in the text. the person status is mentioned as 'former slave' which implies that she was a slave and was later emancipated.  interagent relationship record module: 1. has_interagent_relationship_type_to(agent, relationship_type): has_interagent_relationship_type_to(kate drumgoold, 'enslaver') 2. is_relationship_to(agent, agent): is_relationship_to(kate drumgoold, 'bwril nate') 3. recorded_at(interagent_relationship_information, event): recorded_at(enslaver, 'sale of estate of joseph dubreuil'), recorded_at(bwril nate, 'emancipation').  note: the relationship type is not specified in the text. the enslaver is not mentioned in the text.  sex record module: 1. has_sex(agent, sex_type): has_sex(kate drumgoold, 'female'). occupation record module: 1. has_occupation(agent, occupation): has_occupation(kate drumgoold, 'autobiographer'). ethnolinguistic descriptor record module: 1. has_ethnolinguistic_descriptor(agent, ethnolinguistic_descriptor): has_ethnolinguistic_descriptor(kate drumgoold, 'african-american').  note: the text does not provide information about the occupation of kate drumgoold. the race or ethnicity is mentioned as 'african-american'.  if you don't know the answer, just say that you don't know, don't try to make up an answer.  if there is no information listed in the text for a specific module relation, skip that relation.  if there is no information about a specific attribute (like age or sex), use a question mark (?) to represent the unknown value.  if there is no information about a specific event or date, use a question mark (?) to represent the unknown value.  if there is no information about a specific relationship, use a question mark (?) to represent the unknown value.  if there is no information about a specific attribute or event, use a question mark (?) to represent the unknown value.  if there is no information about a specific attribute or event, use a question mark (?) to represent the unknown value.  if there is no information about a specific attribute or event, use a question mark (?) to represent the unknown value.  if there is no information about a specific attribute or event, use a question mark (?) to represent the unknown value.  if there is no information about a specific attribute or event, use a question mark (?) to represent the unknown value.  if there is no information about a specific attribute or event, use a question mark (?) to represent the unknown value.  if there is no information about a specific attribute or event, use a question mark (?) to represent the unknown value.  if there is no information about a specific attribute or event, use a question mark (?) to represent the unknown value.  if there is no information about a specific attribute or event, use a question mark (?) to represent the unknown value.  if there is no information about a specific attribute or event, use a question mark (?) to represent the unknown value.  if there is no information about a specific attribute or event, use a question mark (?) to represent the unknown value.  if there is no information about a specific attribute or event, use a question mark (?) to represent the unknown value.  if there is no information about a specific attribute or event, use a question mark (?) to represent the unknown value.  if there is no information about a specific attribute or event, use a question mark (?) to represent the unknown value.  if there is no information about a specific attribute or event, use a question mark (?) to represent the unknown value.  if there is no information about a specific attribute or event, use a question mark (?) to represent the unknown value.  if there is no information about a specific attribute or event, use a question mark (?) to represent the unknown value.  if there is no information about a specific attribute or event, use a question mark (?) to represent the unknown value.  if there is no information about a specific attribute or event, use a question mark (?) to represent the unknown value.  if there is no information about a specific attribute or event, use a question mark (?) to represent the unknown value.  if there is no information about a specific attribute or event, use a question mark (?) to represent the unknown value.  if there is no information about a specific attribute or event, use a question mark (?) to represent the unknown value.  if there is no information about a specific attribute or event, use a question mark (?) to represent the unknown value.  if there is no information about a specific attribute or event, use a question mark (?) to represent the unknown value.  if there is no information about a specific attribute or event, use a question mark (?) to represent the unknown value.  if there is no information about a specific attribute or event, use a question mark (?) to represent the unknown value.  if there is no information about a specific attribute or event, use a question mark (?) to represent the unknown value.  if there is no information about a specific attribute or event, use a question mark (?) to represent the unknown value.  if there is no information about a specific attribute or event, use a question mark (?) to represent the unknown value.  if there is no information about a specific attribute or event, use a question mark (?) to represent the unknown value.  if there is no information about a specific attribute or event, use a question mark (?) to represent the unknown value.  if there is no information about a specific attribute or event, use a question mark (?) to represent the unknown value.  if there is no information about a specific attribute or event, use a question mark (?) to represent the unknown value.  if there is no information about a specific attribute or event, use a question mark (?) to represent the unknown value.  if there is no information about a specific attribute or event, use a question mark (?) to represent the unknown value.  if there is no information about a specific attribute or event, use a question mark (?) to represent the unknown value.  if there is no information about a specific attribute or event, use a question mark (?) to represent the unknown value.  if there is no information about a specific attribute or event, use a question mark (?) to represent the unknown value.  if there is no information about a specific attribute or event, use a question mark (?) to represent the unknown value.  if there is no information about a specific attribute or event, use a question mark (?) to represent the unknown value.  if there is no information about a specific attribute or event, use a question mark (?) to represent the unknown value.  if there is no information about a specific attribute or event, use a question mark (?) to represent the unknown value.  if there is no information about a specific attribute or event, use a question mark (?) to represent the unknown value.  if there is no information about a specific attribute or event, use a question mark (?) to represent the unknown value.  if there is no information about a specific attribute or event, use a question mark (?) to represent the unknown value.  if there is no information about a specific attribute or event, use a question mark (?) to represent the unknown value.  if there is no information about a specific attribute or event, use a question mark (?) to represent the unknown value.  if there is no information about a specific attribute or event, use a question mark (?) to represent the unknown value.  if there is no information about a specific attribute or event, use a question mark (?) to represent the unknown value.  if there is no information about a specific attribute or event, use a question mark (?) to represent the unknown value.  if there is no information about a specific attribute or event, use a question mark (?) to represent the unknown value.  if there is no information about a specific attribute or event, use a question mark (?) to represent the unknown value.  if there is no information about a specific attribute or event, use a question mark (?) to represent the unknown value.  if there is no information about a specific attribute or event, use a question mark (?) to represent the unknown value.  if there is no information about a specific attribute or event, use a question mark (?) to represent the unknown value.",26,0.5030451574569222,0,0.5557696653939027,0.0,0.0055809277527496,0.8160342,0.8296077,0.822765,0.66444933,0.80244964,0.7269583
hassex,female,has_name,name,57,0.8055555555555556,40,0.6388888888888888,0.0,0.0,0.8119032,0.8100479,0.81097454,0.98602915,0.98602915,0.98602915
hassex,female,has_name,kate drumgoold,57,0.8055555555555556,30,0.4603174603174603,0.0,0.0,0.8119032,0.8100479,0.81097454,0.7294968,0.87117493,0.7940658
hassex,female,has_surname,surname,59,0.6767676767676768,31,0.5396825396825397,0.0,0.0,0.7846592,0.8041922,0.79430556,0.984509,0.984509,0.984509
hassex,female,has_surname,drumgoold,59,0.6767676767676768,27,0.5185185185185185,0.0,0.0,0.7846592,0.8041922,0.79430556,0.7821423,0.9064235,0.8397092
hassex,female,has_first_name,first_name,50,0.6507936507936508,38,0.6,0.0,0.0,0.787099,0.80721545,0.79703027,0.78113824,0.85646987,0.81707144
hassex,female,has_first_name,kate,50,0.6507936507936508,40,0.4444444444444444,0.0,0.0,0.787099,0.80721545,0.79703027,0.82384396,0.9293681,0.8734303
hassex,female,has_age,age,62,0.8222222222222222,44,0.5,0.0,0.0,0.82522553,0.8178067,0.8214993,0.9869132,0.9869132,0.9869132
hassex,female,has_age,?,62,0.8222222222222222,0,0.0,0.0,0.0,0.82522553,0.8178067,0.8214993,0.86864865,0.86864865,0.86864865
hassex,female,has_birthdate,date_of_birth,42,0.576923076923077,21,0.329059829059829,0.0,0.0,0.8188765,0.81331307,0.81608534,0.7684679,0.86646694,0.8145303
hassex,female,has_birthdate,c. 1858 or 1859,42,0.576923076923077,0,0.0,0.0,0.0,0.8188765,0.81331307,0.81608534,0.80340147,0.85010415,0.8260933
hassex,female,has_deathdate,date_of_death,42,0.6581196581196581,32,0.4658119658119657,0.0,0.0,0.8210093,0.8061865,0.8135303,0.7721502,0.86943233,0.81790876
hassex,female,has_deathdate,?,42,0.6581196581196581,0,0.0,0.0,0.0,0.8210093,0.8061865,0.8135303,0.86864865,0.86864865,0.86864865
hassex,female,has_person_status,former slave,35,0.642483660130719,44,0.5833333333333334,0.0,0.0,0.7877931,0.8077082,0.7976264,0.82288224,0.8938129,0.8568823
hassex,female,has_status_generating_event,event,30,0.6728395061728395,36,0.4555555555555555,0.0,0.0,0.77141625,0.80498004,0.78784084,0.9614487,0.9614487,0.9614487
hassex,female,has_status_generating_event,emancipation,30,0.6728395061728395,33,0.5833333333333334,0.0,0.0,0.77141625,0.80498004,0.78784084,0.9856039,0.9856039,0.9856039
hassex,female,recorded_at,event,12,0.4191919191919191,36,0.4555555555555555,0.0,0.0,0.83089614,0.8339608,0.83242565,0.9614487,0.9614487,0.9614487
hassex,female,recorded_at,emancipation,12,0.4191919191919191,33,0.5833333333333334,0.0,0.0,0.83089614,0.8339608,0.83242565,0.9856039,0.9856039,0.9856039
hassex,female,has_race_or_color,race_or_color,35,0.6339869281045751,21,0.329059829059829,0.0,0.0,0.7780295,0.8127992,0.79503447,0.76273894,0.87608486,0.8154923
hassex,female,has_race_or_color,african-american,35,0.6339869281045751,27,0.5555555555555555,0.0,0.0,0.7780295,0.8127992,0.79503447,0.78565794,0.8370359,0.8105336
hassex,female,has_interagent_relationship_type_to,relationship_type,24,0.5936507936507937,26,0.4477124183006536,0.0,0.0,0.7607494,0.8012439,0.78047174,0.7914165,0.88934666,0.8375286
hassex,female,has_interagent_relationship_type_to,enslaver,24,0.5936507936507937,43,0.6388888888888888,0.0,0.0,0.7607494,0.8012439,0.78047174,0.73633677,0.89031863,0.80603963
hassex,female,is_relationship_to,agent,17,0.4629629629629629,36,0.4555555555555555,0.0,0.0,0.7856984,0.8168608,0.80097663,0.98430645,0.98430645,0.98430645
hassex,female,is_relationship_to,bwril nate,17,0.4629629629629629,25,0.4888888888888889,0.0,0.0,0.7856984,0.8168608,0.80097663,0.76624113,0.88191557,0.8200191
hassex,female,recorded_at,event,12,0.4191919191919191,36,0.4555555555555555,0.0,0.0,0.83089614,0.8339608,0.83242565,0.9614487,0.9614487,0.9614487
hassex,female,recorded_at,sale of estate of joseph dubreuil,12,0.4191919191919191,21,0.5282828282828284,0.0,0.0,0.83089614,0.8339608,0.83242565,0.72062606,0.8726438,0.78938276
hassex,female,recorded_at,emancipation,12,0.4191919191919191,33,0.5833333333333334,0.0,0.0,0.83089614,0.8339608,0.83242565,0.9856039,0.9856039,0.9856039
hassex,female,has_sex,sex_type,92,0.9666666666666668,29,0.5277777777777778,0.0,0.0,0.858492,0.8900067,0.8739654,0.8007408,0.8964381,0.8458915
hassex,female,has_sex,female,92,0.9666666666666668,100,1.0,0.0,1.0,0.858492,0.8900067,0.8739654,1.0000002,1.0000002,1.0000002
hassex,female,has_occupation,occupation,30,0.5714285714285715,12,0.4222222222222222,0.0,0.0,0.8248078,0.8327483,0.828759,0.9857732,0.9857732,0.9857732
hassex,female,has_occupation,autobiographer,30,0.5714285714285715,20,0.4126984126984127,0.0,0.0,0.8248078,0.8327483,0.828759,0.8092189,0.897463,0.8510596
hassex,female,has_ethnolinguistic_descriptor,ethnolinguistic_descriptor,28,0.6,19,0.5384615384615384,0.0,0.0,0.77468336,0.8096441,0.791778,0.72401106,0.84196454,0.7785455
hassex,female,has_ethnolinguistic_descriptor,african-american,28,0.6,27,0.5555555555555555,0.0,0.0,0.77468336,0.8096441,0.791778,0.78565794,0.8370359,0.8105336
