Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,on the,"text, here are the related parts of the document that match with the ontology module:",35,0.5909090909090909,11,0.634640522875817,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_name,name,32,0.537878787878788,20,0.47222222222222215,0.0,0.0
instance of,person,has_name,mary black,32,0.537878787878788,12,0.4222222222222222,0.0,0.0
instance of,person,has_surname,surname,27,0.49242424242424243,31,0.5396825396825397,0.0,0.0
instance of,person,has_surname,black,27,0.49242424242424243,0,0.0,0.0,0.0
instance of,person,has_first_name,first_name,40,0.5692640692640693,38,0.6,0.0,0.0
instance of,person,has_first_name,mary,40,0.5692640692640693,20,0.47222222222222215,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_occupation,occupation,24,0.38311688311688313,38,0.48888888888888893,0.0,0.0
instance of,person,has_occupation,folk singer,24,0.38311688311688313,24,0.47979797979797983,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_age,age,33,0.45598845598845594,22,0.5,0.0,0.0
instance of,person,has_age,?,33,0.45598845598845594,0,0.0,0.0,0.0
instance of,person,is not mentioned in the,text),35,0.566699604743083,18,0.45555555555555555,0.0,0.0
instance of,person,has_birthdate,date_of_birth,33,0.5463869463869464,21,0.49572649572649574,0.0,0.0
instance of,person,has_birthdate,may 23,33,0.5463869463869464,0,0.0,0.0,0.0
instance of,person,has_birthdate,1955,33,0.5463869463869464,0,0.0,0.0,0.0
instance of,person,date is mentioned in the,text),34,0.5829124579124579,18,0.45555555555555555,0.0,0.0
instance of,person,has_deathdate,date_of_death,33,0.39044289044289043,21,0.49572649572649574,0.0,0.0
instance of,person,has_deathdate,?,33,0.39044289044289043,0,0.0,0.0,0.0
instance of,person,date is not mentioned in the,text),31,0.5650553150553151,18,0.45555555555555555,0.0,0.0
instance of,person,status record,module:,42,0.6773226773226773,15,0.0,0.0,0.0
instance of,person,has_person_status,irish folk singer,29,0.449554367201426,35,0.5588235294117647,0.0,0.0
instance of,person,folk,singer'),13,0.0,29,0.5555555555555555,0.0,0.0
instance of,person,descriptor record,module:,29,0.5398523045581869,15,0.0,0.0,0.0
instance of,person,has_ethnolinguistic_descriptor,etnolinguistic_descriptor,34,0.5579124579124579,19,0.5255555555555556,0.0,0.0
instance of,person,has_ethnolinguistic_descriptor,irish,34,0.5579124579124579,36,0.5777777777777778,0.0,0.0
instance of,person,is populated,with the relevant information from the text.,35,0.5570707070707072,16,0.5025252525252525,0.0,0.0
instance of,person,occupation of mary black are not mentioned in the,"text, so these relations are left blank. the other relations are populated based on the information provided in the text. the ontology module is populated with the relevant information from the text.",23,0.5191369477083764,6,0.5100502512562813,0.1414305679255449,0.0
hasname,mary black,on the,"text, here are the related parts of the document that match with the ontology module:",31,0.5396825396825397,13,0.5013071895424837,0.0,0.0
hasname,mary black,record,module:,15,0.0,24,0.49523809523809526,0.0,0.0
hasname,mary black,has_name,name,93,0.9708333333333333,14,0.39999999999999997,0.0,0.0
hasname,mary black,has_name,mary black,93,0.9708333333333333,100,1.0,0.0,1.0000000000000002
hasname,mary black,has_surname,surname,78,0.9151515151515152,24,0.32857142857142857,0.0,0.0
hasname,mary black,has_surname,black,78,0.9151515151515152,67,0.43333333333333335,0.0,0.5797386715376658
hasname,mary black,has_first_name,first_name,67,0.5476190476190476,20,0.4666666666666666,0.0,0.0
hasname,mary black,has_first_name,mary,67,0.5476190476190476,57,0.88,0.0,0.5797386715376658
hasname,mary black,record,module:,15,0.0,24,0.49523809523809526,0.0,0.0
hasname,mary black,has_occupation,occupation,38,0.6190476190476191,10,0.39999999999999997,0.0,0.0
hasname,mary black,has_occupation,folk singer,38,0.6190476190476191,19,0.29393939393939394,0.0,0.0
hasname,mary black,record,module:,15,0.0,24,0.49523809523809526,0.0,0.0
hasname,mary black,has_age,age,71,0.8666666666666668,15,0.4777777777777778,0.0,0.0
hasname,mary black,has_age,?,71,0.8666666666666668,0,0.0,0.0,0.0
hasname,mary black,is not mentioned in the,text),27,0.5817805383022775,0,0.0,0.0,0.0
hasname,mary black,has_birthdate,date_of_birth,50,0.553113553113553,17,0.4512820512820513,0.0,0.0
hasname,mary black,has_birthdate,may 23,50,0.553113553113553,50,0.6888888888888888,0.0,0.0
hasname,mary black,has_birthdate,1955,50,0.553113553113553,0,0.0,0.0,0.0
hasname,mary black,date is mentioned in the,text),26,0.5742063492063493,0,0.0,0.0,0.0
hasname,mary black,has_deathdate,date_of_death,50,0.632967032967033,17,0.4512820512820513,0.0,0.0
hasname,mary black,has_deathdate,?,50,0.632967032967033,0,0.0,0.0,0.0
hasname,mary black,date is not mentioned in the,text),29,0.4976190476190476,0,0.0,0.0,0.0
hasname,mary black,status record,module:,30,0.442002442002442,24,0.49523809523809526,0.0,0.0
hasname,mary black,has_person_status,irish folk singer,42,0.6028011204481792,30,0.5450980392156862,0.0,0.0
hasname,mary black,folk,singer'),0,0.0,11,0.4083333333333334,0.0,0.0
hasname,mary black,descriptor record,module:,17,0.3011204481792717,24,0.49523809523809526,0.0,0.0
hasname,mary black,has_ethnolinguistic_descriptor,etnolinguistic_descriptor,27,0.5603174603174603,11,0.4266666666666667,0.0,0.0
hasname,mary black,has_ethnolinguistic_descriptor,irish,27,0.5603174603174603,13,0.43333333333333335,0.0,0.0
hasname,mary black,is populated,with the relevant information from the text.,32,0.5595238095238095,15,0.4712121212121212,0.0,0.0
hasname,mary black,occupation of mary black are not mentioned in the,"text, so these relations are left blank. the other relations are populated based on the information provided in the text. the ontology module is populated with the relevant information from the text.",18,0.5387755102040817,7,0.4467336683417085,0.0,0.0
hassex,female,on the,"text, here are the related parts of the document that match with the ontology module:",33,0.4444444444444444,13,0.5640522875816995,0.0,0.0
hassex,female,record,module:,17,0.0,46,0.6428571428571429,0.0,0.0
hassex,female,has_name,name,57,0.8055555555555556,40,0.6388888888888888,0.0,0.0
hassex,female,has_name,mary black,57,0.8055555555555556,38,0.6,0.0,0.0
hassex,female,has_surname,surname,59,0.6767676767676768,31,0.5396825396825397,0.0,0.0
hassex,female,has_surname,black,59,0.6767676767676768,18,0.45555555555555555,0.0,0.0
hassex,female,has_first_name,first_name,50,0.6507936507936508,38,0.6,0.0,0.0
hassex,female,has_first_name,mary,50,0.6507936507936508,40,0.611111111111111,0.0,0.0
hassex,female,record,module:,17,0.0,46,0.6428571428571429,0.0,0.0
hassex,female,has_occupation,occupation,30,0.5714285714285715,12,0.4222222222222222,0.0,0.0
hassex,female,has_occupation,folk singer,30,0.5714285714285715,35,0.5909090909090909,0.0,0.0
hassex,female,record,module:,17,0.0,46,0.6428571428571429,0.0,0.0
hassex,female,has_age,age,62,0.8222222222222222,44,0.5,0.0,0.0
hassex,female,has_age,?,62,0.8222222222222222,0,0.0,0.0,0.0
hassex,female,is not mentioned in the,text),14,0.4734299516908213,18,0.45555555555555555,0.0,0.0
hassex,female,has_birthdate,date_of_birth,42,0.576923076923077,21,0.32905982905982906,0.0,0.0
hassex,female,has_birthdate,may 23,42,0.576923076923077,33,0.5555555555555555,0.0,0.0
hassex,female,has_birthdate,1955,42,0.576923076923077,0,0.0,0.0,0.0
hassex,female,date is mentioned in the,text),20,0.4305555555555555,18,0.45555555555555555,0.0,0.0
hassex,female,has_deathdate,date_of_death,42,0.6581196581196581,32,0.46581196581196577,0.0,0.0
hassex,female,has_deathdate,?,42,0.6581196581196581,0,0.0,0.0,0.0
hassex,female,date is not mentioned in the,text),18,0.4246031746031746,18,0.45555555555555555,0.0,0.0
hassex,female,status record,module:,32,0.5747863247863249,46,0.6428571428571429,0.0,0.0
hassex,female,has_person_status,irish folk singer,35,0.642483660130719,26,0.48366013071895425,0.0,0.0
hassex,female,folk,singer'),0,0.0,14,0.4305555555555555,0.0,0.0
hassex,female,descriptor record,module:,17,0.31699346405228757,46,0.6428571428571429,0.0,0.0
hassex,female,has_ethnolinguistic_descriptor,etnolinguistic_descriptor,28,0.6,19,0.54,0.0,0.0
hassex,female,has_ethnolinguistic_descriptor,irish,28,0.6,0,0.0,0.0,0.0
hassex,female,is populated,with the relevant information from the text.,22,0.4166666666666667,16,0.6010101010101009,0.0,0.0
hassex,female,occupation of mary black are not mentioned in the,"text, so these relations are left blank. the other relations are populated based on the information provided in the text. the ontology module is populated with the relevant information from the text.",7,0.4580498866213152,6,0.5656058068118369,0.0,0.0
hasdescription,mary black was indicted for feloniously stealing . . . ,on the,"text, here are the related parts of the document that match with the ontology module:",20,0.4920634920634921,31,0.5602449837743956,0.0,0.0
hasdescription,mary black was indicted for feloniously stealing . . . ,record,module:,30,0.48412698412698413,16,0.5350649350649351,0.0,0.0
hasdescription,mary black was indicted for feloniously stealing . . . ,has_name,name,36,0.5952380952380952,7,0.6075757575757575,0.0,0.0
hasdescription,mary black was indicted for feloniously stealing . . . ,has_name,mary black,36,0.5952380952380952,31,0.8363636363636363,0.0,0.41036264495218466
hasdescription,mary black was indicted for feloniously stealing . . . ,has_surname,surname,48,0.6168831168831169,13,0.5443001443001443,0.0,0.0
hasdescription,mary black was indicted for feloniously stealing . . . ,has_surname,black,48,0.6168831168831169,17,0.6303030303030303,0.0,0.2789425453258252
hasdescription,mary black was indicted for feloniously stealing . . . ,has_first_name,first_name,43,0.6726190476190476,15,0.5767676767676768,0.0,0.0
hasdescription,mary black was indicted for feloniously stealing . . . ,has_first_name,mary,43,0.6726190476190476,14,0.6909090909090909,0.0,0.2789425453258252
hasdescription,mary black was indicted for feloniously stealing . . . ,record,module:,30,0.48412698412698413,16,0.5350649350649351,0.0,0.0
hasdescription,mary black was indicted for feloniously stealing . . . ,has_occupation,occupation,64,0.8074074074074075,18,0.5234848484848486,0.0,0.0
hasdescription,mary black was indicted for feloniously stealing . . . ,has_occupation,folk singer,64,0.8074074074074075,24,0.5636363636363636,0.0,0.0
hasdescription,mary black was indicted for feloniously stealing . . . ,record,module:,30,0.48412698412698413,16,0.5350649350649351,0.0,0.0
hasdescription,mary black was indicted for feloniously stealing . . . ,has_age,age,38,0.6190476190476191,7,0.5676767676767677,0.0,0.0
hasdescription,mary black was indicted for feloniously stealing . . . ,has_age,?,38,0.6190476190476191,0,0.0,0.0,0.0
hasdescription,mary black was indicted for feloniously stealing . . . ,is not mentioned in the,text),32,0.458592132505176,10,0.4787878787878788,0.0,0.0
hasdescription,mary black was indicted for feloniously stealing . . . ,has_birthdate,date_of_birth,37,0.6318681318681318,21,0.47049987049987047,0.0,0.0
hasdescription,mary black was indicted for feloniously stealing . . . ,has_birthdate,may 23,37,0.6318681318681318,13,0.5797979797979798,0.0,0.0
hasdescription,mary black was indicted for feloniously stealing . . . ,has_birthdate,1955,37,0.6318681318681318,0,0.0,0.0,0.0
hasdescription,mary black was indicted for feloniously stealing . . . ,date is mentioned in the,text),37,0.5615079365079364,10,0.4787878787878788,0.0,0.0
hasdescription,mary black was indicted for feloniously stealing . . . ,has_deathdate,date_of_death,44,0.63003663003663,21,0.47049987049987047,0.0,0.0
hasdescription,mary black was indicted for feloniously stealing . . . ,has_deathdate,?,44,0.63003663003663,0,0.0,0.0,0.0
hasdescription,mary black was indicted for feloniously stealing . . . ,date is not mentioned in the,text),33,0.5436507936507936,10,0.4787878787878788,0.0,0.0
hasdescription,mary black was indicted for feloniously stealing . . . ,status record,module:,37,0.5366300366300366,16,0.5350649350649351,0.0,0.0
hasdescription,mary black was indicted for feloniously stealing . . . ,has_person_status,irish folk singer,45,0.6675070028011204,31,0.5628045157456922,0.0,0.0
hasdescription,mary black was indicted for feloniously stealing . . . ,folk,singer'),11,0.0,16,0.43863636363636366,0.0,0.0
hasdescription,mary black was indicted for feloniously stealing . . . ,descriptor record,module:,58,0.6870525988173046,16,0.5350649350649351,0.0,0.0
