Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,on the given,"text, i can populate the ontology for the agent joseph vance lewis. here are the relations in the form of the module relations:",35,0.5656565656565656,9,0.515748031496063,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_name,name,32,0.537878787878788,20,0.47222222222222215,0.0,0.0
instance of,person,has_name,lennox lewis,32,0.537878787878788,22,0.47222222222222215,0.0,0.0
instance of,person,vance,"lewis, 'lennox lewis')",50,0.6378787878787878,21,0.5328282828282828,0.0,0.0
instance of,person,has_surname,surname,27,0.49242424242424243,31,0.5396825396825397,0.0,0.0
instance of,person,has_surname,lewis,27,0.49242424242424243,36,0.5777777777777778,0.0,0.0
instance of,person,vance,"lewis, 'lewis')",50,0.6378787878787878,19,0.48888888888888893,0.0,0.0
instance of,person,has_first_name,first_name,40,0.5692640692640693,38,0.6,0.0,0.0
instance of,person,has_first_name,lennox,40,0.5692640692640693,33,0.5555555555555555,0.0,0.0
instance of,person,vance,"lewis, 'lennox')",50,0.6378787878787878,27,0.5625,0.0,0.0
instance of,person,relationship record,module:,33,0.5494417862838915,15,0.0,0.0,0.0
instance of,person,has_interagent_relationship_type_to,relationship_type,30,0.5269480519480519,26,0.5758169934640524,0.0,0.0
instance of,person,has_interagent_relationship_type_to,boxer,30,0.5269480519480519,36,0.5777777777777778,0.0,0.0
instance of,person,vance,"lewis, 'boxer')",50,0.6378787878787878,29,0.5666666666666667,0.0,0.0
instance of,person,is_relationship_to,agent,34,0.5798460798460798,36,0.5777777777777778,0.0,0.0
instance of,person,is_relationship_to,rahman,34,0.5798460798460798,33,0.5555555555555555,0.0,0.0
instance of,person,vance,"lewis, 'rahman')",50,0.6378787878787878,27,0.45138888888888884,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_occupation,occupation,24,0.38311688311688313,38,0.48888888888888893,0.0,0.0
instance of,person,has_occupation,boxer,24,0.38311688311688313,36,0.5777777777777778,0.0,0.0
instance of,person,vance,"lewis, 'boxer')",50,0.6378787878787878,29,0.5666666666666667,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_age,age,33,0.45598845598845594,22,0.5,0.0,0.0
instance of,person,has_age,72,33,0.45598845598845594,0,0.0,0.0,0.0
instance of,person,vance,"lewis, 72)",50,0.6378787878787878,25,0.5111111111111111,0.0,0.0
instance of,person,has_birthdate,date_of_birth,33,0.5463869463869464,21,0.49572649572649574,0.0,0.0
instance of,person,has_birthdate,unknown,33,0.5463869463869464,31,0.373015873015873,0.0,0.0
instance of,person,vance,"lewis, 'unknown')",50,0.6378787878787878,35,0.5588235294117647,0.0,0.0
