Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,are the retrieved parts of the document that match with the ontology,module:,20,0.5187165775401069,15,0.0,0.09858610631498237,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_name,name,32,0.537878787878788,20,0.47222222222222215,0.0,0.0
instance of,person,has_name,cathay williams,32,0.537878787878788,10,0.0,0.0,0.0
instance of,person,has_surname,surname,27,0.49242424242424243,31,0.5396825396825397,0.0,0.0
instance of,person,has_surname,williams,27,0.49242424242424243,14,0.0,0.0,0.0
instance of,person,has_first_name,first_name,40,0.5692640692640693,38,0.6,0.0,0.0
instance of,person,has_first_name,cathay,40,0.5692640692640693,0,0.0,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_occupation,occupation,24,0.38311688311688313,38,0.48888888888888893,0.0,0.0
instance of,person,has_occupation,cook,24,0.38311688311688313,20,0.47222222222222215,0.0,0.0
instance of,person,has_occupation,seamstress,24,0.38311688311688313,38,0.48888888888888893,0.0,0.0
instance of,person,has_occupation,and possibly a boarding house owner,24,0.38311688311688313,24,0.5253968253968254,0.0,0.0
instance of,person,possibly a boarding house,owner'),28,0.48484848484848486,31,0.5396825396825397,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_age,age,33,0.45598845598845594,22,0.5,0.0,0.0
instance of,person,age,mentioned),29,0.47474747474747475,38,0.48888888888888893,0.0,0.0
instance of,person,has_birthdate,date_of_birth,33,0.5463869463869464,21,0.49572649572649574,0.0,0.0
instance of,person,birth date,mentioned),38,0.5848484848484848,38,0.48888888888888893,0.0,0.0
instance of,person,has_deathdate,date_of_death,33,0.39044289044289043,21,0.49572649572649574,0.0,0.0
instance of,person,death date,mentioned),29,0.4212121212121212,38,0.48888888888888893,0.0,0.0
instance of,person,status record,module:,42,0.6773226773226773,15,0.0,0.0,0.0
instance of,person,has_person_status,soldier,29,0.449554367201426,31,0.0,0.0,0.0
instance of,person,has_status_generating_event,event,26,0.4799102132435466,36,0.5777777777777778,0.0,0.0
instance of,person,has_status_generating_event,enlistment in the united states regular army,26,0.4799102132435466,12,0.4116161616161616,0.0,0.0
instance of,person,in the united states regular,army'),36,0.5876623376623377,17,0.4444444444444444,0.0,0.0
instance of,person,recorded_at,event,18,0.4545454545454546,36,0.5777777777777778,0.0,0.0
instance of,person,recorded_at,enlistment in the united states regular army,18,0.4545454545454546,12,0.4116161616161616,0.0,0.0
instance of,person,in the united states regular,army'),36,0.5876623376623377,17,0.4444444444444444,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_sex,sex_type,22,0.45598845598845594,29,0.3611111111111111,0.0,0.0
instance of,person,has_sex,female,22,0.45598845598845594,17,0.4444444444444444,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_race_or_color,race_or_color,36,0.5162210338680927,32,0.46581196581196577,0.0,0.0
instance of,person,has_race_or_color,african-american,36,0.5162210338680927,27,0.4861111111111111,0.0,0.0
instance of,person,descriptor record,module:,29,0.5398523045581869,15,0.0,0.0,0.0
instance of,person,has_ethnolinguistic_descriptor,ethnolinguistic_descriptor,34,0.5579124579124579,19,0.5235042735042735,0.0,0.0
instance of,person,information,mentioned),36,0.5696969696969697,38,0.48888888888888893,0.0,0.0
instance of,person,relationship record,module:,33,0.5494417862838915,15,0.0,0.0,0.0
instance of,person,has_interagent_relationship_type_to,relationship_type,30,0.5269480519480519,26,0.5758169934640524,0.0,0.0
instance of,person,information,mentioned),36,0.5696969696969697,38,0.48888888888888893,0.0,0.0
instance of,person,age record module and person status record module are incomplete as the text does not provide the necessary,"information. the sex record module and race record module are complete. the occupation record module is complete, but it does not provide a specific occupation, only a list of occupations. the ethnolinguistic descriptor record module and interagent relationship record module are incomplete as the text does not provide the necessary information.",15,0.48594984109002803,3,0.5613359023763648,0.0,0.0
hassex,female,are the retrieved parts of the document that match with the ontology,module:,11,0.40849673202614384,46,0.6428571428571429,0.0,0.0
hassex,female,record,module:,17,0.0,46,0.6428571428571429,0.0,0.0
hassex,female,has_name,name,57,0.8055555555555556,40,0.6388888888888888,0.0,0.0
hassex,female,has_name,cathay williams,57,0.8055555555555556,19,0.48888888888888893,0.0,0.0
hassex,female,has_surname,surname,59,0.6767676767676768,31,0.5396825396825397,0.0,0.0
hassex,female,has_surname,williams,59,0.6767676767676768,14,0.3611111111111111,0.0,0.0
hassex,female,has_first_name,first_name,50,0.6507936507936508,38,0.6,0.0,0.0
hassex,female,has_first_name,cathay,50,0.6507936507936508,17,0.4444444444444444,0.0,0.0
hassex,female,record,module:,17,0.0,46,0.6428571428571429,0.0,0.0
hassex,female,has_occupation,occupation,30,0.5714285714285715,12,0.4222222222222222,0.0,0.0
hassex,female,has_occupation,cook,30,0.5714285714285715,0,0.0,0.0,0.0
hassex,female,has_occupation,seamstress,30,0.5714285714285715,38,0.6055555555555555,0.0,0.0
hassex,female,has_occupation,and possibly a boarding house owner,30,0.5714285714285715,15,0.46349206349206346,0.0,0.0
hassex,female,possibly a boarding house,owner'),19,0.4288888888888889,15,0.4365079365079365,0.0,0.0
hassex,female,record,module:,17,0.0,46,0.6428571428571429,0.0,0.0
hassex,female,has_age,age,62,0.8222222222222222,44,0.5,0.0,0.0
hassex,female,age,mentioned),44,0.6666666666666666,25,0.48888888888888893,0.0,0.0
hassex,female,has_birthdate,date_of_birth,42,0.576923076923077,21,0.32905982905982906,0.0,0.0
hassex,female,birth date,mentioned),38,0.4222222222222222,25,0.48888888888888893,0.0,0.0
hassex,female,has_deathdate,date_of_death,42,0.6581196581196581,32,0.46581196581196577,0.0,0.0
hassex,female,death date,mentioned),38,0.48888888888888893,25,0.48888888888888893,0.0,0.0
hassex,female,status record,module:,32,0.5747863247863249,46,0.6428571428571429,0.0,0.0
hassex,female,has_person_status,soldier,35,0.642483660130719,31,0.5396825396825397,0.0,0.0
hassex,female,has_status_generating_event,event,30,0.6728395061728395,36,0.45555555555555555,0.0,0.0
hassex,female,has_status_generating_event,enlistment in the united states regular army,30,0.6728395061728395,16,0.5025252525252525,0.0,0.0
hassex,female,in the united states regular,army'),24,0.4246031746031746,17,0.4444444444444444,0.0,0.0
hassex,female,recorded_at,event,12,0.41919191919191917,36,0.45555555555555555,0.0,0.0
hassex,female,recorded_at,enlistment in the united states regular army,12,0.41919191919191917,16,0.5025252525252525,0.0,0.0
hassex,female,in the united states regular,army'),24,0.4246031746031746,17,0.4444444444444444,0.0,0.0
hassex,female,record,module:,17,0.0,46,0.6428571428571429,0.0,0.0
hassex,female,has_sex,sex_type,92,0.9666666666666667,29,0.5277777777777778,0.0,0.0
hassex,female,has_sex,female,92,0.9666666666666667,100,1.0,0.0,1.0
hassex,female,record,module:,17,0.0,46,0.6428571428571429,0.0,0.0
hassex,female,has_race_or_color,race_or_color,35,0.6339869281045751,21,0.32905982905982906,0.0,0.0
hassex,female,has_race_or_color,african-american,35,0.6339869281045751,27,0.5555555555555555,0.0,0.0
hassex,female,descriptor record,module:,17,0.31699346405228757,46,0.6428571428571429,0.0,0.0
hassex,female,has_ethnolinguistic_descriptor,ethnolinguistic_descriptor,28,0.6,19,0.5384615384615384,0.0,0.0
hassex,female,information,mentioned),12,0.0,25,0.48888888888888893,0.0,0.0
hassex,female,relationship record,module:,24,0.44152046783625726,46,0.6428571428571429,0.0,0.0
hassex,female,has_interagent_relationship_type_to,relationship_type,24,0.5936507936507937,26,0.4477124183006536,0.0,0.0
hassex,female,information,mentioned),12,0.0,25,0.48888888888888893,0.0,0.0
hassex,female,age record module and person status record module are incomplete as the text does not provide the necessary,"information. the sex record module and race record module are complete. the occupation record module is complete, but it does not provide a specific occupation, only a list of occupations. the ethnolinguistic descriptor record module and interagent relationship record module are incomplete as the text does not provide the necessary information.",9,0.4846832814122533,3,0.5613359023763648,0.0,0.0
hasparticipantrole,child,are the retrieved parts of the document that match with the ontology,module:,26,0.573529411764706,17,0.3952380952380952,0.0,0.0
hasparticipantrole,child,record,module:,25,0.48148148148148145,17,0.3952380952380952,0.0,0.0
hasparticipantrole,child,has_name,name,38,0.5675925925925926,0,0.0,0.0,0.0
hasparticipantrole,child,has_name,cathay williams,38,0.5675925925925926,40,0.6888888888888888,0.0,0.0
hasparticipantrole,child,has_surname,surname,41,0.6274651274651274,0,0.0,0.0,0.0
hasparticipantrole,child,has_surname,williams,41,0.6274651274651274,31,0.5499999999999999,0.0,0.0
hasparticipantrole,child,has_first_name,first_name,44,0.6772486772486772,13,0.43333333333333335,0.0,0.0
hasparticipantrole,child,has_first_name,cathay,44,0.6772486772486772,36,0.5777777777777778,0.0,0.0
hasparticipantrole,child,record,module:,25,0.48148148148148145,17,0.3952380952380952,0.0,0.0
hasparticipantrole,child,has_occupation,occupation,50,0.6566137566137565,27,0.43333333333333335,0.0,0.0
hasparticipantrole,child,has_occupation,cook,50,0.6566137566137565,22,0.48333333333333334,0.0,0.0
hasparticipantrole,child,has_occupation,seamstress,50,0.6566137566137565,0,0.0,0.0,0.0
hasparticipantrole,child,has_occupation,and possibly a boarding house owner,50,0.6566137566137565,15,0.4507936507936508,0.0,0.0
hasparticipantrole,child,possibly a boarding house,owner'),33,0.5624915824915825,0,0.0,0.0,0.0
hasparticipantrole,child,record,module:,25,0.48148148148148145,17,0.3952380952380952,0.0,0.0
hasparticipantrole,child,has_age,age,40,0.5978835978835978,0,0.0,0.0,0.0
hasparticipantrole,child,age,mentioned),19,0.46296296296296297,27,0.5333333333333333,0.0,0.0
hasparticipantrole,child,has_birthdate,date_of_birth,52,0.6937321937321936,11,0.4256410256410256,0.0,0.0
hasparticipantrole,child,birth date,mentioned),36,0.601058201058201,27,0.5333333333333333,0.0,0.0
