Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,predicate,object,30,0.6033670033670034,17,0.4444444444444444,0.0,0.0
instance of,person,has_name,,32,0.537878787878788,0,0.0,0.0,0.0
instance of,person,has_surname,,27,0.49242424242424243,0,0.0,0.0,0.0
instance of,person,has_first_name,,40,0.5692640692640693,0,0.0,0.0,0.0
instance of,person,has_interagent_relationship_type,,33,0.5340909090909091,0,0.0,0.0,0.0
instance of,person,is_relationship_to,,34,0.5798460798460798,0,0.0,0.0,0.0
instance of,person,has_sex,,22,0.45598845598845594,0,0.0,0.0,0.0
instance of,person,has_occupation,,24,0.38311688311688313,0,0.0,0.0,0.0
instance of,person,has_age,,33,0.45598845598845594,0,0.0,0.0,0.0
instance of,person,has_birthdate,,33,0.5463869463869464,0,0.0,0.0,0.0
instance of,person,has_deathdate,,33,0.39044289044289043,0,0.0,0.0,0.0
instance of,person,has_person_status,,29,0.449554367201426,0,0.0,0.0,0.0
instance of,person,has_status_generating_event,,26,0.4799102132435466,0,0.0,0.0,0.0
instance of,person,recorded_at,,18,0.4545454545454546,0,0.0,0.0,0.0
instance of,person,has_race_or_color,,36,0.5162210338680927,0,0.0,0.0,0.0
hasname,fortune,predicate,object,25,0.5026455026455027,31,0.5396825396825397,0.0,0.0
hasname,fortune,has_name,,93,0.9708333333333333,0,0.0,0.0,0.0
hasname,fortune,has_surname,,78,0.9151515151515152,0,0.0,0.0,0.0
hasname,fortune,has_first_name,,67,0.5476190476190476,0,0.0,0.0,0.0
hasname,fortune,has_interagent_relationship_type,,31,0.6259920634920636,0,0.0,0.0,0.0
hasname,fortune,is_relationship_to,,16,0.43121693121693117,0,0.0,0.0,0.0
hasname,fortune,has_sex,,57,0.8,0,0.0,0.0,0.0
hasname,fortune,has_occupation,,38,0.6190476190476191,0,0.0,0.0,0.0
hasname,fortune,has_age,,71,0.8666666666666668,0,0.0,0.0,0.0
hasname,fortune,has_birthdate,,50,0.553113553113553,0,0.0,0.0,0.0
hasname,fortune,has_deathdate,,50,0.632967032967033,0,0.0,0.0,0.0
hasname,fortune,has_person_status,,42,0.6028011204481792,0,0.0,0.0,0.0
hasname,fortune,has_status_generating_event,,35,0.6375661375661376,0,0.0,0.0,0.0
hasname,fortune,recorded_at,,11,0.41125541125541126,0,0.0,0.0,0.0
hasname,fortune,has_race_or_color,,42,0.6694677871148459,0,0.0,0.0,0.0
hassex,male,predicate,object,27,0.4259259259259259,20,0.47222222222222215,0.0,0.0
hassex,male,has_name,,57,0.8055555555555556,0,0.0,0.0,0.0
hassex,male,has_surname,,59,0.6767676767676768,0,0.0,0.0,0.0
hassex,male,has_first_name,,50,0.6507936507936508,0,0.0,0.0,0.0
hassex,male,has_interagent_relationship_type,,26,0.5972222222222222,0,0.0,0.0,0.0
hassex,male,is_relationship_to,,17,0.46296296296296297,0,0.0,0.0,0.0
hassex,male,has_sex,,92,0.9666666666666667,0,0.0,0.0,0.0
hassex,male,has_occupation,,30,0.5714285714285715,0,0.0,0.0,0.0
hassex,male,has_age,,62,0.8222222222222222,0,0.0,0.0,0.0
hassex,male,has_birthdate,,42,0.576923076923077,0,0.0,0.0,0.0
hassex,male,has_deathdate,,42,0.6581196581196581,0,0.0,0.0,0.0
hassex,male,has_person_status,,35,0.642483660130719,0,0.0,0.0,0.0
hassex,male,has_status_generating_event,,30,0.6728395061728395,0,0.0,0.0,0.0
hassex,male,recorded_at,,12,0.41919191919191917,0,0.0,0.0,0.0
hassex,male,has_race_or_color,,35,0.6339869281045751,0,0.0,0.0,0.0
haspersonstatus,enslaved person,predicate,object,33,0.562962962962963,10,0.41111111111111115,0.0,0.0
haspersonstatus,enslaved person,has_name,,43,0.6611111111111111,0,0.0,0.0,0.0
haspersonstatus,enslaved person,has_surname,,46,0.6702020202020202,0,0.0,0.0,0.0
haspersonstatus,enslaved person,has_first_name,,48,0.6599206349206349,0,0.0,0.0,0.0
haspersonstatus,enslaved person,has_interagent_relationship_type,,43,0.6014520202020203,0,0.0,0.0,0.0
haspersonstatus,enslaved person,is_relationship_to,,36,0.6259259259259259,0,0.0,0.0,0.0
haspersonstatus,enslaved person,has_sex,,36,0.6158730158730159,0,0.0,0.0,0.0
haspersonstatus,enslaved person,has_occupation,,41,0.6365079365079365,0,0.0,0.0,0.0
haspersonstatus,enslaved person,has_age,,36,0.6126984126984126,0,0.0,0.0,0.0
haspersonstatus,enslaved person,has_birthdate,,50,0.6683760683760683,0,0.0,0.0,0.0
haspersonstatus,enslaved person,has_deathdate,,50,0.6207570207570208,0,0.0,0.0,0.0
haspersonstatus,enslaved person,has_person_status,,94,0.9725490196078431,0,0.0,0.0,0.0
haspersonstatus,enslaved person,has_status_generating_event,,43,0.637037037037037,0,0.0,0.0,0.0
haspersonstatus,enslaved person,recorded_at,,31,0.46262626262626255,0,0.0,0.0,0.0
haspersonstatus,enslaved person,has_race_or_color,,38,0.530905695611578,0,0.0,0.0,0.0
hasparticipantrole,child,predicate,object,52,0.5,18,0.0,0.0,0.0
hasparticipantrole,child,has_name,,38,0.5675925925925926,0,0.0,0.0,0.0
hasparticipantrole,child,has_surname,,41,0.6274651274651274,0,0.0,0.0,0.0
hasparticipantrole,child,has_first_name,,44,0.6772486772486772,0,0.0,0.0,0.0
hasparticipantrole,child,has_interagent_relationship_type,,44,0.65625,0,0.0,0.0,0.0
hasparticipantrole,child,is_relationship_to,,44,0.6037037037037037,0,0.0,0.0,0.0
hasparticipantrole,child,has_sex,,32,0.5317460317460317,0,0.0,0.0,0.0
hasparticipantrole,child,has_occupation,,50,0.6566137566137565,0,0.0,0.0,0.0
hasparticipantrole,child,has_age,,40,0.5978835978835978,0,0.0,0.0,0.0
hasparticipantrole,child,has_birthdate,,52,0.6937321937321936,0,0.0,0.0,0.0
hasparticipantrole,child,has_deathdate,,52,0.6866096866096866,0,0.0,0.0,0.0
hasparticipantrole,child,has_person_status,,46,0.6479302832244008,0,0.0,0.0,0.0
hasparticipantrole,child,has_status_generating_event,,40,0.5819304152637487,0,0.0,0.0,0.0
hasparticipantrole,child,recorded_at,,28,0.36195286195286197,0,0.0,0.0,0.0
hasparticipantrole,child,has_race_or_color,,46,0.60239651416122,0,0.0,0.0,0.0
hasparticipantrole,sold person,predicate,object,52,0.5,24,0.5050505050505051,0.0,0.0
hasparticipantrole,sold person,has_name,,38,0.5675925925925926,0,0.0,0.0,0.0
hasparticipantrole,sold person,has_surname,,41,0.6274651274651274,0,0.0,0.0,0.0
hasparticipantrole,sold person,has_first_name,,44,0.6772486772486772,0,0.0,0.0,0.0
hasparticipantrole,sold person,has_interagent_relationship_type,,44,0.65625,0,0.0,0.0,0.0
hasparticipantrole,sold person,is_relationship_to,,44,0.6037037037037037,0,0.0,0.0,0.0
hasparticipantrole,sold person,has_sex,,32,0.5317460317460317,0,0.0,0.0,0.0
hasparticipantrole,sold person,has_occupation,,50,0.6566137566137565,0,0.0,0.0,0.0
hasparticipantrole,sold person,has_age,,40,0.5978835978835978,0,0.0,0.0,0.0
hasparticipantrole,sold person,has_birthdate,,52,0.6937321937321936,0,0.0,0.0,0.0
hasparticipantrole,sold person,has_deathdate,,52,0.6866096866096866,0,0.0,0.0,0.0
hasparticipantrole,sold person,has_person_status,,46,0.6479302832244008,0,0.0,0.0,0.0
hasparticipantrole,sold person,has_status_generating_event,,40,0.5819304152637487,0,0.0,0.0,0.0
hasparticipantrole,sold person,recorded_at,,28,0.36195286195286197,0,0.0,0.0,0.0
hasparticipantrole,sold person,has_race_or_color,,46,0.60239651416122,0,0.0,0.0,0.0
hasraceorcolor,black,predicate,object,26,0.49338624338624343,36,0.5777777777777778,0.0,0.0
hasraceorcolor,black,has_name,,45,0.6607142857142857,0,0.0,0.0,0.0
hasraceorcolor,black,has_surname,,48,0.658008658008658,0,0.0,0.0,0.0
hasraceorcolor,black,has_first_name,,43,0.5238095238095238,0,0.0,0.0,0.0
hasraceorcolor,black,has_interagent_relationship_type,,39,0.5302579365079365,0,0.0,0.0,0.0
hasraceorcolor,black,is_relationship_to,,31,0.48677248677248675,0,0.0,0.0,0.0
hasraceorcolor,black,has_sex,,38,0.6190476190476191,0,0.0,0.0,0.0
hasraceorcolor,black,has_occupation,,43,0.6726190476190476,0,0.0,0.0,0.0
