Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,on the,"text, here are the populated ontology modules for the agent ""henry highland garnet"":",35,0.5909090909090909,11,0.5238095238095238,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_name,name,32,0.537878787878788,20,0.47222222222222215,0.0,0.0
instance of,person,has_name,henry highland garnet,32,0.537878787878788,22,0.43650793650793646,0.0,0.0
instance of,person,highland,"garnet, 'henry highland garnet')",32,0.5492424242424242,16,0.42013888888888884,0.0,0.0
instance of,person,has_surname,surname,27,0.49242424242424243,31,0.5396825396825397,0.0,0.0
instance of,person,has_surname,garnet,27,0.49242424242424243,33,0.5555555555555555,0.0,0.0
instance of,person,highland,"garnet, 'garnet')",32,0.5492424242424242,26,0.4477124183006536,0.0,0.0
instance of,person,has_first_name,first_name,40,0.5692640692640693,38,0.6,0.0,0.0
instance of,person,has_first_name,henry,40,0.5692640692640693,36,0.5777777777777778,0.0,0.0
instance of,person,highland,"garnet, 'henry')",32,0.5492424242424242,18,0.45138888888888884,0.0,0.0
instance of,person,relationship record,module:,33,0.5494417862838915,15,0.0,0.0,0.0
instance of,person,has_interagent_relationship_type,relationship_type,33,0.5340909090909091,26,0.5758169934640524,0.0,0.0
instance of,person,has_interagent_relationship_type,pastor,33,0.5340909090909091,50,0.6666666666666666,0.0,0.0
instance of,person,highland,"garnet, 'pastor')",32,0.5492424242424242,26,0.4477124183006536,0.0,0.0
instance of,person,is_relationship_to,agent,34,0.5798460798460798,36,0.5777777777777778,0.0,0.0
instance of,person,is_relationship_to,church,34,0.5798460798460798,17,0.4444444444444444,0.0,0.0
instance of,person,highland,"garnet, 'church')",32,0.5492424242424242,17,0.4477124183006536,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_occupation,occupation,24,0.38311688311688313,38,0.48888888888888893,0.0,0.0
instance of,person,has_occupation,pastor,24,0.38311688311688313,50,0.6666666666666666,0.0,0.0
instance of,person,has_occupation,educator,24,0.38311688311688313,29,0.5277777777777778,0.0,0.0
instance of,person,has_occupation,abolitionist,24,0.38311688311688313,22,0.5,0.0,0.0
instance of,person,highland,"garnet, 'pastor, educator, abolitionist')",32,0.5492424242424242,21,0.548780487804878,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_age,age,33,0.45598845598845594,22,0.5,0.0,0.0
instance of,person,has_age,72,33,0.45598845598845594,0,0.0,0.0,0.0
instance of,person,highland,"garnet, 72) (note: age is not explicitly mentioned in the text, so this relation is based on the assumption that garnet lived for 72 years)",32,0.5492424242424242,8,0.5143884892086331,0.0,0.0
instance of,person,has_birthdate,date_of_birth,33,0.5463869463869464,21,0.49572649572649574,0.0,0.0
instance of,person,has_birthdate,unknown,33,0.5463869463869464,31,0.373015873015873,0.0,0.0
instance of,person,highland,"garnet, unknown)",32,0.5492424242424242,27,0.45138888888888884,0.0,0.0
instance of,person,has_deathdate,date_of_death,33,0.39044289044289043,21,0.49572649572649574,0.0,0.0
instance of,person,has_deathdate,unknown,33,0.39044289044289043,31,0.373015873015873,0.0,0.0
instance of,person,highland,"garnet, unknown)",32,0.5492424242424242,27,0.45138888888888884,0.0,0.0
instance of,person,status record,module:,42,0.6773226773226773,15,0.0,0.0,0.0
instance of,person,has_person_status,person_status,29,0.449554367201426,63,0.8923076923076924,0.0,0.0
instance of,person,has_person_status,pastor,29,0.449554367201426,50,0.6666666666666666,0.0,0.0
instance of,person,has_person_status,educator,29,0.449554367201426,29,0.5277777777777778,0.0,0.0
instance of,person,has_person_status,abolitionist,29,0.449554367201426,22,0.5,0.0,0.0
instance of,person,highland,"garnet, 'pastor, educator, abolitionist')",32,0.5492424242424242,21,0.548780487804878,0.0,0.0
instance of,person,recorded_at,event,18,0.4545454545454546,36,0.5777777777777778,0.0,0.0
instance of,person,recorded_at,1842,18,0.4545454545454546,0,0.0,0.0,0.0
instance of,person,recorded_at,1839,18,0.4545454545454546,0,0.0,0.0,0.0
instance of,person,recorded_at,1842,18,0.4545454545454546,0,0.0,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_race_or_color,race_or_color,36,0.5162210338680927,32,0.46581196581196577,0.0,0.0
instance of,person,has_race_or_color,african-american,36,0.5162210338680927,27,0.4861111111111111,0.0,0.0
instance of,person,highland,"garnet, african-american)",32,0.5492424242424242,19,0.4288888888888889,0.0,0.0
instance of,person,descriptor record,module:,29,0.5398523045581869,15,0.0,0.0,0.0
instance of,person,has_ethnolinguistic_descriptor,ethnolinguistic_descriptor,34,0.5579124579124579,19,0.5235042735042735,0.0,0.0
instance of,person,has_ethnolinguistic_descriptor,unknown,34,0.5579124579124579,31,0.373015873015873,0.0,0.0
instance of,person,highland,"garnet, unknown)",32,0.5492424242424242,27,0.45138888888888884,0.0,0.0
instance of,person,is any,"additional information available, it can be used to populate the ontology further.",47,0.5934343434343434,9,0.4051490514905149,0.0,0.0
instance of,person,as birth and death,"dates, are not explicitly mentioned in the text. therefore, these relations are left as unknown. also, the occupation and person status are based on the information provided in the text. if there is any additional information available, it can be used to populate the ontology further.",34,0.5322270322270323,4,0.5625730994152046,0.0,0.0808186489670161
hassex,male,on the,"text, here are the populated ontology modules for the agent ""henry highland garnet"":",33,0.4444444444444444,9,0.5992063492063492,0.0,0.0
hassex,male,record,module:,17,0.0,55,0.7535714285714287,0.0,0.0
hassex,male,has_name,name,57,0.8055555555555556,50,0.6666666666666666,0.0,0.0
hassex,male,has_name,henry highland garnet,57,0.8055555555555556,16,0.3650793650793651,0.0,0.0
hassex,male,highland,"garnet, 'henry highland garnet')",29,0.4305555555555555,17,0.5208333333333334,0.0,0.0
hassex,male,has_surname,surname,59,0.6767676767676768,36,0.0,0.0,0.0
hassex,male,has_surname,garnet,59,0.6767676767676768,40,0.611111111111111,0.0,0.0
hassex,male,highland,"garnet, 'garnet')",29,0.4305555555555555,19,0.5392156862745098,0.0,0.0
hassex,male,has_first_name,first_name,50,0.6507936507936508,29,0.0,0.0,0.0
hassex,male,has_first_name,henry,50,0.6507936507936508,22,0.0,0.0,0.0
hassex,male,highland,"garnet, 'henry')",29,0.4305555555555555,20,0.5416666666666666,0.0,0.0
hassex,male,relationship record,module:,24,0.44152046783625726,55,0.7535714285714287,0.0,0.0
hassex,male,has_interagent_relationship_type,relationship_type,26,0.5972222222222222,19,0.5310457516339869,0.0,0.0
hassex,male,has_interagent_relationship_type,pastor,26,0.5972222222222222,20,0.47222222222222215,0.0,0.0
hassex,male,highland,"garnet, 'pastor')",29,0.4305555555555555,19,0.5392156862745098,0.0,0.0
hassex,male,is_relationship_to,agent,17,0.46296296296296297,44,0.6333333333333333,0.0,0.0
hassex,male,is_relationship_to,church,17,0.46296296296296297,0,0.0,0.0,0.0
hassex,male,highland,"garnet, 'church')",29,0.4305555555555555,19,0.5392156862745098,0.0,0.0
hassex,male,record,module:,17,0.0,55,0.7535714285714287,0.0,0.0
hassex,male,has_occupation,occupation,30,0.5714285714285715,14,0.45,0.0,0.0
hassex,male,has_occupation,pastor,30,0.5714285714285715,20,0.47222222222222215,0.0,0.0
hassex,male,has_occupation,educator,30,0.5714285714285715,17,0.4166666666666667,0.0,0.0
hassex,male,has_occupation,abolitionist,30,0.5714285714285715,25,0.5555555555555555,0.0,0.0
hassex,male,highland,"garnet, 'pastor, educator, abolitionist')",29,0.4305555555555555,9,0.516260162601626,0.0,0.0
hassex,male,record,module:,17,0.0,55,0.7535714285714287,0.0,0.0
hassex,male,has_age,age,62,0.8222222222222222,57,0.7222222222222222,0.0,0.0
hassex,male,has_age,72,62,0.8222222222222222,0,0.0,0.0,0.0
hassex,male,highland,"garnet, 72) (note: age is not explicitly mentioned in the text, so this relation is based on the assumption that garnet lived for 72 years)",29,0.4305555555555555,6,0.592925659472422,0.0,0.0
hassex,male,has_birthdate,date_of_birth,42,0.576923076923077,24,0.5512820512820512,0.0,0.0
hassex,male,has_birthdate,unknown,42,0.576923076923077,0,0.0,0.0,0.0
hassex,male,highland,"garnet, unknown)",29,0.4305555555555555,20,0.5416666666666666,0.0,0.0
hassex,male,has_deathdate,date_of_death,42,0.6581196581196581,24,0.5512820512820512,0.0,0.0
hassex,male,has_deathdate,unknown,42,0.6581196581196581,0,0.0,0.0,0.0
hassex,male,highland,"garnet, unknown)",29,0.4305555555555555,20,0.5416666666666666,0.0,0.0
hassex,male,status record,module:,32,0.5747863247863249,55,0.7535714285714287,0.0,0.0
hassex,male,has_person_status,person_status,35,0.642483660130719,12,0.4423076923076923,0.0,0.0
hassex,male,has_person_status,pastor,35,0.642483660130719,20,0.47222222222222215,0.0,0.0
hassex,male,has_person_status,educator,35,0.642483660130719,17,0.4166666666666667,0.0,0.0
hassex,male,has_person_status,abolitionist,35,0.642483660130719,25,0.5555555555555555,0.0,0.0
hassex,male,highland,"garnet, 'pastor, educator, abolitionist')",29,0.4305555555555555,9,0.516260162601626,0.0,0.0
hassex,male,recorded_at,event,12,0.41919191919191917,22,0.48333333333333334,0.0,0.0
hassex,male,recorded_at,1842,12,0.41919191919191917,0,0.0,0.0,0.0
