Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
hasname,william lewis,has_name,name,93,0.9708333333333333,35,0.5512820512820512,0.0,0.0
hasname,william lewis,has_name,william lewis reece,93,0.9708333333333333,81,0.9368421052631579,0.0,0.7092972666062739
hasname,william lewis,has_surname,surname,78,0.9151515151515152,30,0.553113553113553,0.0,0.0
hasname,william lewis,has_surname,reece,78,0.9151515151515152,11,0.4256410256410256,0.0,0.0
hasname,william lewis,has_first_name,first_name,67,0.5476190476190476,35,0.5692307692307693,0.0,0.0
hasname,william lewis,has_first_name,william,67,0.5476190476190476,70,0.9076923076923077,0.0,0.5797386715376658
hasname,william lewis,has_occupation,occupation,38,0.6190476190476191,17,0.28461538461538466,0.0,0.0
hasname,william lewis,has_occupation,truck driver,38,0.6190476190476191,16,0.38247863247863245,0.0,0.0
hasname,william lewis,has_age,age,71,0.8666666666666668,25,0.47008547008547,0.0,0.0
hasname,william lewis,has_age,72,71,0.8666666666666668,0,0.0,0.0,0.0
hasname,william lewis,has_birthdate,date_of_birth,50,0.553113553113553,23,0.2692307692307692,0.0,0.0
hasname,william lewis,has_birthdate,july 1,50,0.553113553113553,21,0.49572649572649574,0.0,0.0
hasname,william lewis,has_birthdate,1959,50,0.553113553113553,0,0.0,0.0,0.0
hasname,william lewis,has_deathdate,date_of_death,50,0.632967032967033,15,0.4358974358974359,0.0,0.0
hasname,william lewis,has_deathdate,unknown,50,0.632967032967033,10,0.40659340659340665,0.0,0.0
hasname,william lewis,has_sex,sex_type,57,0.8,10,0.4006410256410256,0.0,0.0
hasname,william lewis,has_sex,male,57,0.8,35,0.3846153846153846,0.0,0.0
hasname,william lewis,has_person_status,serial killer,42,0.6028011204481792,38,0.5970695970695971,0.0,0.0
hasname,william lewis,has_person_status,rapist,42,0.6028011204481792,32,0.32905982905982906,0.0,0.0
hasname,william lewis,has_person_status,and kidnapper,42,0.6028011204481792,23,0.4551282051282051,0.0,0.0
hasname,william lewis,has_status_generating_event,event,35,0.6375661375661376,11,0.0,0.0,0.0
hasname,william lewis,has_status_generating_event,conviction,35,0.6375661375661376,17,0.4512820512820513,0.0,0.0
hasname,william lewis,has_status_generating_event,conviction,35,0.6375661375661376,17,0.4512820512820513,0.0,0.0
hasname,william lewis,has_status_generating_event,conviction,35,0.6375661375661376,17,0.4512820512820513,0.0,0.0
hasname,william lewis,recorded_at,event,11,0.41125541125541126,11,0.0,0.0,0.0
hasname,william lewis,recorded_at,conviction,11,0.41125541125541126,17,0.4512820512820513,0.0,0.0
hasname,william lewis,recorded_at,conviction,11,0.41125541125541126,17,0.4512820512820513,0.0,0.0
hasname,william lewis,recorded_at,conviction,11,0.41125541125541126,17,0.4512820512820513,0.0,0.0
hasname,william lewis,has_race_or_color,race_or_color,42,0.6694677871148459,15,0.4358974358974359,0.0,0.0
hasname,william lewis,has_race_or_color,white,42,0.6694677871148459,33,0.6102564102564102,0.0,0.0
hasname,william lewis,has_name,name,93,0.9708333333333333,35,0.5512820512820512,0.0,0.0
hasname,william lewis,has_name,william lewis reece,93,0.9708333333333333,81,0.9368421052631579,0.0,0.7092972666062739
hasname,william lewis,has_surname,surname,78,0.9151515151515152,30,0.553113553113553,0.0,0.0
hasname,william lewis,has_surname,reece,78,0.9151515151515152,11,0.4256410256410256,0.0,0.0
hasname,william lewis,has_first_name,first_name,67,0.5476190476190476,35,0.5692307692307693,0.0,0.0
hasname,william lewis,has_first_name,william,67,0.5476190476190476,70,0.9076923076923077,0.0,0.5797386715376658
hasname,william lewis,has_occupation,occupation,38,0.6190476190476191,17,0.28461538461538466,0.0,0.0
hasname,william lewis,has_occupation,truck driver,38,0.6190476190476191,16,0.38247863247863245,0.0,0.0
hasname,william lewis,has_age,age,71,0.8666666666666668,25,0.47008547008547,0.0,0.0
hasname,william lewis,has_age,72,71,0.8666666666666668,0,0.0,0.0,0.0
hasname,william lewis,has_birthdate,date_of_birth,50,0.553113553113553,23,0.2692307692307692,0.0,0.0
hasname,william lewis,has_birthdate,july 1,50,0.553113553113553,21,0.49572649572649574,0.0,0.0
hasname,william lewis,has_birthdate,1959,50,0.553113553113553,0,0.0,0.0,0.0
hasname,william lewis,has_deathdate,date_of_death,50,0.632967032967033,15,0.4358974358974359,0.0,0.0
hasname,william lewis,has_deathdate,unknown,50,0.632967032967033,10,0.40659340659340665,0.0,0.0
hasname,william lewis,has_sex,sex_type,57,0.8,10,0.4006410256410256,0.0,0.0
hasname,william lewis,has_sex,male,57,0.8,35,0.3846153846153846,0.0,0.0
hasname,william lewis,has_person_status,serial killer,42,0.6028011204481792,38,0.5970695970695971,0.0,0.0
hasname,william lewis,has_person_status,rapist,42,0.6028011204481792,32,0.32905982905982906,0.0,0.0
hasname,william lewis,has_person_status,and kidnapper,42,0.6028011204481792,23,0.4551282051282051,0.0,0.0
hasname,william lewis,has_status_generating_event,event,35,0.6375661375661376,11,0.0,0.0,0.0
