Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,hasnamevariant,absalom jones,24,0.46645021645021645,32,0.576923076923077,0.0,0.0
instance of,person,haspreferrednamevariant,absalom jones,18,0.4239789196310935,32,0.576923076923077,0.0,0.0
instance of,person,fullnameasstring,absalom jones,30,0.4545454545454546,32,0.576923076923077,0.0,0.0
instance of,person,hassurnameasstring,jones,28,0.4452861952861953,36,0.5777777777777778,0.0,0.0
instance of,person,hasfirstnameasstring,absalom,32,0.5192640692640692,31,0.5396825396825397,0.0,0.0
instance of,person,hasdescription,absalom jones was born on november 7,24,0.47056277056277057,19,0.4259259259259259,0.0,0.0
instance of,person,hasdescription,1746,24,0.47056277056277057,0,0.0,0.0,0.0
instance of,person,hasdescription,and died on february 13,24,0.47056277056277057,21,0.4323671497584541,0.0,0.0
instance of,person,hasdescription,1818. he was enslaved and later became free. he was the first black person to become an episcopal priest and was also an organizer of the free africa society in philadelphia. he was an abolitionist and ultimately an opponent of the american colonization society.,24,0.47056277056277057,4,0.5076335877862596,0.0,0.0743797247684309
instance of,person,jones was born on november,"7, 1746, and died on february 13, 1818. he was enslaved and later became free. he was the first black person to become an episcopal priest and was also an organizer of the free africa society in philadelphia. he was an abolitionist and ultimately an opponent of the american colonization society."")",32,0.4923409923409923,4,0.5622669649515287,0.0,0.06993533459761811
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,referstoplaceoforigin,sussex county,44,0.5137085137085137,32,0.5747863247863249,0.0,0.0
instance of,person,referstoplaceoforigin,delaware,44,0.5137085137085137,29,0.4305555555555555,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_race,african-american,42,0.537878787878788,27,0.4861111111111111,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,hasagevalue,71,27,0.404040404040404,0,0.0,0.0,0.0
instance of,person,hasbirthdate,november 7,35,0.5570707070707072,25,0.3444444444444444,0.0,0.0
instance of,person,hasbirthdate,1746,35,0.5570707070707072,0,0.0,0.0,0.0
instance of,person,hasdeathdate,february 13,35,0.398989898989899,24,0.5050505050505051,0.0,0.0
instance of,person,hasdeathdate,1818,35,0.398989898989899,0,0.0,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,hassex,male,24,0.47979797979797983,20,0.47222222222222215,0.0,0.0
instance of,person,status record,module:,42,0.6773226773226773,15,0.0,0.0,0.0
instance of,person,hasstatusgeneratedevent,manumission in 1784,29,0.4906455862977602,24,0.44152046783625726,0.0,0.0
instance of,person,hasstatusgeneratedevent,ordination in 1802,29,0.4906455862977602,25,0.4444444444444444,0.0,0.0
instance of,person,in,"1784, ordination in 1802"")",31,0.7818181818181817,19,0.42735042735042733,0.0,0.0
instance of,person,hasvalue,enslaved,32,0.43813131313131315,29,0.5277777777777778,0.0,0.0
instance of,person,hasvalue,free,32,0.43813131313131315,20,0.4444444444444444,0.0,0.0
instance of,person,hasvalue,priest,32,0.43813131313131315,50,0.6944444444444443,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,hasvalue,abolitionist,32,0.43813131313131315,22,0.5,0.0,0.0
instance of,person,hasvalue,clergyman,32,0.43813131313131315,40,0.611111111111111,0.0,0.0
instance of,person,relationship record,module:,33,0.5494417862838915,15,0.0,0.0,0.0
instance of,person,hasinteragentrelationshiptype,enslaver or owner,35,0.5427115987460814,35,0.642483660130719,0.0,0.0
instance of,person,or,"owner"")",15,0.0,31,0.5396825396825397,0.0,0.0
instance of,person,isrelationshipto,farmer in philadelphia,37,0.5960497835497836,21,0.5328282828282828,0.0,0.0
instance of,person,in,"philadelphia"")",31,0.7818181818181817,20,0.4920634920634921,0.0,0.0
instance of,person,isrelationshipfrom,absalom jones,34,0.5989057239057239,32,0.576923076923077,0.0,0.0
instance of,person,in,"philadelphia, ""absalom jones"")",31,0.7818181818181817,28,0.5333333333333333,0.0,0.0
instance of,person,role record,module:,27,0.49242424242424243,15,0.0,0.0,0.0
instance of,person,hasparticipantroletype,founder,30,0.5719696969696969,31,0.4365079365079365,0.0,0.0
instance of,person,hasparticipantroletype,bishop,30,0.5719696969696969,33,0.5555555555555555,0.0,0.0
instance of,person,roleprovidedby,founding of the african methodist episcopal church,16,0.44155844155844154,14,0.4155555555555555,0.0,0.0
instance of,person,roleprovidedby,yellow fever epidemic of 1793,16,0.44155844155844154,17,0.4233716475095785,0.0,0.0
instance of,person,of the african methodist episcopal,"church, yellow fever epidemic of 1793"")",27,0.546147752030105,13,0.41452991452991456,0.19431434016858148,0.0
hassex,male,record,module:,17,0.0,55,0.7535714285714287,0.0,0.0
hassex,male,hasnamevariant,absalom jones,40,0.6507936507936508,35,0.5512820512820512,0.0,0.0
hassex,male,haspreferrednamevariant,absalom jones,28,0.6135265700483091,35,0.5512820512820512,0.0,0.0
hassex,male,fullnameasstring,absalom jones,27,0.5555555555555555,35,0.5512820512820512,0.0,0.0
hassex,male,hassurnameasstring,jones,42,0.8222222222222222,22,0.48333333333333334,0.0,0.0
hassex,male,hasfirstnameasstring,absalom,38,0.6944444444444445,36,0.5952380952380952,0.0,0.0
hassex,male,hasdescription,absalom jones was born on november 7,40,0.6634920634920635,15,0.6203703703703703,0.0,0.0
hassex,male,hasdescription,1746,40,0.6634920634920635,0,0.0,0.0,0.0
hassex,male,hasdescription,and died on february 13,40,0.6634920634920635,15,0.5289855072463768,0.0,0.0
hassex,male,hasdescription,1818. he was enslaved and later became free. he was the first black person to become an episcopal priest and was also an organizer of the free africa society in philadelphia. he was an abolitionist and ultimately an opponent of the american colonization society.,40,0.6634920634920635,3,0.5884223918575063,0.0,0.0
hassex,male,jones was born on november,"7, 1746, and died on february 13, 1818. he was enslaved and later became free. he was the first black person to become an episcopal priest and was also an organizer of the free africa society in philadelphia. he was an abolitionist and ultimately an opponent of the american colonization society."")",19,0.5235042735042735,3,0.5878076062639821,0.0,0.0
hassex,male,record,module:,17,0.0,55,0.7535714285714287,0.0,0.0
hassex,male,referstoplaceoforigin,sussex county,15,0.43650793650793646,12,0.4423076923076923,0.0,0.0
hassex,male,referstoplaceoforigin,delaware,15,0.43650793650793646,33,0.5972222222222222,0.0,0.0
hassex,male,record,module:,17,0.0,55,0.7535714285714287,0.0,0.0
hassex,male,has_race,african-american,57,0.8055555555555556,20,0.5416666666666666,0.0,0.0
hassex,male,record,module:,17,0.0,55,0.7535714285714287,0.0,0.0
hassex,male,hasagevalue,71,47,0.6767676767676768,0,0.0,0.0,0.0
hassex,male,hasbirthdate,november 7,44,0.5833333333333334,29,0.39999999999999997,0.0,0.0
hassex,male,hasbirthdate,1746,44,0.5833333333333334,0,0.0,0.0,0.0
hassex,male,hasdeathdate,february 13,44,0.6666666666666666,13,0.393939393939394,0.0,0.0
hassex,male,hasdeathdate,1818,44,0.6666666666666666,0,0.0,0.0,0.0
hassex,male,record,module:,17,0.0,55,0.7535714285714287,0.0,0.0
hassex,male,hassex,male,100,1.0,100,1.0,1.0,1.0
hassex,male,status record,module:,32,0.5747863247863249,55,0.7535714285714287,0.0,0.0
hassex,male,hasstatusgeneratedevent,manumission in 1784,34,0.6835748792270531,17,0.5350877192982456,0.0,0.0
hassex,male,hasstatusgeneratedevent,ordination in 1802,34,0.6835748792270531,9,0.4351851851851852,0.0,0.0
hassex,male,in,"1784, ordination in 1802"")",0,0.0,7,0.42948717948717946,0.0,0.0
hassex,male,hasvalue,enslaved,57,0.8055555555555556,33,0.5972222222222222,0.0,0.0
