Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,hasnamevariant,namevariant,24,0.46645021645021645,35,0.5909090909090909,0.0,0.0
instance of,person,hasnamevariant,austin steward,24,0.46645021645021645,20,0.4920634920634921,0.0,0.0
instance of,person,haspreferrednamevariant,preferrednamevariant,18,0.4239789196310935,31,0.5388888888888889,0.0,0.0
instance of,person,haspreferrednamevariant,austin steward,18,0.4239789196310935,20,0.4920634920634921,0.0,0.0
instance of,person,fullnameasstring,xsd:string,30,0.4545454545454546,25,0.48888888888888893,0.0,0.0
instance of,person,fullnameasstring,austin steward,30,0.4545454545454546,20,0.4920634920634921,0.0,0.0
instance of,person,hassurnameasstring,xsd: string,28,0.4452861952861953,24,0.5050505050505051,0.0,0.0
instance of,person,hassurnameasstring,steward,28,0.4452861952861953,31,0.4365079365079365,0.0,0.0
instance of,person,hasfirstnameasstring,xsd: string,32,0.5192640692640692,24,0.5050505050505051,0.0,0.0
instance of,person,hasfirstnameasstring,austin,32,0.5192640692640692,33,0.5555555555555555,0.0,0.0
instance of,person,hasdescription,description,24,0.47056277056277057,47,0.47979797979797983,0.0,0.0
instance of,person,hasdescription,enslaved. free before the 13th amendment. abolitionist,24,0.47056277056277057,13,0.5753086419753086,0.0,0.0
instance of,person,hasdescription,author,24,0.47056277056277057,17,0.4444444444444444,0.0,0.0
instance of,person,hasdescription,and founder of the wilberforce colony,24,0.47056277056277057,19,0.42492492492492495,0.0,0.0
instance of,person,hasdescription,a settlement for african-americans fleeing the ohio black codes.,24,0.47056277056277057,11,0.5038194444444445,0.0,0.0
instance of,person,before the 13th,"amendment. abolitionist, author, and founder of the wilberforce colony, a settlement for african-americans fleeing the ohio black codes."")",23,0.4601010101010101,7,0.4898550724637681,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
