Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,hasnamevariant,namevariant,24,0.46645021645021645,35,0.5909090909090909,0.0,0.0
instance of,person,hasnamevariant,harriet robinson scott,24,0.46645021645021645,36,0.5535353535353535,0.0,0.0
instance of,person,robinson,"scott, ""harriet robinson scott"")",42,0.6265151515151516,26,0.5298611111111111,0.0,0.0
instance of,person,haspreferrednamevariant,preferrednamevariant,18,0.4239789196310935,31,0.5388888888888889,0.0,0.0
instance of,person,haspreferrednamevariant,harriet scott,18,0.4239789196310935,32,0.46581196581196577,0.0,0.0
instance of,person,robinson,"scott, ""harriet scott"")",42,0.6265151515151516,21,0.4323671497584541,0.0,0.0
instance of,person,fullnameasstring,xsd:string,30,0.4545454545454546,25,0.48888888888888893,0.0,0.0
instance of,person,fullnameasstring,harriet robinson scott,30,0.4545454545454546,36,0.5535353535353535,0.0,0.0
instance of,person,robinson,"scott, ""harriet robinson scott"")",42,0.6265151515151516,26,0.5298611111111111,0.0,0.0
instance of,person,hassurnameasstring,xsd: string,28,0.4452861952861953,24,0.5050505050505051,0.0,0.0
instance of,person,hassurnameasstring,scott,28,0.4452861952861953,36,0.45555555555555555,0.0,0.0
instance of,person,robinson,"scott, ""scott"")",42,0.6265151515151516,19,0.48888888888888893,0.0,0.0
instance of,person,hasfirstnameasstring,xsd: string,32,0.5192640692640692,24,0.5050505050505051,0.0,0.0
instance of,person,hasfirstnameasstring,harriet,32,0.5192640692640692,15,0.4365079365079365,0.0,0.0
instance of,person,robinson,"scott, ""harriet"")",42,0.6265151515151516,17,0.48366013071895425,0.0,0.0
instance of,person,hasdescription,description,24,0.47056277056277057,47,0.47979797979797983,0.0,0.0
