Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,hasnamevariant,namevariant,24,0.46645021645021645,35,0.5909090909090909,0.0,0.0
instance of,person,hasnamevariant,henry walton bibb,24,0.46645021645021645,35,0.5506535947712418,0.0,0.0
instance of,person,walton,"bibb, ""henry walton bibb"")",24,0.47979797979797983,25,0.42735042735042733,0.0,0.0
instance of,person,haspreferrednamevariant,preferrednamevariant,18,0.4239789196310935,31,0.5388888888888889,0.0,0.0
instance of,person,haspreferrednamevariant,henry bibb,18,0.4239789196310935,25,0.48888888888888893,0.0,0.0
instance of,person,walton,"bibb, ""henry bibb"")",24,0.47979797979797983,16,0.44152046783625726,0.0,0.0
instance of,person,fullnameasstring,xsd:string,30,0.4545454545454546,25,0.48888888888888893,0.0,0.0
instance of,person,fullnameasstring,henry walton bibb,30,0.4545454545454546,35,0.5506535947712418,0.0,0.0
instance of,person,walton,"bibb, ""henry walton bibb"")",24,0.47979797979797983,25,0.42735042735042733,0.0,0.0
instance of,person,hassurnameasstring,xsd: string,28,0.4452861952861953,24,0.5050505050505051,0.0,0.0
instance of,person,hassurnameasstring,bibb,28,0.4452861952861953,0,0.0,0.0,0.0
instance of,person,walton,"bibb, ""bibb"")",24,0.47979797979797983,0,0.0,0.0,0.0
instance of,person,hasfirstnameasstring,xsd: string,32,0.5192640692640692,24,0.5050505050505051,0.0,0.0
instance of,person,hasfirstnameasstring,henry,32,0.5192640692640692,36,0.5777777777777778,0.0,0.0
instance of,person,walton,"bibb, ""henry"")",24,0.47979797979797983,20,0.41269841269841273,0.0,0.0
instance of,person,hasdescription,description,24,0.47056277056277057,47,0.47979797979797983,0.0,0.0
instance of,person,hasdescription,enslaved. free after numerous escape attempts. author,24,0.47056277056277057,14,0.5758909853249476,0.0,0.0
