Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,hasnamevariant,namevariant,24,0.46645021645021645,35,0.5909090909090909,0.0,0.0
instance of,person,hasnamevariant,thomas sims,24,0.46645021645021645,12,0.3383838383838384,0.0,0.0
instance of,person,haspreferrednamevariant,preferrednamevariant,18,0.4239789196310935,31,0.5388888888888889,0.0,0.0
instance of,person,haspreferrednamevariant,thomas sims,18,0.4239789196310935,12,0.3383838383838384,0.0,0.0
instance of,person,fullnameasstring,xsd:string,30,0.4545454545454546,25,0.48888888888888893,0.0,0.0
instance of,person,fullnameasstring,thomas sims,30,0.4545454545454546,12,0.3383838383838384,0.0,0.0
instance of,person,hassurnameasstring,xsd: string,28,0.4452861952861953,24,0.5050505050505051,0.0,0.0
instance of,person,hassurnameasstring,sims,28,0.4452861952861953,20,0.47222222222222215,0.0,0.0
instance of,person,hasfirstnameasstring,xsd: string,32,0.5192640692640692,24,0.5050505050505051,0.0,0.0
instance of,person,hasfirstnameasstring,thomas,32,0.5192640692640692,17,0.38888888888888884,0.0,0.0
instance of,person,hasdescription,description,24,0.47056277056277057,47,0.47979797979797983,0.0,0.0
instance of,person,hasdescription,born into slavery in georgia. escaped from slavery in 1851,24,0.47056277056277057,16,0.5065134099616858,0.0,0.0
instance of,person,hasdescription,was forced to return under the fugitive slave act of 1850,24,0.47056277056277057,13,0.5070175438596491,0.0,0.0
instance of,person,hasdescription,escaped again,24,0.47056277056277057,32,0.46581196581196577,0.0,0.0
instance of,person,hasdescription,and was appointed to the u.s. department of justice in 1877.,24,0.47056277056277057,15,0.5055555555555555,0.0,0.0
instance of,person,into slavery in,"georgia. escaped from slavery in 1851, was forced to return under the fugitive slave act of 1850, escaped again, and was appointed to the u.s. department of justice in 1877."")",46,0.6285353535353536,7,0.6225396825396826,0.0,0.0
