Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,hasnamevariant,namevariant,24,0.46645021645021645,35,0.5909090909090909,0.0,0.0
instance of,person,hasnamevariant,william saunders crowdy,24,0.46645021645021645,28,0.4734299516908213,0.0,0.0
instance of,person,saunders,"crowdy, ""william saunders crowdy"")",42,0.537878787878788,20,0.511437908496732,0.0,0.0
instance of,person,haspreferrednamevariant,preferrednamevariant,18,0.4239789196310935,31,0.5388888888888889,0.0,0.0
instance of,person,haspreferrednamevariant,william saunders crowdy,18,0.4239789196310935,28,0.4734299516908213,0.0,0.0
instance of,person,saunders,"crowdy, ""william saunders crowdy"")",42,0.537878787878788,20,0.511437908496732,0.0,0.0
instance of,person,fullnameasstring,xsd:string,30,0.4545454545454546,25,0.48888888888888893,0.0,0.0
instance of,person,fullnameasstring,william saunders crowdy,30,0.4545454545454546,28,0.4734299516908213,0.0,0.0
instance of,person,saunders,"crowdy, ""william saunders crowdy"")",42,0.537878787878788,20,0.511437908496732,0.0,0.0
instance of,person,hassurnameasstring,xsd: string,28,0.4452861952861953,24,0.5050505050505051,0.0,0.0
instance of,person,hassurnameasstring,crowdy,28,0.4452861952861953,33,0.5555555555555555,0.0,0.0
instance of,person,saunders,"crowdy, ""crowdy"")",42,0.537878787878788,17,0.48366013071895425,0.0,0.0
instance of,person,hasfirstnameasstring,xsd: string,32,0.5192640692640692,24,0.5050505050505051,0.0,0.0
instance of,person,hasfirstnameasstring,william,32,0.5192640692640692,0,0.0,0.0,0.0
instance of,person,saunders,"crowdy, ""william"")",42,0.537878787878788,17,0.48148148148148145,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,referstoplaceoforigin,place,44,0.5137085137085137,36,0.45555555555555555,0.0,0.0
