Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_name,name,32,0.537878787878788,20,0.47222222222222215,0.0,0.0
instance of,person,has_name,eliza anna grier,32,0.537878787878788,18,0.4861111111111111,0.0,0.0
instance of,person,anna,"grier, ""eliza anna grier"")",27,0.5631313131313131,19,0.42735042735042733,0.0,0.0
instance of,person,has_surname,surname,27,0.49242424242424243,31,0.5396825396825397,0.0,0.0
instance of,person,has_surname,grier,27,0.49242424242424243,36,0.41111111111111115,0.0,0.0
instance of,person,anna,"grier, ""grier"")",27,0.5631313131313131,19,0.32222222222222224,0.0,0.0
instance of,person,has_first_name,first_name,40,0.5692640692640693,38,0.6,0.0,0.0
instance of,person,has_first_name,eliza,40,0.5692640692640693,18,0.45555555555555555,0.0,0.0
instance of,person,anna,"grier, ""eliza"").",27,0.5631313131313131,18,0.3194444444444444,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_sex,sex_type,22,0.45598845598845594,29,0.3611111111111111,0.0,0.0
instance of,person,has_sex,female,22,0.45598845598845594,17,0.4444444444444444,0.0,0.0
instance of,person,anna,"grier, ""female"").",27,0.5631313131313131,17,0.31699346405228757,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_occupation,occupation,24,0.38311688311688313,38,0.48888888888888893,0.0,0.0
instance of,person,has_occupation,student,24,0.38311688311688313,31,0.4365079365079365,0.0,0.0
instance of,person,has_occupation,teacher,24,0.38311688311688313,31,0.4365079365079365,0.0,0.0
instance of,person,has_occupation,doctor specializing in obstetrics and gynecology,24,0.38311688311688313,19,0.5972222222222222,0.0,0.0
instance of,person,anna,"grier, ""student, teacher, doctor specializing in obstetrics and gynecology"").",27,0.5631313131313131,12,0.5815295815295816,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_age,age,33,0.45598845598845594,22,0.5,0.0,0.0
instance of,person,has_age,38,33,0.45598845598845594,0,0.0,0.0,0.0
instance of,person,anna,"grier, 38)",27,0.5631313131313131,25,0.3444444444444444,0.0,0.0
instance of,person,has_birthdate,date_of_birth,33,0.5463869463869464,21,0.49572649572649574,0.0,0.0
instance of,person,has_birthdate,1864,33,0.5463869463869464,0,0.0,0.0,0.0
instance of,person,anna,"grier, ""1864"")",27,0.5631313131313131,20,0.3253968253968254,0.0,0.0
instance of,person,has_deathdate,date_of_death,33,0.39044289044289043,21,0.49572649572649574,0.0,0.0
instance of,person,has_deathdate,1902,33,0.39044289044289043,0,0.0,0.0,0.0
instance of,person,anna,"grier, ""1902"").",27,0.5631313131313131,19,0.32222222222222224,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_race_or_color,race_or_color,36,0.5162210338680927,32,0.46581196581196577,0.0,0.0
instance of,person,has_race_or_color,african american,36,0.5162210338680927,27,0.4861111111111111,0.0,0.0
instance of,person,anna,"grier, ""african american"").",27,0.5631313131313131,18,0.4259259259259259,0.0,0.0
instance of,person,status record,module:,42,0.6773226773226773,15,0.0,0.0,0.0
instance of,person,has_person_status,enslaved person,29,0.449554367201426,57,0.45555555555555555,0.0,0.5797386715376658
instance of,person,has_person_status,licensed medical practitioner,29,0.449554367201426,23,0.4233716475095785,0.0,0.0
instance of,person,anna,"grier, ""enslaved person, licensed medical practitioner"")",27,0.5631313131313131,19,0.5912698412698413,0.0,0.3032160644503863
instance of,person,has_status_generating_event,event,26,0.4799102132435466,36,0.5777777777777778,0.0,0.0
instance of,person,has_status_generating_event,end of american civil war,26,0.4799102132435466,19,0.5255555555555556,0.0,0.0
instance of,person,has_status_generating_event,graduation and acceptance into the woman's medical college of pennsylvania,26,0.4799102132435466,12,0.5003003003003003,0.0,0.0
instance of,person,of american civil,"war""), has_status_generating_event(licensed medical practitioner, ""graduation and acceptance into the woman's medical college of pennsylvania"").",29,0.5216874628639334,8,0.513888888888889,0.2605556710562624,0.0
hassex,female,record,module:,17,0.0,46,0.6428571428571429,0.0,0.0
hassex,female,has_name,name,57,0.8055555555555556,40,0.6388888888888888,0.0,0.0
hassex,female,has_name,eliza anna grier,57,0.8055555555555556,27,0.45138888888888884,0.0,0.0
