Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_name,name,32,0.537878787878788,20,0.47222222222222215,0.0,0.0
instance of,person,has_name,elizabeth key grinstead,32,0.537878787878788,21,0.4033816425120773,0.0,0.0
instance of,person,key,"grinstead, ""elizabeth key grinstead"")",14,0.0,14,0.5082582582582583,0.0,0.0
instance of,person,has_surname,surname,27,0.49242424242424243,31,0.5396825396825397,0.0,0.0
instance of,person,has_surname,grinstead,27,0.49242424242424243,27,0.5,0.0,0.0
instance of,person,key,"grinstead, ""grinstead"")",14,0.0,21,0.5301932367149759,0.0,0.0
instance of,person,has_first_name,first_name,40,0.5692640692640693,38,0.6,0.0,0.0
instance of,person,has_first_name,elizabeth,40,0.5692640692640693,13,0.4259259259259259,0.0,0.0
instance of,person,key,"grinstead, ""elizabeth"").",14,0.0,13,0.5277777777777778,0.0,0.0
instance of,person,relationship record,module:,33,0.5494417862838915,15,0.0,0.0,0.0
instance of,person,has_interagent_relationship_type_to,relationship_type,30,0.5269480519480519,26,0.5758169934640524,0.0,0.0
instance of,person,has_interagent_relationship_type_to,father,30,0.5269480519480519,33,0.0,0.0,0.0
instance of,person,has_interagent_relationship_type_to,common-law husband,30,0.5269480519480519,17,0.48148148148148145,0.0,0.0
instance of,person,key,"grinstead, ""father""), has_interagent_relationship_type_to(elizabeth key grinstead, ""common-law husband"")",14,0.0,11,0.5747863247863249,0.0,0.0
instance of,person,is_relationship_to,agent,34,0.5798460798460798,36,0.5777777777777778,0.0,0.0
instance of,person,is_relationship_to,englishman,34,0.5798460798460798,38,0.48888888888888893,0.0,0.0
instance of,person,is_relationship_to,william grinstead,34,0.5798460798460798,17,0.48366013071895425,0.0,0.0
instance of,person,key,"grinstead, ""englishman""), is_relationship_to(elizabeth key grinstead, ""william grinstead"").",14,0.0,10,0.5775335775335776,0.0,0.0
instance of,person,role record,module:,27,0.49242424242424243,15,0.0,0.0,0.0
instance of,person,has_participant_role,participant_role_type,32,0.5668831168831169,22,0.5357142857142857,0.0,0.0
instance of,person,has_participant_role,lawsuit participant,32,0.5668831168831169,24,0.44152046783625726,0.0,0.0
instance of,person,key,"grinstead, ""lawsuit participant"").",14,0.0,15,0.511437908496732,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_sex,sex_type,22,0.45598845598845594,29,0.3611111111111111,0.0,0.0
instance of,person,has_sex,female,22,0.45598845598845594,17,0.4444444444444444,0.0,0.0
instance of,person,key,"grinstead, ""female"").",14,0.0,15,0.5357142857142857,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_occupation,occupation,24,0.38311688311688313,38,0.48888888888888893,0.0,0.0
instance of,person,has_occupation,slave,24,0.38311688311688313,18,0.0,0.0,0.0
instance of,person,has_occupation,free woman,24,0.38311688311688313,38,0.6055555555555555,0.0,0.0
instance of,person,key,"grinstead, ""slave""), has_occupation(elizabeth key grinstead, ""free woman"").",14,0.0,15,0.5822222222222222,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_age,age,33,0.45598845598845594,22,0.5,0.0,0.0
instance of,person,has_age,not mentioned,33,0.45598845598845594,32,0.46581196581196577,0.0,0.0
instance of,person,key,"grinstead, ""not mentioned"")",14,0.0,24,0.5395061728395062,0.0,0.0
instance of,person,has_birthdate,date_of_birth,33,0.5463869463869464,21,0.49572649572649574,0.0,0.0
instance of,person,has_birthdate,1630,33,0.5463869463869464,0,0.0,0.0,0.0
instance of,person,key,"grinstead, ""1630"")",14,0.0,17,0.5462962962962963,0.0,0.0
instance of,person,has_deathdate,date_of_death,33,0.39044289044289043,21,0.49572649572649574,0.0,0.0
instance of,person,has_deathdate,not mentioned,33,0.39044289044289043,32,0.46581196581196577,0.0,0.0
instance of,person,key,"grinstead, ""not mentioned"").",14,0.0,24,0.5373015873015873,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_race_or_color,race_or_color,36,0.5162210338680927,32,0.46581196581196577,0.0,0.0
instance of,person,has_race_or_color,mulatto,36,0.5162210338680927,15,0.4365079365079365,0.0,0.0
instance of,person,key,"grinstead, ""mulatto"").",14,0.0,21,0.5328282828282828,0.0,0.0
