Truth Predicate,Truth Object,Generated Predicate,Generated Object,Predicate Fuzzy Ratio,Predicate Jaro-Winkler,Object Fuzzy Ratio,Object Jaro-Winkler,Predicate Cosine Similarity,Object Cosine Similarity
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_name,name,32,0.537878787878788,20,0.47222222222222215,0.0,0.0
instance of,person,has_name,philip james collins,32,0.537878787878788,38,0.5499999999999999,0.0,0.0
instance of,person,james,"collins, ""philip james collins"")",25,0.5131313131313131,26,0.4305555555555555,0.0,0.0
instance of,person,has_surname,surname,27,0.49242424242424243,31,0.5396825396825397,0.0,0.0
instance of,person,has_surname,collins,27,0.49242424242424243,31,0.4365079365079365,0.0,0.0
instance of,person,james,"collins, ""collins"")",25,0.5131313131313131,24,0.44152046783625726,0.0,0.0
instance of,person,has_first_name,first_name,40,0.5692640692640693,38,0.6,0.0,0.0
instance of,person,has_first_name,philip,40,0.5692640692640693,17,0.4444444444444444,0.0,0.0
instance of,person,james,"collins, ""philip"").",25,0.5131313131313131,16,0.44152046783625726,0.0,0.0
instance of,person,relationship record,module:,33,0.5494417862838915,15,0.0,0.0,0.0
instance of,person,has_interagent_relationship_type_to,relationship_type,30,0.5269480519480519,26,0.5758169934640524,0.0,0.0
instance of,person,has_interagent_relationship_type_to,spouse,30,0.5269480519480519,33,0.5555555555555555,0.0,0.0
instance of,person,james,"collins, ""spouse"")",25,0.5131313131313131,17,0.4444444444444444,0.0,0.0
instance of,person,is_relationship_to,agent,34,0.5798460798460798,36,0.5777777777777778,0.0,0.0
instance of,person,is_relationship_to,geeta guru-murthy,34,0.5798460798460798,17,0.48366013071895425,0.0,0.0
instance of,person,james,"collins, ""geeta guru-murthy"").",25,0.5131313131313131,11,0.4333333333333333,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_sex,sex_type,22,0.45598845598845594,29,0.3611111111111111,0.0,0.0
instance of,person,has_sex,male,22,0.45598845598845594,20,0.47222222222222215,0.0,0.0
instance of,person,james,"collins, ""male"").",25,0.5131313131313131,17,0.4477124183006536,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_occupation,occupation,24,0.38311688311688313,38,0.48888888888888893,0.0,0.0
instance of,person,has_occupation,journalist,24,0.38311688311688313,25,0.48888888888888893,0.0,0.0
instance of,person,has_occupation,academic,24,0.38311688311688313,14,0.4305555555555555,0.0,0.0
instance of,person,has_occupation,banker,24,0.38311688311688313,33,0.0,0.0,0.0
instance of,person,has_occupation,speechwriter,24,0.38311688311688313,33,0.5,0.0,0.0
instance of,person,has_occupation,equity strategist in investment banking,24,0.38311688311688313,18,0.5064102564102564,0.0,0.0
instance of,person,has_occupation,political adviser,24,0.38311688311688313,26,0.48366013071895425,0.0,0.0
instance of,person,has_occupation,director of the social market foundation,24,0.38311688311688313,22,0.4222222222222222,0.0,0.0
instance of,person,has_occupation,chief speech writer to tony blair,24,0.38311688311688313,26,0.4292929292929293,0.0,0.0
instance of,person,has_occupation,leader writer and columnist for the times,24,0.38311688311688313,17,0.5047425474254742,0.0,0.0
instance of,person,has_occupation,visiting fellow at the london school of economics,24,0.38311688311688313,15,0.41609977324263037,0.0,0.0
instance of,person,has_occupation,associate editor of prospect magazine,24,0.38311688311688313,19,0.42492492492492495,0.0,0.0
instance of,person,has_occupation,columnist and contributing writer for the new statesman,24,0.38311688311688313,13,0.41313131313131307,0.0,0.0
instance of,person,james,"collins, ""journalist, academic, banker, speechwriter, equity strategist in investment banking, political adviser, director of the social market foundation, chief speech writer to tony blair, leader writer and columnist for the times, visiting fellow at the london school of economics, associate editor of prospect magazine, columnist and contributing writer for the new statesman"").",25,0.5131313131313131,3,0.5052356020942409,0.0,0.0
instance of,person,record,module:,24,0.41919191919191917,15,0.0,0.0,0.0
instance of,person,has_age,age,33,0.45598845598845594,22,0.5,0.0,0.0
instance of,person,has_age,not mentioned,33,0.45598845598845594,32,0.46581196581196577,0.0,0.0
instance of,person,james,"collins, ""not mentioned"")",25,0.5131313131313131,19,0.4288888888888889,0.0,0.0
instance of,person,has_birthdate,date_of_birth,33,0.5463869463869464,21,0.49572649572649574,0.0,0.0
instance of,person,has_birthdate,may 16,33,0.5463869463869464,0,0.0,0.0,0.0
instance of,person,has_birthdate,1967,33,0.5463869463869464,0,0.0,0.0,0.0
instance of,person,james,"collins, ""may 16, 1967"")",25,0.5131313131313131,13,0.4305555555555555,0.0,0.0
